ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C38181540,100,24,100,15,3R,-0.678071905112638
C38181610,99,10,77,3.7,3L,-1.43440282414577
C38181672,99,16,88,11,2R,-0.540568381362703
C38181718,99,20,100,13,2R,-0.62148837674627
C38181778,100,15,99,8.4,2L,-0.83650126771712
C38181946,100,20,99,12,X,-0.736965594166206
C38181976,99,14,98,11,2R,-0.347923303420307
C38181984,99,18,99,11,X,-0.710493382805015
C38181990,99,13,99,7.1,3L,-0.872620693523773
C38181992,100,21,99,14,2L,-0.584962500721156
C38182114,100,12,100,7.4,3L,-0.697437229979569
C38182394,99,17,99,10,2R,-0.765534746362977
C38182528,97,4.8,97,12,2R,1.32192809488736
C38182536,100,19,98,9.6,2R,-0.984893107609792
C38182574,96,13,99,9.6,3R,-0.437405312307298
C38182578,98,23,100,16,X,-0.523561956057013
C38182658,99,22,98,10,3R,-1.13750352374993
C38182830,99,14,95,4,3L,-1.8073549220576
C38182918,100,20,96,14,3R,-0.514573172829758
C38182936,99,19,97,5.8,3L,-1.71187461320338
C38183060,98,12,99,7.6,2L,-0.658963082164933
C38183074,100,14,96,12,X,-0.222392421336448
C38183250,100,19,98,8.1,3L,-1.23000560544632
C38183368,99,15,99,11,2R,-0.447458976971221
C38183410,100,15,99,10,3R,-0.584962500721156
C38183468,99,13,95,9.8,X,-0.407657968913246
C38183520,99,15,97,8.6,X,-0.802553935793783
C38183570,100,16,97,11,3R,-0.540568381362703
C38183592,98,19,98,11,2R,-0.788495894806288
C38183638,100,18,96,12,3R,-0.584962500721156
C38183640,99,15,100,11,3R,-0.447458976971221
C38183782,100,31,99,7.4,3L,-2.06667103964529
C38183818,100,15,100,12,3R,-0.321928094887362
C38183832,98,15,96,8.6,X,-0.802553935793783
C38183838,98,12,99,9.8,3R,-0.29218075149331
C38184016,99,27,98,17,3R,-0.667424660913129
C38184036,100,14,98,9.4,2R,-0.574694165267329
C38184180,99,13,98,6.4,3R,-1.02236781302845
C38184250,100,20,98,14,2R,-0.514573172829758
C38184280,100,15,96,5.7,3L,-1.39592867633114
C38184378,100,26,100,12,X,-1.11547721741994
C38184390,98,13,97,8.1,X,-0.68251781014383
C38184412,99,22,99,16,3R,-0.459431618637297
C38184514,98,11,98,7.9,X,-0.477578965347557
C38184590,99,13,98,10,3R,-0.37851162325373
C38184638,100,19,99,12,3R,-0.662965012722429
C38184662,99,14,95,10,3R,-0.485426827170242
C38184666,99,22,99,12,3R,-0.874469117916141
C38184682,98,14,95,11,3R,-0.347923303420307
C38184716,100,16,99,10,3R,-0.678071905112638
C38184730,99,13,98,10,3R,-0.37851162325373
C38184842,100,15,97,11,3R,-0.447458976971221
C38184892,100,19,98,14,2L,-0.440572591385981
C38185016,100,15,99,9.7,2L,-0.628905848308753
C38185132,99,24,99,12,2L,-1
C38185150,99,15,96,7.3,2R,-1.03899413161586
C38185162,98,11,97,5.5,3R,-1
C38185170,96,14,96,13,2L,-0.106915203916512
C38185456,100,20,98,8.4,X,-1.25153876699596
C38185576,98,14,98,8.9,2L,-0.653549585978568
C38185582,100,17,99,11,3L,-0.628031222613042
C38185628,99,20,100,11,3L,-0.862496476250065
C38185670,100,19,100,11,2L,-0.788495894806288
C38185702,99,17,99,9.8,3R,-0.794681092022493
C38185724,100,19,100,13,2R,-0.547487795302493
C38185796,100,24,98,13,2R,-0.884522782580064
C38185826,97,21,97,10,2R,-1.0703893278914
C38185832,100,28,99,16,2L,-0.807354922057604
C38185834,100,12,99,9.1,2L,-0.399095955409822
C38185904,99,16,95,12,2L,-0.415037499278844
C38185926,100,24,100,13,2R,-0.884522782580064
C38186000,100,25,100,11,2L,-1.18442457113743
C38186212,100,19,100,12,2R,-0.662965012722429
C38186226,99,22,98,7.4,3L,-1.57190634789571
C38186292,100,13,100,10,3R,-0.37851162325373
C38186300,99,19,99,14,2R,-0.440572591385981
C38186316,99,20,98,13,2R,-0.62148837674627
C38186346,98,23,99,13,3R,-0.823122237915921
C38186380,100,24,98,12,2L,-1
C38186400,100,23,99,13,3R,-0.823122237915921
