ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C3900935,87,3.5,94,5.5,2R,0.652076696579693
C3901069,91,3.1,98,8.3,2R,1.42084312096005
C3901125,96,5.6,98,5.9,2R,0.0752881273042372
C3901165,98,5.1,98,8.6,2R,0.753839412730602
C3901845,100,5.8,98,8,2R,0.46394709975979
C3902021,96,3.2,94,3.5,2R,0.129283016944966
C3902597,97,4.5,97,6.3,2R,0.485426827170242
C3902599,97,7.7,100,8.9,2R,0.208946890271496
C3902747,88,3.3,95,5.6,2R,0.762960802699151
C3902815,85,4.7,93,6.6,2R,0.489805267680816
C3902843,96,5.9,93,6.7,2R,0.183446141095931
C3903087,94,3.5,98,7.4,2R,1.08017034868398
C3903337,98,5.5,99,7.5,2R,0.447458976971221
C3903529,97,4.7,99,6.5,3R,0.467778961350817
C3903689,97,3.9,86,3.3,2R,-0.241008099503795
C3903807,93,6.5,98,6.1,2R,-0.0916304754655682
C3903905,87,3.3,94,5.6,2R,0.762960802699151
C3904047,99,7.1,99,7.2,2R,0.0201778819376303
C3904167,96,5.5,98,7.9,2R,0.522421034652443
C3904361,100,7.6,99,8.5,2R,0.161463422694116
C3904541,100,12,97,19,2L,0.662965012722429
C3904659,97,4.9,96,7.7,2R,0.652076696579693
C3904737,94,4.4,94,4.7,2R,0.09515723304034
C3905323,96,8.4,99,17,3R,1.01707351335894
C3905389,100,17,97,22,2L,0.371968777386958
C3905785,93,3.8,98,6.2,2R,0.70626879694329
C3905905,85,3.7,99,5.2,2R,0.490986352512142
C3905917,99,9.8,97,8.3,X,-0.239670412768283
C3905953,99,6.1,99,12,2R,0.976153258045632
C3906137,97,8.8,94,7.6,3L,-0.211504105193712
C3906519,97,6.8,99,16,3R,1.23446525363702
C3906869,97,4.2,96,6.7,2R,0.673771767679012
C3906979,97,4.9,98,9.2,2R,0.908852111941804
C3906985,99,13,100,23,2L,0.823122237915921
C3908779,98,16,98,14,X,-0.192645077942396
C3909175,87,5.8,100,8.1,2R,0.481869007757053
C3909231,82,4.7,92,6.4,2R,0.445411148322363
C3909351,97,5.2,100,9.3,2R,0.838719092966939
C3909855,99,12,100,19,3R,0.662965012722429
C3909861,96,3.6,97,7.1,2R,0.97982211806237
C3910115,100,14,99,19,2L,0.440572591385981
C3910331,93,5.3,92,6.9,2R,0.38060400221497
C3910613,100,5.5,97,4,3L,-0.459431618637297
C3910699,97,4.6,100,8.8,2R,0.935869662580285
C3910803,92,4.9,99,7.3,2R,0.575114714764809
C3910909,86,4.5,93,7.4,2R,0.717600269299275
C3911089,99,17,95,15,X,-0.180572245641821
C3911135,99,8.2,99,17,3R,1.05183893151962
C3911249,93,4.1,96,6.9,2R,0.750972452160085
C3911495,98,5.5,100,4.6,3L,-0.257797757467647
C3911565,99,16,100,22,2L,0.459431618637297
C3911729,86,4.4,98,7.7,2R,0.807354922057604
C3911937,86,3.2,97,4.6,3R,0.523561956057013
C3912127,92,5.8,95,5.3,X,-0.130060540564373
C3913119,98,5.3,98,5.3,3L,0
C3913537,96,4.9,98,8,2R,0.707218250772154
C3913559,99,5.8,98,12,2R,1.04890960048095
C3913983,95,4.7,99,8.2,2R,0.802963152940446
C3914395,91,4.3,95,6.3,2R,0.551015168797818
C3915755,98,8,99,16,3R,1
C3915955,99,6.6,100,11,2L,0.736965594166206
C3916077,98,5.9,100,11,2R,0.898716664162818
C3916447,96,5,94,4.7,X,-0.0892673380970872
C3918277,98,6.2,99,6.6,2R,0.0901978089715782
C3918435,99,4.8,98,3.6,X,-0.415037499278844
C3919105,99,5.4,99,6.5,2R,0.267480310864986
C3919179,99,16,100,23,3R,0.523561956057013
C3919455,100,5.1,100,9.1,2R,0.835369298227201
C3919923,98,8.4,99,15,3R,0.836501267717121
C3920607,99,11,100,12,3L,0.125530882083859
C3921001,97,6.8,98,11,2R,0.69389687227432
C3921469,83,2.6,99,10,2R,1.94341647163363
C3921565,98,17,99,22,2L,0.371968777386958
C3923565,100,12,100,17,2L,0.502500340529183
C3924085,99,12,99,7.5,X,-0.678071905112638
C3924425,99,7.2,96,4.9,3L,-0.555215157327104
C3924477,97,6,94,5.1,X,-0.234465253637023
C3924577,98,7,99,11,3R,0.652076696579693
C3925121,100,12,100,21,2L,0.807354922057604
C3925217,99,21,98,16,3L,-0.39231742277876
C3925383,96,5.2,99,7,2R,0.428843298803874
C3926003,99,5.8,100,9.9,2R,0.771375624952038
C3926179,93,6.3,94,5.1,2R,-0.304854581528421
C3926287,95,6.3,100,8.4,2R,0.415037499278844
C3926379,99,9.8,100,20,2L,1.02914634565952
C3926501,91,3.9,98,6,2L,0.62148837674627
C3927387,99,12,100,16,2L,0.415037499278844
C3930295,96,4.8,99,9.3,2R,0.954196310386875
C3930969,95,5.4,97,6.6,2R,0.289506617194985
C3930975,100,21,100,13,X,-0.691877704637668
C3931609,99,7.5,94,4.5,X,-0.736965594166206
C3931637,98,14,100,18,3R,0.362570079384708
C3933497,99,9.2,99,18,3R,0.968291140272662
C3934863,98,11,99,18,3R,0.710493382805015
C3934983,97,5.3,98,4.8,2R,-0.142957953842043
C3936071,99,4.8,94,4.4,3L,-0.125530882083859
C3937553,99,10,99,19,3R,0.925999418556223
C3939035,98,12,100,20,3R,0.736965594166206
C3939661,97,5.3,98,10,3R,0.915935735211525
C3939959,100,12,99,9.4,3L,-0.352301743930881
C3941909,99,5.7,100,8.8,2L,0.626541604472556
C3942169,99,19,100,27,3R,0.506959988719883
C3942493,99,8.6,98,11,3R,0.355094958822562
C3942715,99,12,99,19,3R,0.662965012722429
C3944425,100,5.7,99,6.2,2L,0.121306296222134
