ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C38110300,70,1.8,91,3.5,3R,0.959358015502654
C38130856,99,2.6,87,2.1,3R,-0.308122295362332
C38131836,85,4,77,1.8,3R,-1.15200309344505
C38134104,71,2.8,57,1.5,3R,-0.900464326449086
C38139678,88,2.5,71,2.5,3R,0
C38148404,89,3.6,94,3.7,X,0.0395283641866376
C38152194,63,3.9,60,2.9,2R,-0.427421223734676
C38152290,89,2.9,91,3.5,2L,0.271302021817394
C38154518,97,3.4,95,3,3L,-0.180572245641821
C38157900,93,5.6,97,4.5,3R,-0.315501825727929
C38159254,99,4.8,84,2.7,3R,-0.830074998557687
C38159808,98,3.6,96,3.7,3R,0.0395283641866376
C38165316,90,3.1,87,4.1,3R,0.403355694231208
C38176964,100,4.3,94,3.4,3R,-0.338801913451759
C38178304,92,3.9,92,3.9,3L,0
C38181180,97,2.8,91,3.7,3L,0.402098443571346
C38182074,94,4.8,87,3.9,2R,-0.299560281858908
C38183072,99,9,99,7.9,2R,-0.188072348152572
C38186600,96,3.6,87,3.6,2L,0
C38190182,98,3.6,94,3.5,2L,-0.0406419844973459
C38191222,98,4.2,95,3.5,X,-0.263034405833794
scaffold100070,85,3.2,73,2.6,3R,-0.299560281858908
scaffold100097,71,4.2,65,3.3,2L,-0.347923303420307
scaffold100145,92,4.1,86,3.6,2R,-0.187627003175771
scaffold100333,79,4.6,78,3.6,2R,-0.3536369546147
scaffold100380,84,4.2,84,3.8,X,-0.144389909335175
scaffold100407,78,3.4,78,2.8,2L,-0.280107919192735
scaffold100453,53,3.5,45,3.1,3R,-0.175086706558091
scaffold100485,75,3.3,72,3.2,3R,-0.0443941193584532
scaffold100533,95,4.3,93,3.6,X,-0.256339753259785
scaffold100537,93,4.3,93,3.8,2R,-0.178337241258512
scaffold100546,71,3,68,2.8,3R,-0.0995356735509146
scaffold100679,69,3,66,2.7,2R,-0.15200309344505
scaffold100742,86,3.7,84,3.4,3L,-0.12199052437861
scaffold100769,70,3.7,69,3.1,3L,-0.255257055242075
scaffold100856,75,4.2,71,2.6,3R,-0.691877704637668
scaffold100914,81,4.1,82,3.8,2R,-0.109624491174498
scaffold101007,74,3.7,70,3.6,2R,-0.0395283641866375
scaffold101030,94,5,90,4.7,X,-0.0892673380970872
scaffold101039,85,3.1,83,2.8,3L,-0.146841388329271
scaffold101067,76,2.8,75,3,X,0.0995356735509144
scaffold10109,89,3.8,87,3.8,3R,0
scaffold101135,59,3.5,59,2.7,2R,-0.374395514781498
scaffold101170,81,5.8,79,5.1,2L,-0.185555653156077
scaffold101203,79,3.6,80,3.1,2R,-0.215728691055437
scaffold101206,72,3.1,74,3.5,3L,0.175086706558091
scaffold101223,78,3.3,72,3.2,2R,-0.0443941193584532
scaffold101256,60,3.2,63,2.9,2L,-0.142019004872428
scaffold101424,72,3.8,69,2.9,2R,-0.389946518316013
scaffold101429,71,2.4,79,2.4,X,0
scaffold101459,74,2.9,68,2.3,3R,-0.334419039070559
scaffold101501,69,3.4,66,2.7,3L,-0.332575339086871
scaffold101638,45,3.1,45,3.1,2L,0
scaffold101723,86,3.5,83,3.2,2L,-0.129283016944966
scaffold101795,73,3.7,69,3,2L,-0.302562770020431
scaffold101798,64,2.7,65,3,2R,0.15200309344505
scaffold101873,81,4.9,76,3.5,X,-0.485426827170242
scaffold101887,63,3.8,63,3.4,2L,-0.160464672193246
scaffold101938,67,4.5,64,4.3,2R,-0.0655883416275769
scaffold10203,83,3.3,80,3.1,3R,-0.0901978089715781
scaffold102046,83,3,73,2.7,2R,-0.15200309344505
scaffold102070,80,4.1,73,3.9,3R,-0.0721497857558352
scaffold102073,83,3,70,2.8,2L,-0.0995356735509146
scaffold102089,61,3.2,62,3.1,2L,-0.0458036896131248
scaffold102128,56,2.9,46,2.2,3R,-0.398549376490275
scaffold102158,79,4.2,75,2.7,2L,-0.637429920615292
scaffold1022,48,3,50,2.4,3R,-0.321928094887362
scaffold102205,45,5.1,44,4.7,3R,-0.117836490293858
scaffold102210,70,2.7,82,2.2,3R,-0.295455883526171
scaffold102222,77,3.1,79,3.7,2L,0.255257055242075
scaffold102277,75,2.4,77,2.8,2R,0.222392421336448
scaffold102281,91,4.2,89,4.1,3R,-0.0347654181606768
scaffold102282,77,4.9,72,4.3,2L,-0.188445089413111
scaffold102357,77,3.8,74,3.7,X,-0.0384741478146355
scaffold10242,74,4.4,68,4,3L,-0.137503523749935
scaffold102443,49,3.1,54,2.9,3R,-0.0962153152593032
scaffold102492,49,3,47,2.8,X,-0.0995356735509146
scaffold102556,81,3.2,70,2.3,3L,-0.476438043942987
scaffold10258,67,3.2,65,2.5,3R,-0.356143810225275
scaffold102598,80,3.3,78,3,X,-0.137503523749935
scaffold102613,90,4.8,87,3.4,3L,-0.497499659470817
scaffold102693,59,3.4,62,3.6,X,0.082462160191973
scaffold102705,87,4,86,3.2,3L,-0.321928094887362
scaffold10275,76,3.2,76,2.8,3L,-0.192645077942396
scaffold102792,64,5.7,61,3.9,3R,-0.547487795302493
scaffold102813,70,4.2,70,3.6,3L,-0.222392421336448
scaffold102834,80,3.8,78,3.9,X,0.037474705418663
scaffold102916,81,2.7,75,2.9,3L,0.103093492964103
scaffold102931,89,4,88,4.2,3R,0.070389327891398
scaffold103,54,2.7,54,2.6,2L,-0.0544477840223765
scaffold10300,84,3.8,80,3.7,3L,-0.0384741478146355
scaffold103058,75,2.9,66,2.6,3L,-0.15754127698648
scaffold103062,59,4.3,59,3.9,2L,-0.14086253583985
scaffold103077,88,3.2,79,2.6,3R,-0.299560281858908
scaffold10308,79,3.9,79,3.8,2R,-0.0374747054186629
scaffold103345,64,2.9,63,2.7,X,-0.103093492964103
scaffold103358,77,3.9,74,2.9,3L,-0.427421223734676
scaffold103412,72,2.8,75,2.9,2R,0.0506260730699681
scaffold103496,93,4.5,89,3.9,X,-0.206450877467426
scaffold103546,64,2.8,64,2.5,2R,-0.163498732282879
scaffold103569,79,3.6,78,3.6,3R,0
scaffold103631,70,3.6,71,3.4,3L,-0.082462160191973
scaffold103634,84,3.6,85,3.4,2R,-0.082462160191973
scaffold103655,84,5.5,78,5.2,2L,-0.0809199953835675
scaffold10370,69,3.3,63,2.3,2L,-0.520832163301441
scaffold103705,57,6.7,52,5.4,2R,-0.311201688294304
scaffold103716,70,3.6,64,3.4,3L,-0.082462160191973
scaffold103773,77,3.3,70,2.4,2L,-0.459431618637297
scaffold103782,64,2.8,65,2.7,2L,-0.0524674198941354
scaffold10384,78,3.3,66,2.2,3R,-0.584962500721156
scaffold103857,82,3.9,79,4.4,3R,0.174029399775049
scaffold103860,72,3.3,77,2.6,3R,-0.343954401217361
scaffold103866,65,2.5,66,2.5,3R,0
scaffold103870,70,3.9,70,3.3,2L,-0.241008099503795
scaffold103883,76,3.5,71,3.4,X,-0.0418201756946271
scaffold103912,81,4.1,80,4.3,X,0.0687127500840143
scaffold104028,80,4,80,3.9,2R,-0.036525876025114
scaffold104083,69,3.1,60,3,3R,-0.0473057147783568
scaffold104128,96,3.7,96,4.1,X,0.148098638989134
scaffold104230,54,2.7,56,2.8,3R,0.0524674198941355
scaffold104233,86,3,85,3.2,2R,0.0931094043914815
scaffold104258,83,4.7,83,4,3R,-0.232660756790275
scaffold104266,82,4.4,79,3.2,3L,-0.459431618637297
scaffold104276,89,4.5,89,3.5,3R,-0.362570079384708
scaffold104279,77,3.2,71,2.8,2R,-0.192645077942396
scaffold104289,79,5.1,79,4.7,3R,-0.117836490293858
scaffold104300,83,3.6,76,2.9,3L,-0.31194400631474
scaffold104316,77,4,73,3.7,2R,-0.112474729258412
scaffold10446,42,3.8,47,3.2,X,-0.247927513443585
scaffold104506,59,4.2,54,3.4,3R,-0.304854581528421
scaffold104534,54,3,59,3.1,3R,0.0473057147783568
scaffold104537,76,3.7,75,3.5,3L,-0.0801703486839833
scaffold104577,71,3.7,75,3.4,2R,-0.12199052437861
scaffold104594,79,4.7,78,4.6,3R,-0.0310268956206247
scaffold104659,91,3.8,90,3.5,2L,-0.118644496498619
scaffold104756,98,4.2,98,4.3,3R,0.0339473319233375
scaffold1048,79,3.8,72,3,2L,-0.341036917835067
scaffold104813,77,4,72,3,3L,-0.415037499278844
scaffold104899,64,2.7,66,2.7,2L,0
scaffold104933,71,4.1,68,3.3,3R,-0.31315788525963
scaffold104962,77,3.5,74,2.7,2R,-0.374395514781498
scaffold104992,90,4.2,90,3.7,3L,-0.182864057149811
scaffold105094,84,4,82,4,3R,0
scaffold105112,68,3.7,66,3.3,3L,-0.165059246270497
scaffold105134,61,4,62,4.1,2R,0.0356239097307212
scaffold105151,72,3,74,3.4,3R,0.180572245641821
scaffold105249,78,3.4,78,3.1,2R,-0.133266530863464
scaffold105373,67,8.5,62,7.8,3R,-0.123988717275453
scaffold10540,68,4.9,67,4,2R,-0.292781749227846
scaffold105444,82,3.7,79,3.3,3L,-0.165059246270497
scaffold105445,63,3.8,60,2.4,3R,-0.662965012722429
scaffold105485,66,3.8,71,4.4,X,0.211504105193712
scaffold105503,79,4.2,77,4,3R,-0.070389327891398
scaffold10555,80,3.9,75,4.1,X,0.0721497857558354
scaffold105583,85,3.8,86,3.2,X,-0.247927513443585
scaffold105613,83,3.6,77,4,2R,0.15200309344505
scaffold1057,82,2.7,86,2.8,X,0.0524674198941355
scaffold105715,85,3.2,92,3.9,X,0.285402218862248
scaffold105831,81,4,80,4.3,X,0.104336659814736
scaffold105867,79,3.7,77,3.1,U,-0.255257055242075
scaffold105964,64,3.2,63,2.8,2R,-0.192645077942396
scaffold10599,72,5.7,68,6.1,2R,0.0978473233981446
scaffold106032,81,3.4,83,3.3,3R,-0.043068721891886
scaffold106050,71,2.9,74,2.8,2R,-0.0506260730699681
scaffold106213,70,3.4,67,2.7,X,-0.332575339086871
scaffold106364,85,3.5,79,2.8,X,-0.321928094887362
scaffold106369,75,3.9,77,3.5,X,-0.156119201917282
scaffold106608,82,3.6,79,3.6,2R,0
scaffold106629,67,4.3,66,3.7,X,-0.216811389073148
