ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C17597278,92,4.2,97,2,X,-1.0703893278914
C17601456,77,2.6,58,1.6,3L,-0.700439718141092
C17605242,94,2,92,1.8,X,-0.15200309344505
C17613648,91,3.5,70,1.9,X,-0.881355503501381
C17616280,86,2.2,90,2.1,3R,-0.0671141958585371
C17617138,98,14,81,2.8,3L,-2.32192809488736
C17623416,99,20,53,1.4,2R,-3.83650126771712
C17623838,100,15,54,1.9,3L,-2.9808911770523
C17627610,100,22,86,3.1,2R,-2.82716340313778
C17628020,100,18,58,1.4,2L,-3.68449817427207
C17628690,99,16,77,2,3L,-3
C17628818,96,5,87,4.3,3R,-0.217591435072627
C17628960,100,20,86,2.6,2R,-2.94341647163363
C17629320,100,23,89,2.6,3L,-3.14505033280328
C17629360,100,20,74,2,3L,-3.32192809488736
C17629386,98,4.2,90,3.6,2L,-0.222392421336448
C17629398,100,21,87,2.5,3L,-3.0703893278914
C17629516,99,21,64,2.5,2R,-3.0703893278914
C17629804,100,23,87,1.9,3R,-3.59756253750079
C17629832,100,16,81,2,3L,-3
C17629846,100,24,88,2.4,3L,-3.32192809488736
scaffold10,68,2.6,68,3,X,0.206450877467426
scaffold100006,85,4.1,68,2.4,3L,-0.772589503896927
scaffold100033,90,3.6,83,2.7,2L,-0.415037499278844
scaffold100048,90,3.9,85,2.5,2L,-0.641546029087524
scaffold100075,80,3.9,72,2.5,U,-0.641546029087524
scaffold100166,80,4.3,72,3,2R,-0.519374159093579
scaffold100180,85,4.3,69,2.5,2R,-0.782408564927373
scaffold100215,60,2.5,57,2.3,2L,-0.120294233717712
scaffold100319,76,3.8,66,2.2,3R,-0.788495894806288
scaffold100400,82,3.5,74,3.2,2L,-0.129283016944966
scaffold100449,65,2.2,53,2.1,2L,-0.0671141958585371
scaffold10046,86,3.5,85,2.9,2R,-0.271302021817394
scaffold100481,97,4.6,92,3.2,3R,-0.523561956057013
scaffold100490,93,4,72,2.6,2R,-0.62148837674627
scaffold100498,79,3.4,75,2.2,2L,-0.628031222613042
scaffold10057,56,4,44,2.1,3L,-0.929610672108602
scaffold100658,79,3.9,56,2.2,2L,-0.825970600224951
scaffold100668,75,3.9,68,2.9,2L,-0.427421223734676
scaffold10072,84,3.7,70,2.3,3R,-0.685891409571937
scaffold100809,88,3.6,69,2.7,2L,-0.415037499278844
scaffold100906,97,3.2,79,2.3,3R,-0.476438043942987
scaffold101033,61,3.7,56,2.5,U,-0.565597175854225
scaffold10111,80,3.6,73,2.7,X,-0.415037499278844
scaffold101124,91,3.8,83,2.5,X,-0.604071323668861
scaffold101156,81,3.6,70,2.3,3L,-0.6463630453853
scaffold101197,58,3.5,47,2.6,X,-0.428843298803874
scaffold101259,78,3.2,65,2.5,X,-0.356143810225275
scaffold101332,81,3.8,68,2.8,2R,-0.440572591385981
scaffold101392,83,4.4,66,2.1,3L,-1.06711419585854
scaffold101398,77,3.9,70,2.8,3R,-0.478047296804644
scaffold101427,85,4.1,79,2.6,3R,-0.657112286476991
scaffold101492,85,4,76,3,U,-0.415037499278844
scaffold101499,81,3.4,67,2.2,3R,-0.628031222613042
scaffold101554,70,4.3,66,3,2L,-0.519374159093579
scaffold101632,69,3.7,55,1.9,3R,-0.961525852185364
scaffold10166,79,2.5,79,2.2,X,-0.184424571137427
scaffold101733,93,4,67,1.7,3R,-1.23446525363702
scaffold101752,36,2.3,30,2.9,2R,0.334419039070559
scaffold101795,84,4.2,74,2.5,2L,-0.748461233004036
scaffold101799,86,3.6,69,2.5,2R,-0.526068811667588
scaffold101942,79,3.6,80,2.8,3R,-0.362570079384708
scaffold102154,76,3.1,68,2.4,3L,-0.369233809665719
scaffold10221,87,4,83,2.8,3R,-0.514573172829758
scaffold102442,82,3.9,77,2.8,3R,-0.478047296804644
scaffold102444,77,3.7,70,2.6,3R,-0.509013647487857
scaffold102554,72,3.2,66,2.3,X,-0.476438043942987
scaffold102616,89,3.9,80,2.7,X,-0.53051471669878
scaffold102731,82,3.5,76,2.7,3L,-0.374395514781498
scaffold102748,87,2.7,75,2.2,2L,-0.295455883526171
scaffold102837,84,3.5,70,2.5,2R,-0.485426827170242
scaffold102857,93,3.8,79,2,3L,-0.925999418556223
scaffold102894,67,3,62,2.8,2R,-0.0995356735509146
scaffold102911,74,3.6,70,2.5,2R,-0.526068811667588
scaffold102935,73,3,72,2.3,3R,-0.383328639551506
scaffold103041,62,3.2,64,2.6,2R,-0.299560281858908
scaffold10317,78,3.3,59,2.4,2R,-0.459431618637297
scaffold103236,71,3.7,67,2.3,X,-0.685891409571937
scaffold103243,62,3.2,41,1.8,X,-0.830074998557688
scaffold103341,84,3.9,80,2.7,2R,-0.53051471669878
scaffold103355,73,3.9,67,2.7,3L,-0.53051471669878
scaffold103384,83,4.6,77,3.6,3L,-0.3536369546147
scaffold103453,86,4,73,2.5,U,-0.678071905112638
scaffold103477,89,4.5,82,2.7,2R,-0.736965594166206
scaffold103586,83,4,80,2.9,3R,-0.46394709975979
scaffold103605,91,3.6,68,1.6,2R,-1.16992500144231
scaffold103611,73,2.8,67,2.6,4,-0.106915203916512
scaffold103688,77,3.3,64,2.6,3L,-0.343954401217361
scaffold10371,74,3.3,64,2.4,3R,-0.459431618637297
scaffold103754,91,4.4,84,3.1,3L,-0.505235308250422
scaffold103762,51,2.7,48,2.2,3L,-0.295455883526171
scaffold103778,76,2.5,82,2.2,2R,-0.184424571137427
scaffold103885,25,2.8,22,2.1,3R,-0.415037499278844
scaffold103896,72,3.2,65,2.4,3L,-0.415037499278844
scaffold103918,66,3.2,63,3,3R,-0.0931094043914815
scaffold10400,79,2.7,77,2.4,2R,-0.169925001442312
scaffold104048,91,4.1,73,2.2,X,-0.898120385980786
scaffold104106,81,3.7,77,2.6,3R,-0.509013647487857
scaffold104130,84,4.2,78,2.9,2R,-0.534336427651188
scaffold104141,52,2.1,52,2,X,-0.070389327891398
scaffold104220,89,3.4,69,1.6,2R,-1.08746284125034
scaffold104308,80,3.5,78,2.8,3L,-0.321928094887362
scaffold104317,76,3.6,77,2.9,U,-0.31194400631474
scaffold104542,93,3.9,80,2.5,3L,-0.641546029087524
scaffold104580,87,3.9,75,2.7,2L,-0.53051471669878
scaffold104643,90,3.3,77,2.4,2L,-0.459431618637297
scaffold104674,59,3.3,42,2.2,X,-0.584962500721156
scaffold104710,47,3.6,44,3,X,-0.263034405833794
scaffold104718,67,3.6,58,2.5,U,-0.526068811667588
scaffold104743,77,3.6,73,2.8,U,-0.362570079384708
scaffold10476,85,4,77,3,3R,-0.415037499278844
scaffold104761,79,3.7,55,2.5,X,-0.565597175854225
scaffold104888,66,3.3,55,2.5,3R,-0.400537929583729
