ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C42232805,90,2.6,85,2.8,2L,0.106915203916512
C42233191,75,2.5,74,2.2,2L,-0.184424571137427
C42233369,89,2.2,79,1.6,X,-0.459431618637297
C42233387,96,8.2,97,6,2L,-0.450661409009565
C42234453,91,1.9,95,2.8,2L,0.559427408614019
C42235093,83,2.4,74,2.8,3L,0.222392421336448
C42235193,78,2.2,80,2.5,2L,0.184424571137427
C42235263,96,3.3,76,2.2,X,-0.584962500721156
C42235275,96,2.2,94,2.9,3L,0.398549376490275
C42236353,98,12,100,17,X,0.502500340529183
C42236399,94,5.5,77,2.9,X,-0.923378718397088
C42236673,97,5,58,1.8,X,-1.47393118833241
C42236721,94,3.8,89,2.3,3L,-0.724365557386573
C42237011,96,2.8,85,3.1,3L,0.146841388329271
C42237141,97,3.4,94,3,X,-0.180572245641821
C42237619,97,11,0,NA,3R,NA
C42238109,95,2.3,95,3.1,X,0.430634354329863
C42238421,98,7.5,99,9.7,3R,0.371094151691247
C42238925,92,3.7,90,2.8,X,-0.402098443571346
C42238999,99,9.1,86,3.1,3L,-1.55359832981182
C42239253,99,14,0,NA,4,NA
C42239397,97,5.7,99,8,2L,0.489038080722621
C42239423,98,5.2,96,7.3,3R,0.489384840738925
C42241401,99,11,100,18,3R,0.710493382805015
C42241717,99,11,99,19,2L,0.788495894806288
C42241755,100,12,100,20,3R,0.736965594166206
scaffold100069,41,1.9,38,2.5,X,0.395928676331139
scaffold100104,73,2.4,63,2.7,3R,0.169925001442313
scaffold100296,84,3.3,64,2.1,3L,-0.652076696579693
scaffold100314,69,2.4,74,2.5,3L,0.0588936890535686
scaffold100391,76,3.5,66,2.3,X,-0.605721060887954
scaffold100450,54,2.5,54,2.5,3R,0
scaffold100534,65,2.7,75,2.4,2R,-0.169925001442312
scaffold100547,77,3.5,77,3.7,3R,0.0801703486839834
scaffold100591,68,2.8,72,2.6,3R,-0.106915203916512
scaffold100660,48,1.6,74,3.1,4,0.954196310386875
scaffold100748,88,3.2,75,2.5,2R,-0.356143810225275
scaffold100778,83,3.3,77,3,3L,-0.137503523749935
scaffold100832,80,2,89,2.4,2L,0.263034405833794
scaffold100934,64,2.4,71,3.1,2L,0.369233809665719
scaffold101001,36,2,36,1.1,3R,-0.862496476250065
scaffold10104,76,2.6,73,2.4,3R,-0.115477217419936
scaffold101143,86,3,83,2.9,3R,-0.0489096004809464
scaffold101309,65,2.4,57,2.5,2L,0.0588936890535686
scaffold101337,79,2.7,77,2.6,3R,-0.0544477840223765
scaffold101341,69,2.5,77,2.5,X,0
scaffold101382,80,2.9,78,2.6,3L,-0.15754127698648
scaffold101390,83,2.7,81,2.6,X,-0.0544477840223765
scaffold10140,61,2.7,64,2.7,3R,0
scaffold101426,82,2.5,75,2.7,2R,0.111031312388744
scaffold101477,74,2.8,75,2.9,3L,0.0506260730699681
scaffold101509,71,2.8,71,2.8,X,0
scaffold1016,60,2.2,51,2.9,3R,0.398549376490275
scaffold101610,73,3.2,66,1.9,3L,-0.752072486556415
scaffold101642,58,1.6,53,1.9,3R,0.247927513443585
scaffold101644,69,2.3,62,1.9,3R,-0.275634442613427
scaffold101668,72,2.8,73,2.6,3R,-0.106915203916512
scaffold101825,84,3.1,77,2.4,3L,-0.369233809665719
scaffold101853,60,2.2,65,3,2L,0.447458976971221
scaffold102054,55,3.3,66,2.7,X,-0.289506617194985
scaffold102102,74,2.1,63,2.3,3R,0.131244533278252
scaffold102167,63,2.3,67,2.4,2L,0.0614005446641433
scaffold102266,87,3.4,76,2.1,X,-0.695145418471579
scaffold102337,64,3.6,58,2.5,X,-0.526068811667588
scaffold102342,82,2.4,73,2.5,3R,0.0588936890535686
scaffold102363,82,2.8,85,2.9,3L,0.0506260730699681
scaffold102393,55,2.2,47,2.2,X,0
scaffold102484,59,2.7,66,3.1,3L,0.199308808223407
scaffold102488,57,2.1,61,2.6,2L,0.308122295362332
scaffold102500,70,2.6,72,3.1,X,0.253756592245783
scaffold102561,79,2.4,74,2.6,2L,0.115477217419936
scaffold102588,79,2.5,79,2.8,3R,0.163498732282879
scaffold102739,75,2.6,66,2.6,2L,0
scaffold102788,72,3.1,74,3,X,-0.0473057147783568
scaffold102803,67,2.8,64,1.5,X,-0.900464326449086
scaffold102939,77,2.9,72,2.4,2L,-0.273018494406416
scaffold102971,75,2.7,73,2.5,3L,-0.111031312388744
scaffold102978,52,3,56,2.2,3L,-0.447458976971221
scaffold103009,88,3.4,85,2.5,3R,-0.443606651475615
scaffold103068,54,1.6,70,2.5,2R,0.643856189774725
scaffold103115,52,2.1,68,2.4,3R,0.192645077942396
scaffold103138,73,2.4,53,2.2,3L,-0.125530882083859
scaffold103192,74,3.4,75,2.9,2L,-0.229481846122767
scaffold103271,47,3.6,31,3.8,3R,0.0780025120012732
scaffold103309,92,3.1,85,2.8,2R,-0.146841388329271
scaffold103315,66,2.7,47,2.5,X,-0.111031312388744
scaffold103324,73,2.5,75,2.4,2R,-0.0588936890535686
scaffold10333,75,2.7,73,2.8,3R,0.0524674198941355
scaffold103335,78,3,80,2.7,2L,-0.15200309344505
scaffold103356,80,2.5,50,2.1,3R,-0.251538766995964
scaffold103375,72,3.1,63,2.2,3R,-0.494764691749578
scaffold103414,70,3.4,76,2.7,3R,-0.332575339086871
scaffold103424,63,2.1,68,2.5,X,0.251538766995964
scaffold103434,66,2.9,61,2.7,3R,-0.103093492964103
scaffold103494,32,1.7,56,2.3,2R,0.436099114806673
scaffold103502,75,4.6,80,3.5,2R,-0.394278939112046
scaffold103592,45,1.3,69,2.5,4,0.943416471633632
scaffold103617,49,2,78,3.3,3L,0.722466024471091
scaffold103631,77,3.5,68,2.7,X,-0.374395514781498
scaffold103702,74,3.9,70,2.8,3R,-0.478047296804644
scaffold103733,80,2.3,71,1.3,3R,-0.823122237915921
scaffold103736,85,3.6,82,2.5,3R,-0.526068811667588
scaffold103766,82,1.9,78,2.6,3L,0.452512204697507
scaffold103771,61,2.5,60,2.3,3R,-0.120294233717712
scaffold103818,60,2.5,58,2.4,2L,-0.0588936890535686
scaffold103821,60,2.6,47,1.8,2L,-0.53051471669878
scaffold104142,72,2.9,73,2.1,X,-0.465663572348812
scaffold104170,72,3.2,48,2.4,3R,-0.415037499278844
scaffold10419,80,2.9,84,2.9,2L,0
scaffold104279,55,2.1,58,2.2,3R,0.067114195858537
scaffold104315,70,2.7,65,2.2,2R,-0.295455883526171
scaffold104325,67,5.3,70,4.6,2L,-0.204358498506186
scaffold104355,80,2.3,76,2.6,3L,0.176877762084079
scaffold104396,57,3.3,58,2.9,3R,-0.186413124230881
scaffold104471,42,1.7,34,2.4,3L,0.497499659470817
scaffold104704,64,2.7,63,2.6,3L,-0.0544477840223765
scaffold104706,81,3.3,73,2.7,3L,-0.289506617194985
scaffold104727,60,2.9,65,2.6,2R,-0.15754127698648
scaffold104794,82,2.8,82,2.5,2R,-0.163498732282879
scaffold104795,43,1.7,53,2.3,3L,0.436099114806673
scaffold104894,58,1.9,73,2.2,2L,0.211504105193712
scaffold104935,88,4.5,80,2.7,3R,-0.736965594166206
scaffold105042,62,2.6,53,2.2,2R,-0.241008099503795
scaffold105051,71,3.2,71,3.2,2R,0
scaffold105171,87,3,83,3,2L,0
scaffold105224,76,2.7,72,3.1,2R,0.199308808223407
scaffold10529,71,2.8,57,2.5,3R,-0.163498732282879
scaffold105323,72,3.3,55,2.3,3L,-0.520832163301441
scaffold105345,64,3.1,55,2.7,X,-0.199308808223407
scaffold105428,63,1.9,82,3,3R,0.658963082164933
scaffold105452,83,3.7,65,2,3L,-0.887525270741588
scaffold105511,52,2.6,62,2.4,3L,-0.115477217419936
scaffold10556,73,2.3,74,2.8,3L,0.283792966000591
scaffold105611,56,2.4,63,2.2,2L,-0.125530882083859
scaffold105810,62,2.6,83,2.3,3R,-0.17687776208408
scaffold105985,83,2.7,77,2.9,X,0.103093492964103
scaffold106005,81,3,81,2.9,3R,-0.0489096004809464
scaffold106162,60,2.2,57,2.6,3R,0.241008099503795
scaffold106267,87,3.1,74,1.7,3R,-0.866733469136536
scaffold106273,85,3.2,90,2.6,2R,-0.299560281858908
scaffold106417,81,3.1,80,2.5,2L,-0.310340120612151
scaffold10642,72,2.7,74,2.6,2R,-0.0544477840223765
scaffold106425,86,3.1,84,2.6,3L,-0.253756592245783
scaffold106472,54,2.1,37,2.1,3R,0
scaffold106597,86,3.2,78,2.6,3R,-0.299560281858908
scaffold106602,77,2.6,92,3.2,2L,0.299560281858908
