ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C6055477,89,2.5,82,3.2,3L,0.356143810225275
C6055523,76,10,95,9.8,2L,-0.0291463456595163
C6055551,60,1.6,57,3.1,3R,0.954196310386875
C6055553,99,8.5,100,9.8,2L,0.205318907977507
C6055557,73,3.9,89,4.8,X,0.299560281858908
C6055565,98,8.2,99,11,X,0.423807708906576
C6055567,83,5.3,99,8.7,3R,0.715023041285529
C6055581,91,6.4,94,8.2,2R,0.357552004618083
C6055605,75,3.3,68,3.1,3L,-0.0901978089715781
C6055615,96,6.6,97,15,3R,1.18442457113743
C6055627,71,5.5,86,7.3,X,0.408464845355357
C6055719,100,12,99,18,X,0.584962500721156
C6055761,87,7.4,89,13,2R,0.812914447399505
C6055801,78,4.5,80,11,2R,1.28950661719498
C6055821,98,6.9,100,11,2R,0.67283525674649
C6055863,93,7.1,100,11,X,0.631612594019978
C6055905,72,5.9,85,5.2,3L,-0.182203331220749
C6055957,97,5.4,96,10,2L,0.888968687611256
C6055969,100,14,97,18,X,0.362570079384708
C6055981,77,5.7,98,4.4,3R,-0.373458395527444
C6055997,100,15,99,17,2R,0.180572245641821
C6056081,98,6.1,99,10,2L,0.713118852211838
C6056117,99,11,99,15,2L,0.447458976971221
C6056181,96,6.3,95,12,3R,0.929610672108602
C6056241,72,4.7,88,6.3,2R,0.422691071822279
C6056401,100,9.7,98,15,2L,0.628905848308753
C6056463,77,6.7,94,4.4,2L,-0.606657571820475
C6056493,88,4.9,83,5.9,X,0.267933205246633
C6056539,78,6.7,89,10,2R,0.577766999316952
C6056579,98,7.5,99,9.3,3R,0.31034012061215
C6056621,97,11,100,14,X,0.347923303420307
C6056705,70,3.5,85,5.7,3R,0.703606997219775
C6056721,86,4.1,91,7.2,2R,0.812372996824229
C6056727,91,8.5,82,7.1,3R,-0.25964381663302
C6056743,56,3.7,63,5.8,3R,0.648527629498622
C6056835,71,1.6,78,7.5,X,2.22881869049588
C6056853,98,9.7,100,16,2R,0.722015252700235
C6056905,62,2.6,86,11,X,2.08091999538357
C6056953,74,3.6,97,6,3L,0.736965594166206
C6057041,99,15,99,8.8,3L,-0.769387071858584
C6057077,99,6.7,100,9.7,2L,0.533823651729355
C6057105,94,5.3,84,2.6,3L,-1.02748073642211
C6057111,99,15,100,14,3R,-0.0995356735509144
C6057137,99,7.5,99,11,2L,0.552541023028779
C6057179,100,12,98,12,X,0
C6057187,74,3.5,89,4.6,X,0.394278939112046
C6057229,96,4,99,4.9,3R,0.292781749227846
C6057243,98,7.9,98,11,2R,0.477578965347557
C6057255,99,8.5,100,10,3R,0.234465253637023
C6057277,100,15,100,17,2L,0.180572245641821
C6057411,95,8.8,89,6.1,3L,-0.528694281074411
C6057425,97,5.1,97,7.6,2L,0.57550217147209
C6057439,84,5,91,9.8,3R,0.970853654340484
C6057527,81,4.5,97,8.1,3R,0.84799690655495
C6057563,67,7,86,8.2,3R,0.228268987673117
C6057581,98,5.6,100,9.3,2L,0.731803889050428
C6057645,93,5.8,93,8.4,3R,0.534336427651188
C6057673,91,7.4,98,9,2L,0.282399730700725
C6057743,81,5.6,94,9.2,X,0.716207033999409
C6057777,83,4.5,86,3.2,3L,-0.491853096329675
C6057801,99,12,99,15,2R,0.321928094887362
C6057807,85,8.9,93,9.6,2L,0.109229069754758
C6057893,79,5.4,95,6.1,X,0.175849835399418
C6057905,93,9.3,99,10,2R,0.104697378666693
C6057969,92,12,95,7.6,3L,-0.658963082164933
C6057975,98,6.1,99,10,3L,0.713118852211838
C6057989,94,5.4,98,5.5,3L,0.0264722113611909
C6057991,99,7.9,98,9.3,2R,0.235378062930929
C6058029,84,4.1,95,5.7,2L,0.475338009546658
C6058049,75,3.5,79,7.2,2R,1.04064198449735
C6058059,45,3.3,87,3.7,X,0.165059246270496
C6058135,100,29,95,19,3L,-0.610053481683987
C6058141,37,11,67,6.6,X,-0.736965594166206
C6058215,80,3,97,6.9,2R,1.20163386116965
C6058267,98,5.1,100,8.5,3R,0.736965594166206
C6058271,99,8.5,99,8.9,2L,0.0663424948286961
C6058373,96,10,96,6.6,3L,-0.599462070416271
C6058377,99,8.3,100,12,2L,0.531851164261594
C6058463,96,8.8,99,11,3R,0.321928094887362
C6058493,99,14,99,13,3L,-0.106915203916512
C6058501,99,14,100,22,2R,0.652076696579693
C6058575,99,10,99,13,X,0.37851162325373
C6058593,98,9.6,100,13,2L,0.437405312307298
C6058609,85,6.3,90,11,X,0.804079790024743
C6058689,96,5.6,100,11,2R,0.974004791467056
