ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C8684219,97,5.3,89,4.4,2L,-0.268488835925902
C8685897,94,7.7,97,7.6,3L,-0.018859027251316
C8686765,100,4.7,96,7.3,3R,0.63523570720238
C8687561,97,6.2,97,5.6,3R,-0.146841388329271
C8688635,98,18,100,17,2L,-0.082462160191973
C8690241,95,8.7,98,7.3,2R,-0.253118936968711
C8690487,96,7.7,94,6.3,2L,-0.289506617194985
C8691097,98,9.6,86,3.4,X,-1.49749965947082
C8691123,97,6.7,99,6.3,2R,-0.0888092669578561
C8693033,99,6.7,93,8,3L,0.25583890442959
C8693199,98,6.8,99,6.4,3L,-0.0874628412503393
C8694129,100,6.4,98,5.8,2R,-0.142019004872428
C8694355,98,6.3,99,6.7,3L,0.088809266957856
C8695631,97,6.1,96,7.3,3R,0.259087221317131
C8696329,100,15,97,6.9,X,-1.12029423371771
C8696631,92,4.8,96,6.2,2L,0.369233809665719
C8698017,100,7.7,98,5.8,3R,-0.408805545567329
C8698985,99,7.5,98,5.6,3R,-0.421463768438277
C8699635,100,14,99,11,3R,-0.347923303420307
C8699651,98,8,100,8.8,3L,0.137503523749935
C8700417,97,6.1,98,7.1,2L,0.219009781941796
C8700757,100,7.6,93,3.5,X,-1.11864449649862
C8700953,98,6.2,89,7,3L,0.175086706558091
C8701431,92,8.5,94,8.2,3R,-0.0518389315196182
C8701803,98,8.1,96,4.9,3R,-0.725140158769417
C8702709,97,7.4,99,8.6,3R,0.216811389073148
C8702735,96,5.3,99,8.5,2L,0.681470481574503
C8704171,95,6.9,100,19,3R,1.46133115155278
C8704849,98,7.3,95,3.8,X,-0.941897045436432
C8705455,98,7.1,99,6.8,2L,-0.0622842782543426
C8705713,98,5.8,98,5.7,3L,-0.0250909809628303
C8705885,100,12,96,3.2,X,-1.90689059560852
C8706185,99,8.3,98,7.8,2L,-0.0896372124846765
C8706377,99,8.7,97,7.9,3L,-0.139162747671625
C8706525,99,6.9,100,6,3L,-0.201633861169651
C8706999,98,7.6,98,7.3,3L,-0.0581029545635683
C8707211,99,6.2,93,6.1,3R,-0.0234589728239891
C8707577,100,6.9,96,5.9,3L,-0.225881407416328
C8709009,99,9.1,98,9.8,3L,0.106915203916512
C8711147,97,6.5,98,9.5,2L,0.547487795302493
C8711607,98,14,97,7.6,2R,-0.881355503501381
C8713129,97,6.6,99,7.3,3R,0.145430439521564
C8713957,96,6,97,5.5,2R,-0.125530882083859
C8714413,98,5.7,98,5.2,2R,-0.13245029602365
C8714453,96,6.9,99,6,2R,-0.201633861169651
C8714563,100,7.4,98,7,2R,-0.0801703486839833
