ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C6493169,97,7.4,98,8.1,3R,0.130396637255675
C6493281,100,11,96,14,3R,0.347923303420307
C6493311,96,8.3,98,14,3L,0.754243585598042
C6493607,91,5.2,97,9,3R,0.791413378188582
C6493711,98,11,100,17,2R,0.628031222613042
C6493925,97,9.2,99,18,3R,0.968291140272662
C6494109,99,11,98,7.3,X,-0.591535154644642
C6494447,99,8.4,99,14,3L,0.736965594166206
C6494571,98,6.9,99,24,3R,1.79836613883035
C6494573,96,4.5,99,15,3R,1.73696559416621
C6494629,98,9,99,16,3R,0.830074998557688
C6494731,98,7.7,100,17,3R,1.1426043954428
C6494765,97,6,96,12,3R,1
C6494797,99,15,99,32,3L,1.09310940439148
C6495089,98,13,98,25,2R,0.943416471633633
C6495677,97,7.7,100,15,3R,0.96203214980098
C6495683,100,7.8,98,5.9,X,-0.402759169500407
C6495733,100,10,100,20,2L,1
C6495755,98,11,100,21,3R,0.932885804141463
C6496409,97,8,99,14,3R,0.807354922057604
C6496481,86,6.3,88,12,2R,0.929610672108602
C6496877,96,8.3,99,14,3R,0.754243585598042
C6496897,98,8.5,100,15,2L,0.819427754358179
C6497311,99,9.7,100,18,3R,0.891940254142547
C6497331,99,7.2,99,11,3R,0.611434712082347
C6497727,98,6.8,97,7,X,0.0418201756946272
C6498399,100,11,97,18,3L,0.710493382805015
C6498587,98,7.7,98,16,3R,1.05514155419246
C6498865,98,8.5,98,14,3L,0.719892080807265
C6498937,96,5.6,96,17,3R,1.6020360140801
C6499471,99,7.8,99,14,3R,0.843880798082718
C6499481,99,9.6,99,20,2R,1.05889368905357
C6499485,98,9.2,100,23,3R,1.32192809488736
C6499493,89,8,100,16,3R,1
C6499587,99,10,99,15,2R,0.584962500721156
C6499871,98,9,99,13,2L,0.53051471669878
C6499893,100,7,100,20,2R,1.51457317282976
C6500239,97,5.5,100,17,2L,1.62803122261304
C6500291,99,14,98,17,2L,0.280107919192735
C6500513,96,8.8,97,18,2R,1.03242147769238
C6500575,41,6.1,45,18,2L,1.56111575876679
C6500931,99,8.6,96,14,3R,0.703018262242869
C6501149,98,7.2,98,15,2R,1.05889368905357
C6501307,95,8.1,99,17,3L,1.06954093325308
C6501801,99,12,99,22,3R,0.874469117916141
C6502057,96,7.5,100,14,2L,0.900464326449086
C6502171,96,11,99,20,3R,0.862496476250065
C6502177,100,8.8,100,14,3R,0.669851398307669
C6502195,98,8.6,93,15,2R,0.802553935793783
C6502493,99,9.8,98,15,3L,0.614108846380673
C6503281,96,7.6,98,13,2R,0.774440299584869
C6503351,99,11,100,24,3R,1.12553088208386
C6503519,99,10,99,21,2L,1.0703893278914
C6503893,86,10,89,17,2L,0.765534746362977
C6504081,80,10,82,19,2R,0.925999418556223
C6504093,99,6.6,93,9.9,3R,0.584962500721156
C6504171,100,11,99,21,3R,0.932885804141463
C6504325,85,5.9,100,12,3R,1.02424754624668
C6504383,98,9,98,14,3R,0.637429920615292
C6504423,95,6,99,11,2R,0.874469117916141
C6504513,94,9.5,100,20,2R,1.07400058144378
C6504557,98,9.6,100,16,3L,0.736965594166206
C6504653,99,6.8,100,18,2L,1.40439025507934
C6504859,98,10,99,18,3R,0.84799690655495
C6505229,97,7.8,100,11,3R,0.495957494662411
C6505267,99,7.9,98,9,3L,0.188072348152572
C6505481,99,9.8,98,15,3R,0.614108846380673
C6505797,95,6.4,99,18,2R,1.49185309632967
C6506199,99,7.4,96,17,3R,1.19993757050875
C6506377,95,7.6,99,16,3R,1.07400058144378
C6506771,99,8.3,100,16,2L,0.946888663540437
C6506833,99,7.8,100,20,3L,1.35845397091248
C6506879,99,8.7,100,16,3R,0.878984599038634
C6507021,95,9.8,98,15,3R,0.614108846380673
C6507047,95,9.4,99,17,2L,0.854802084460064
C6507299,67,9,67,10,X,0.15200309344505
C6507395,98,4.5,99,10,3R,1.15200309344505
C6507931,98,8.3,100,15,3R,0.853779259148956
C6508149,100,11,99,15,3R,0.447458976971221
C6508227,98,10,99,15,3R,0.584962500721156
C6508341,100,11,99,21,2L,0.932885804141463
C6508377,94,7.7,99,16,3L,1.05514155419246
C6508505,98,9,98,20,2R,1.15200309344505
C6508815,99,9,92,6.2,X,-0.5376567859428
C6508929,99,11,99,15,3L,0.447458976971221
C6509325,99,9.2,100,21,3L,1.19068356160911
C6509367,100,9.4,99,23,3L,1.29090119926674
C6509543,99,7.6,99,15,3R,0.980891177052295
C6510463,87,9.3,89,18,3R,0.952694285221643
C6510665,96,8.4,99,15,2L,0.836501267717121
C6510779,95,11,98,18,2L,0.710493382805015
C6510807,100,9.3,100,15,3R,0.689659879387849
C6511231,99,9.7,99,13,3L,0.422454970841327
C6511545,99,11,98,19,2L,0.788495894806288
C6511975,100,8.1,100,14,2R,0.789433014060342
C6512011,97,9.2,97,20,2R,1.12029423371771
C6512277,100,11,98,13,2L,0.241008099503795
C6512433,98,10,98,23,3L,1.20163386116965
C6512449,98,7.4,98,17,3R,1.19993757050875
C6512603,100,7.1,98,14,3R,0.979535897440284
C6512845,99,7.6,100,16,2R,1.07400058144378
C6512847,100,9.6,100,18,3R,0.906890595608518
C6512897,93,8,94,16,3R,1
C6513117,99,7.3,100,20,2R,1.45403163089471
C6513179,98,8.7,99,15,3R,0.785875194647153
C6513227,97,9.5,100,19,2R,1
C6513935,99,9.3,99,17,3R,0.87023212502967
C6514231,96,11,99,18,3L,0.710493382805015
C6514779,99,6.6,97,10,3R,0.599462070416271
C6514809,100,13,100,21,2R,0.691877704637668
C6514889,100,7.8,100,15,3L,0.943416471633633
C6514969,95,6.1,97,15,3R,1.29808135293299
C6515249,99,11,99,18,3R,0.710493382805015
C6515551,82,8.7,83,20,3R,1.200912693926
C6515575,93,9.5,97,14,2L,0.559427408614019
C6515917,99,7.8,99,14,2R,0.843880798082718
C6516001,99,6.7,98,17,3R,1.34330174567993
C6516503,99,9.8,99,13,3R,0.407657968913246
C6516975,87,10,89,17,3R,0.765534746362977
C6517013,98,8.4,100,17,2R,1.01707351335894
C6517535,100,13,99,14,2R,0.106915203916512
C6517581,99,10,100,21,3L,1.0703893278914
C6517697,100,7,99,14,3R,1
C6517961,99,11,100,20,3L,0.862496476250065
C6518673,98,7.7,97,11,3R,0.514573172829758
C6518893,99,11,100,31,2R,1.49476469174958
C6519103,97,9.4,97,7.4,X,-0.345135486048688
C6519227,100,6.7,98,12,3L,0.840801405150746
C6519691,98,8.1,98,14,3R,0.789433014060342
C6519745,98,7.2,98,14,3L,0.959358015502654
C6519809,99,7.3,97,16,3L,1.13210353600735
C6520191,100,14,99,22,3R,0.652076696579693
C6520907,89,8.9,92,17,2R,0.933657505171304
C6521339,100,11,98,13,3R,0.241008099503795
C6521341,98,11,99,17,3R,0.628031222613042
C6521405,99,10,99,11,X,0.137503523749935
C6521473,94,8.2,96,9.1,2L,0.150242635580613
C6521719,99,8.1,100,17,2R,1.06954093325308
C6521815,99,19,100,21,3R,0.144389909335175
C6521855,99,8.4,100,20,3L,1.25153876699596
C6522021,100,21,99,25,3R,0.251538766995964
C6522241,98,11,98,20,3R,0.862496476250065
C6522619,98,9.5,100,17,2R,0.839535327806754
C6523147,100,9,99,16,2R,0.830074998557688
C6523921,99,8.8,100,18,3L,1.03242147769238
C6523997,100,8.2,99,14,3R,0.771731012326883
C6524119,99,10,99,20,2L,1
C6524153,99,9.1,99,19,3R,1.06206096813225
C6524211,98,8.9,98,8.1,X,-0.135883428081773
C6524235,88,13,89,24,3R,0.884522782580064
C6524347,98,6.8,99,9.8,3R,0.527247002864869
C6524413,100,9.2,100,19,3R,1.04629365227394
C6525487,99,7.7,100,11,2R,0.514573172829758
C6525579,98,10,99,17,3R,0.765534746362977
C6525581,97,9.2,100,18,2R,0.968291140272662
C6525901,98,9.8,99,15,2R,0.614108846380673
C6526033,100,9.2,100,22,3R,1.25779775746765
C6526199,100,13,100,16,3R,0.299560281858908
C6526283,97,9.2,100,19,2L,1.04629365227394
C6526305,99,11,100,20,3L,0.862496476250065
C6526633,98,11,98,11,X,0
