ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C33969841,96,6.5,100,10,2L,0.62148837674627
C33969885,98,9.3,99,11,3L,0.242200902416628
C33969907,100,9.6,98,8.5,2R,-0.175571564583454
C33969911,96,9.8,96,8.6,X,-0.188445089413111
C33969917,92,6.7,99,10,2R,0.577766999316952
C33969939,97,7.2,97,8.9,3L,0.305808429524085
C33969973,96,6.6,100,7.3,2R,0.145430439521564
C33969981,99,9.9,100,8.5,2R,-0.219965683941908
C33969993,99,8.9,99,9.4,3R,0.0788554207112395
C33970015,91,8.2,98,11,X,0.423807708906576
C33970035,99,8.3,99,8.2,3R,-0.0174874267288413
C33970043,96,7.9,99,10,2R,0.340075441597622
C33970067,97,6.5,99,6.5,3R,0
C33970081,98,7.3,91,8.6,3R,0.236440195822081
C33970105,98,7.2,98,7.5,2R,0.0588936890535686
C33970109,96,6.5,93,8.4,3L,0.369949609750306
C33970111,98,4.9,100,9.7,3L,0.985202998071919
C33970163,96,5.9,95,4.8,2R,-0.297680548640685
C33970165,97,10,100,9,X,-0.15200309344505
C33970189,99,9.9,95,8.1,3L,-0.289506617194985
C33970209,96,7.4,98,9.7,2L,0.390459476558178
C33970215,98,7.5,100,8,3R,0.0931094043914815
C33970223,95,8.6,90,8.3,3L,-0.0512253233551729
C33970227,92,5.4,99,8.7,3R,0.68805599368526
C33970229,98,7.2,98,8.6,3R,0.256339753259786
C33970231,98,8.8,97,9.2,3L,0.0641303374197153
C33970245,98,7.2,96,8.9,3L,0.305808429524085
C33970259,100,7.4,99,9.4,3L,0.345135486048687
C33970309,90,5.3,96,6.4,3R,0.272079545436801
C33970361,99,7.7,98,10,3L,0.377069649079823
C33970437,94,8.4,93,9.3,3L,0.146841388329271
C33970439,97,7.2,87,3.2,3R,-1.16992500144231
C33970445,99,6.3,99,8.2,2L,0.380272081118167
C33970447,99,8.4,98,10,2L,0.251538766995964
C33970455,93,5.6,100,7.7,X,0.459431618637297
C33970459,99,6.7,99,9.5,3R,0.503766417873175
C33970465,99,8.3,99,9.1,3L,0.132755208851771
C33970469,98,8,100,6.8,3L,-0.234465253637023
C33970483,100,6.4,98,8.4,3L,0.39231742277876
C33970487,100,7.9,96,7.9,2R,0
C33970503,98,7.9,96,8.1,2R,0.0360692547075217
C33970515,100,6.2,97,9.1,3R,0.553598329811821
C33970525,99,6.4,94,7.6,X,0.247927513443585
C33970551,100,8.1,99,8.7,3L,0.103093492964103
C33970567,99,7.4,99,7.9,X,0.0943273825481531
C33970591,99,5.9,94,8.8,2R,0.576788569275456
C33970593,98,6.1,98,6.2,3L,0.023458972823989
C33970599,95,6.5,94,6.6,X,0.0220263063299989
C33970633,98,7.8,98,10,X,0.358453970912476
C33970643,96,7.1,96,5.7,3R,-0.31685710533994
C33970649,98,6.2,96,7.4,3L,0.255257055242075
C33970669,99,7.5,96,5,2R,-0.584962500721156
C33970677,98,4.8,99,6.2,3L,0.369233809665719
C33970685,98,5.3,96,8.3,3L,0.647118976783726
C33970727,96,6.5,99,6.8,3R,0.065095028221885
C33970749,93,6.8,98,7.4,3L,0.121990524378611
C33970761,99,6.7,96,6.4,3R,-0.0660891904577725
C33970791,99,7.3,97,6.1,3R,-0.259087221317131
C33970793,99,10,99,11,3R,0.137503523749935
C33970807,97,7.9,100,8.4,X,0.0885366746016572
C33970871,97,7.3,92,6.6,2R,-0.145430439521564
C33970907,99,12,99,9.6,3R,-0.321928094887362
C33970933,97,7,100,7.4,3L,0.0801703486839834
C33970955,92,6.5,81,5,3R,-0.37851162325373
C33970975,100,8.4,97,9.6,2R,0.192645077942396
C33971013,99,7.9,99,6.4,3R,-0.303780748177103
C33971029,97,6.6,100,7.6,X,0.203533394085132
C33971031,98,8.8,99,7.8,X,-0.174029399775049
C33971055,97,6.5,99,6.3,3L,-0.045087889528538
C33971071,100,6.3,98,9.2,X,0.546282032557096
C33971085,93,7.9,98,9.5,X,0.266074860153845
C33971107,98,7.7,97,8,3R,0.0551415541924608
C33971113,99,9.3,94,7.7,2R,-0.27237227041313
C33971125,84,4.6,97,7.1,3R,0.626185163447669
C33971177,98,7.4,98,8.9,2L,0.266280065337448
C33971191,96,7.6,100,7.5,X,-0.0191088229477045
C33971197,99,7.2,100,8.8,3R,0.289506617194985
C33971211,97,4.9,96,8.8,X,0.844721774522089
C33971281,97,7.3,99,10,3L,0.454031630894707
C33971357,99,9,97,9.4,2R,0.0627357553479627
C33971381,96,8.4,99,7.4,2L,-0.182864057149811
C33971405,98,4.9,99,8,3L,0.707218250772154
C33971451,98,6.6,99,9.4,3L,0.510194732319184
C33971457,99,8.6,98,10,2R,0.217591435072627
C33971549,99,6.3,100,8.3,2R,0.397759507847009
C33971551,97,8.8,99,8.3,X,-0.0843921872903724
C33971597,98,8.3,98,6.9,X,-0.266514974568756
C33971637,95,6.4,98,6.4,2R,0
C33971675,97,5.6,96,6.7,2L,0.258734268400169
C33971695,98,6.6,95,9.7,3R,0.555518722828674
C33971701,97,6.8,96,12,3R,0.819427754358179
C33971711,95,9,98,9.7,3R,0.108059745857453
C33971757,94,6.6,96,11,3R,0.736965594166206
C33971879,99,5.7,95,8.4,2R,0.559427408614019
C33971901,100,9.4,99,8.4,3L,-0.162271428898877
C33971907,98,6.5,99,10,X,0.62148837674627
C33971915,94,7.7,100,8.8,3R,0.192645077942396
C33971977,97,8.6,98,6.4,X,-0.426264754702098
C33971985,99,7.6,98,8.9,2L,0.227805917522813
C33971987,95,8.1,100,6.7,X,-0.273760812426852
C33971993,99,6.6,94,5.6,3R,-0.237039197300849
C33972017,95,7.5,97,6.3,2R,-0.251538766995964
C33972021,93,6.9,99,8.3,2R,0.266514974568756
C33972037,98,11,97,6.9,3L,-0.67283525674649
