ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C6594615,99,30,99,30,3R,0
C6594855,98,25,89,14,3R,-0.83650126771712
C6595091,100,29,99,8.1,3R,-1.84005908713031
C6595101,100,31,99,15,2L,-1.04730571477836
C6595653,99,38,98,22,2R,-0.788495894806288
C6595957,100,27,99,24,4,-0.169925001442312
C6596137,100,25,98,14,2L,-0.83650126771712
C6596425,100,24,96,19,3R,-0.337034987277571
C6596633,100,36,100,23,3R,-0.6463630453853
C6597013,99,31,93,10,X,-1.63226821549951
C6597247,100,26,99,23,2R,-0.176877762084079
C6597289,100,30,99,16,2R,-0.906890595608519
C6597879,100,57,100,37,2L,-0.623436648535792
C6598027,99,24,93,24,2R,0
C6598243,100,21,99,39,2L,0.893084796083488
C6598297,100,23,93,11,X,-1.06413033741972
C6598317,100,30,96,4.8,3L,-2.64385618977472
C6598325,100,28,94,11,3L,-1.34792330342031
C6598443,99,27,97,11,3L,-1.29545588352617
C6599025,100,37,99,25,3R,-0.565597175854225
C6599071,100,28,100,5.7,3L,-2.29639300278022
C6599075,99,35,99,28,3R,-0.321928094887362
C6600077,99,31,97,14,2L,-1.14684138832927
C6600379,100,26,100,9.5,3L,-1.45251220469751
C6600967,100,29,99,33,2R,0.186413124230881
C6601237,100,25,91,15,X,-0.736965594166206
C6601441,100,24,100,37,2R,0.624490864907794
C6601597,100,29,96,20,2R,-0.53605290024021
C6602141,100,24,95,12,2L,-1
C6602205,99,35,99,15,2R,-1.22239242133645
C6602505,100,29,100,16,3R,-0.857980995127572
C6602819,99,27,98,17,2R,-0.667424660913129
C6602841,98,26,100,22,3R,-0.241008099503795
C6603959,100,31,100,10,3R,-1.63226821549951
C6604361,99,28,96,12,3R,-1.22239242133645
C6604537,100,21,97,9.6,3L,-1.12928301694497
C6605023,100,26,99,19,2L,-0.452512204697507
C6605367,99,33,98,9.7,3L,-1.76640937205869
C6605695,99,21,98,9.9,3R,-1.08488889758651
C6605983,100,39,100,24,2R,-0.700439718141092
C6606429,100,25,96,10,X,-1.32192809488736
C6606577,100,25,99,15,2R,-0.736965594166206
C6606735,100,35,100,31,2L,-0.175086706558091
C6606997,100,33,98,22,3R,-0.584962500721156
C6607693,100,28,98,19,3R,-0.559427408614019
C6608009,100,21,98,15,2L,-0.485426827170242
C6608099,100,32,99,15,2L,-1.09310940439148
C6608261,100,27,100,23,2L,-0.231325546106456
C6608689,100,57,100,30,2L,-0.925999418556223
C6608729,100,31,99,8.9,3L,-1.80039097430784
C6609187,100,33,99,9.4,X,-1.81173336256818
C6609255,100,55,99,19,3L,-1.53343220008107
C6609287,99,18,100,14,2L,-0.362570079384708
C6609569,100,30,99,14,X,-1.09953567355091
C6609839,100,33,97,11,X,-1.58496250072116
C6609949,100,15,91,6.7,X,-1.16272950003811
C6610401,100,28,97,11,3L,-1.34792330342031
C6610875,99,32,100,21,2L,-0.60768257722124
C6611289,100,25,94,6.7,2R,-1.89969509420431
C6611395,100,24,97,10,3L,-1.26303440583379
C6612213,99,30,99,28,2L,-0.0995356735509144
C6612253,100,35,99,13,3L,-1.42884329880387
C6612429,100,30,97,12,3L,-1.32192809488736
C6612733,100,23,99,17,3R,-0.436099114806674
C6613493,100,32,100,18,2R,-0.830074998557688
C6614087,100,31,100,18,3R,-0.784271308944563
C6614193,100,22,99,7.6,3L,-1.53343220008107
C6614341,99,26,98,13,X,-1
C6614481,100,31,0,NA,2L,NA
C6614539,99,25,99,18,3R,-0.473931188332412
C6614609,100,29,99,29,2R,0
C6614855,100,23,95,8.5,3L,-1.43609911480667
C6615235,100,28,90,13,X,-1.10691520391651
C6615789,100,23,100,30,4,0.383328639551506
C6615989,93,24,93,24,2L,0
C6616241,100,22,95,11,X,-1
C6616359,100,30,99,27,3R,-0.15200309344505
C6617953,100,29,99,9.1,3L,-1.67211444981624
C6618179,100,30,99,11,X,-1.44745897697122
C6618209,100,25,97,9.6,3L,-1.38082178394093
C6618445,100,31,99,9.6,X,-1.69116190455308
C6619033,100,25,100,11,X,-1.18442457113743
C6619421,100,31,100,10,X,-1.63226821549951
C6619553,100,33,100,21,3R,-0.652076696579693
C6619653,100,32,99,24,4,-0.415037499278844
C6619893,100,30,99,12,3L,-1.32192809488736
C6620141,99,20,98,15,2L,-0.415037499278844
C6620273,100,20,98,12,X,-0.736965594166206
C6620343,100,24,100,28,2R,0.222392421336448
scaffold1000,95,27,93,26,3R,-0.0544477840223765
scaffold10009,97,25,98,13,3L,-0.943416471633633
scaffold10016,92,24,97,27,3R,0.169925001442312
scaffold10019,88,16,92,22,3R,0.459431618637297
scaffold10023,98,22,96,19,2R,-0.211504105193712
scaffold10028,98,25,97,18,3R,-0.473931188332412
scaffold10037,97,27,98,24,3R,-0.169925001442312
scaffold1004,99,28,100,25,3R,-0.163498732282879
scaffold10046,99,27,89,9.3,X,-1.5376567859428
scaffold10049,93,27,95,22,2R,-0.295455883526171
scaffold10051,98,29,97,12,3L,-1.27301849440642
scaffold10053,98,27,96,10,3L,-1.43295940727611
scaffold10054,98,28,99,28,2L,0
scaffold10056,91,21,86,13,X,-0.691877704637668
scaffold10057,92,27,94,26,2R,-0.0544477840223765
scaffold10059,99,24,97,20,2R,-0.263034405833794
scaffold10060,86,29,90,10,3L,-1.53605290024021
scaffold10067,95,28,96,21,2L,-0.415037499278844
scaffold10068,90,25,94,14,2R,-0.83650126771712
scaffold10069,91,25,89,28,2R,0.16349873228288
scaffold10093,94,19,93,13,2R,-0.547487795302493
scaffold10098,93,23,94,23,3R,0
scaffold101,97,26,98,27,2R,0.0544477840223765
scaffold1010,98,26,98,12,3L,-1.11547721741994
scaffold10102,98,31,99,18,2R,-0.784271308944563
scaffold10108,94,23,93,9.9,3L,-1.21613343086477
scaffold10110,93,25,91,13,3L,-0.943416471633633
scaffold10112,85,25,85,12,3L,-1.05889368905357
scaffold10114,99,23,99,26,3R,0.176877762084079
scaffold10119,90,24,90,25,3L,0.0588936890535686
scaffold10121,90,26,92,25,3R,-0.0565835283663674
scaffold10128,84,28,87,25,3R,-0.163498732282879
scaffold10134,98,30,99,26,2L,-0.206450877467426
scaffold10135,71,21,90,21,2L,0
scaffold10136,95,28,95,21,2R,-0.415037499278844
scaffold10137,82,17,86,16,2L,-0.0874628412503394
scaffold10139,86,21,82,10,3L,-1.0703893278914
scaffold10144,92,23,98,24,2L,0.0614005446641433
scaffold10145,99,26,98,10,X,-1.37851162325373
scaffold10146,88,22,87,13,3L,-0.758991900496205
scaffold10147,89,25,90,20,3R,-0.321928094887362
scaffold10153,96,19,99,22,2L,0.211504105193712
scaffold10157,91,28,88,12,3L,-1.22239242133645
scaffold1016,98,25,94,10,X,-1.32192809488736
scaffold10174,95,24,94,25,2R,0.0588936890535686
scaffold10176,99,28,98,27,2R,-0.0524674198941355
scaffold10177,87,21,85,13,3L,-0.691877704637668
scaffold10179,79,21,81,7.1,X,-1.56449839816144
scaffold1018,99,25,98,24,3R,-0.0588936890535686
scaffold10181,97,21,99,23,3R,0.131244533278253
scaffold10188,100,42,98,12,3L,-1.8073549220576
scaffold10189,98,29,98,25,2R,-0.214124805352848
scaffold10198,98,24,98,27,2R,0.169925001442312
scaffold102,81,27,76,11,X,-1.29545588352617
scaffold10205,95,26,96,23,2R,-0.176877762084079
scaffold10211,83,20,84,11,X,-0.862496476250065
scaffold10217,98,28,99,20,2R,-0.485426827170242
scaffold10218,98,27,98,9.9,X,-1.44745897697122
scaffold10220,92,25,98,23,3R,-0.120294233717712
scaffold10224,92,29,92,13,3L,-1.15754127698648
scaffold10233,91,24,93,20,2R,-0.263034405833794
scaffold10241,97,27,98,23,2R,-0.231325546106456
scaffold10249,87,27,88,12,3L,-1.16992500144231
scaffold1025,98,23,96,26,2L,0.176877762084079
