ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
scaffold10003,63,7.2,55,5.9,3R,-0.287281952080471
scaffold10033,58,4,74,4.7,3R,0.232660756790275
scaffold10042,0,NA,4.5,1,X,NA
scaffold10046,76,9.9,72,4.5,3R,-1.13750352374993
scaffold10050,96,7.5,90,4.8,3R,-0.643856189774725
scaffold1006,95,9,78,2.8,3R,-1.68449817427207
scaffold10067,89,8.5,84,4.8,2L,-0.824428435416546
scaffold1007,99,8.9,96,6.1,U,-0.544996093403512
scaffold10089,81,10,78,5.1,U,-0.971430847803229
scaffold1009,58,6.9,52,5.7,U,-0.275634442613427
scaffold1010,58,5.1,45,3.3,2R,-0.628031222613042
scaffold10104,46,3.7,25,1.4,2L,-1.40209844357135
scaffold10128,85,6.4,79,5.1,3R,-0.327574658028505
scaffold10131,59,5.5,30,1.8,2L,-1.61143471208235
scaffold10132,88,7.3,73,4.2,3R,-0.797507136101257
scaffold10143,46,3.7,41,2.7,U,-0.454565863465481
scaffold10150,86,5.2,87,5.1,3L,-0.0280143761695968
scaffold10170,94,6.5,91,5.1,2L,-0.349942471056959
scaffold10179,94,4.7,88,4.6,3L,-0.0310268956206247
scaffold1018,85,7.7,86,5.7,U,-0.43389652653016
scaffold10199,67,3.7,66,3.4,3L,-0.12199052437861
scaffold1020,86,12,80,4.7,2R,-1.35230174393088
scaffold10204,69,3.6,50,2.4,3R,-0.584962500721156
scaffold10210,72,9.2,66,4.5,2R,-1.03170885972734
scaffold10228,83,7.7,75,4.1,2R,-0.909234536076818
scaffold10253,53,7.4,51,4.8,2L,-0.624490864907794
scaffold10259,88,8,85,5.9,3L,-0.439285045525521
scaffold10274,95,12,89,3.8,U,-1.65896308216493
scaffold10276,69,7.9,69,4.3,2R,-0.877515993475005
scaffold10280,88,12,41,2.4,3L,-2.32192809488736
scaffold10304,81,5.9,79,4.4,3R,-0.423211430724544
scaffold10316,91,8.3,89,5.4,3R,-0.620151929183456
scaffold10323,87,5.8,82,5.7,3L,-0.0250909809628303
scaffold1034,76,6,71,5.1,3L,-0.234465253637023
scaffold10351,73,8.2,61,3.3,2R,-1.31315788525963
scaffold10357,26,2.3,22,1.7,3L,-0.436099114806673
scaffold10358,72,9.2,70,4.5,3R,-1.03170885972734
scaffold10392,82,7.2,71,6.6,3R,-0.125530882083859
scaffold10409,19,8.6,20,1.5,U,-2.51937415909358
scaffold10415,99,9.7,89,3.9,X,-1.31451062332488
scaffold10417,86,6,70,2.7,U,-1.15200309344505
scaffold10418,83,4.8,78,5.1,X,0.0874628412503394
scaffold10434,95,6.1,91,5.4,3R,-0.175849835399418
scaffold10435,58,5.1,37,3.2,3R,-0.672425341971495
scaffold10480,100,14,87,2.4,3L,-2.54432051622381
scaffold1049,93,12,94,5.7,2R,-1.07400058144378
scaffold10502,78,7.3,78,5.2,3R,-0.489384840738925
scaffold10506,100,12,99,7.8,2R,-0.62148837674627
scaffold10515,87,7.7,87,4.2,3R,-0.874469117916141
scaffold10519,89,7.9,83,3.5,3L,-1.17449773123214
scaffold10525,93,9.6,84,4.4,3R,-1.12553088208386
scaffold10540,63,7.8,52,4,3R,-0.963474123974886
scaffold10546,65,12,59,9,X,-0.415037499278844
scaffold10548,51,4.8,20,2,3L,-1.26303440583379
scaffold10573,76,7.7,69,5.1,2L,-0.594361198723406
scaffold1058,42,3.8,39,4.9,2L,0.366782330671623
scaffold10616,91,8.2,80,4,3L,-1.03562390973072
scaffold1062,89,8.4,83,5.6,2L,-0.584962500721156
scaffold10622,87,3.6,61,4.3,2R,0.256339753259786
scaffold10637,80,8.3,63,3,3R,-1.46814883573841
scaffold10643,77,6.8,67,3.9,3L,-0.802060622388091
scaffold10669,70,7.4,67,4.2,3L,-0.81713594285019
scaffold10705,76,5.6,67,3.9,3L,-0.521952703195356
scaffold10718,55,8.5,52,2.3,2R,-1.88582898008069
scaffold1072,76,8.4,69,4.5,X,-0.900464326449086
scaffold10723,81,4.7,76,3.9,2R,-0.269186632815389
scaffold10731,96,6,95,3.8,3L,-0.658963082164933
scaffold10733,72,5.1,72,3.8,2L,-0.42449782852791
scaffold10739,93,8,96,6.1,3R,-0.391190757324476
scaffold1074,90,10,81,3.7,2L,-1.43440282414577
scaffold10741,95,7.1,88,4,X,-0.82781902461732
scaffold10763,99,8.1,98,6.9,2R,-0.231325546106455
scaffold10793,84,8.1,72,4.2,3L,-0.947532580105864
scaffold1082,98,12,75,3.6,2R,-1.73696559416621
scaffold10827,96,8.7,95,5.9,U,-0.560300446486887
scaffold10829,90,9,88,5.5,3R,-0.710493382805015
scaffold1084,20,3.3,26,2.8,2L,-0.237039197300849
scaffold10858,80,6.6,79,4.9,X,-0.429684275243245
scaffold10859,71,8.8,67,3.3,2R,-1.41503749927884
scaffold10864,27,3.6,26,2.7,3R,-0.415037499278844
scaffold10869,76,12,74,10,3R,-0.263034405833794
scaffold10879,67,6.4,62,5.5,2R,-0.21864028647534
scaffold10890,83,8.8,48,2.3,X,-1.93586966258028
scaffold10916,15,5.5,13,2.4,X,-1.1963972128035
scaffold10982,85,6.8,80,4.7,X,-0.532873989572702
scaffold10992,87,6.3,81,3.7,X,-0.767826557870967
scaffold1100,94,8.2,87,4.9,U,-0.742842160502875
scaffold11013,70,5.2,71,4.2,3L,-0.308122295362332
scaffold11038,52,4.7,42,2.7,2L,-0.799701349514169
scaffold11046,85,5.3,85,3.6,3L,-0.557995453120887
scaffold11048,83,8.2,83,5.2,3R,-0.657112286476991
scaffold1105,90,6.7,85,4.8,4,-0.481126689736616
scaffold11056,89,7.8,81,3.9,2L,-1
scaffold11062,56,8.4,58,5.4,3L,-0.637429920615292
scaffold11093,76,13,65,5.2,2R,-1.32192809488736
scaffold1110,87,13,76,4.1,3R,-1.66481580841037
scaffold11121,81,5.1,73,2.7,3R,-0.917537839808027
scaffold11137,68,12,64,4.5,2R,-1.41503749927884
scaffold11163,22,4.2,15,1.9,2R,-1.14438990933518
scaffold11170,86,7,87,5.8,2R,-0.271302021817394
scaffold11171,41,4,36,3.2,U,-0.321928094887362
scaffold11174,89,9.8,88,10,3L,0.0291463456595165
scaffold11183,98,7.9,95,6.1,2R,-0.373043410614217
scaffold11187,78,7,75,4.9,2L,-0.514573172829758
scaffold1121,91,6.6,83,4.3,X,-0.618129364656356
scaffold11218,55,5,55,4.9,2L,-0.0291463456595163
scaffold11230,97,8,98,5.9,3R,-0.439285045525521
scaffold11244,73,8.8,60,3.9,3L,-1.17402939977505
scaffold11255,29,4.2,16,2,3L,-1.0703893278914
scaffold11268,64,5.5,59,3.6,2L,-0.611434712082347
scaffold11278,94,8.7,91,5.7,3L,-0.610053481683986
scaffold11293,51,6.1,31,3.3,3L,-0.886343218204433
scaffold11305,68,6.8,62,6.1,3R,-0.156725503687453
scaffold11308,44,3.3,43,2.9,3L,-0.186413124230881
scaffold11310,94,13,87,3.1,3L,-2.06817150264158
scaffold11323,27,3.6,4.9,1,2R,-1.84799690655495
scaffold11331,86,3.8,87,4.8,2R,0.337034987277571
scaffold11351,86,6.9,76,3.4,3L,-1.02106161552783
scaffold11358,92,12,88,4.8,3R,-1.32192809488736
scaffold1139,94,12,92,5.5,2R,-1.12553088208386
scaffold11441,14,4.8,15,2,2R,-1.26303440583379
scaffold11449,77,5.4,66,3.1,X,-0.800691191776593
scaffold11469,88,10,84,4.8,3L,-1.05889368905357
scaffold11477,79,7.4,78,4.8,3L,-0.624490864907794
scaffold11496,83,3.1,38,1.7,3L,-0.866733469136536
scaffold11502,43,5,40,3.4,2L,-0.556393348524385
scaffold11505,92,6.4,92,5,3R,-0.356143810225275
scaffold11514,81,7.5,78,5.3,3L,-0.500898235932682
scaffold11527,59,10,64,7.9,U,-0.340075441597622
scaffold11540,94,8.8,92,5.9,X,-0.576788569275456
scaffold11565,88,14,84,7,3R,-1
scaffold11567,81,8,83,5.1,3R,-0.649502752915867
scaffold11575,54,3.7,59,2.9,U,-0.351472370501378
scaffold1158,72,7.6,60,4.6,2L,-0.724365557386573
scaffold11596,84,7.3,79,3.1,3L,-1.23562824849314
scaffold1160,66,5,26,1.6,X,-1.64385618977472
scaffold11607,98,12,85,3.4,3R,-1.81942775435818
scaffold11620,87,8.7,85,7.3,2R,-0.253118936968711
scaffold11648,73,9.1,63,3.6,2L,-1.33786963875638
scaffold1165,82,12,75,4.4,U,-1.44745897697122
