ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C29509779,99,12,100,8.1,3R,-0.567040592723894
C29509803,100,15,100,13,3L,-0.206450877467426
C29509887,97,4.2,98,8.4,2R,1
C29509981,95,8.6,99,7.4,3L,-0.216811389073148
C29509995,97,9.5,99,9.8,X,0.0448542357842605
C29510195,100,7.8,90,6.4,2L,-0.285402218862248
C29510473,98,7.9,95,7,3R,-0.174497731232137
C29510891,98,10,93,6.7,2R,-0.577766999316952
C29511031,100,9.2,96,4.7,3R,-0.968973104379375
C29511515,99,11,98,9.6,3R,-0.196397212803504
C29511595,100,22,99,18,X,-0.289506617194985
C29511669,99,10,100,6.5,2R,-0.62148837674627
C29511825,98,7.8,97,5.4,2R,-0.53051471669878
C29511859,99,12,99,7.3,3L,-0.717066036728501
C29512069,94,10,95,6.7,2R,-0.577766999316952
C29512423,99,35,100,32,2R,-0.129283016944966
C29512573,98,8.1,98,6.7,2L,-0.273760812426852
C29512967,99,11,96,8.9,3R,-0.305626282558262
C29513853,99,12,100,8,2R,-0.584962500721156
C29514007,99,8.5,99,5.3,2R,-0.681470481574503
C29514049,98,7.1,97,6.7,3R,-0.0836579290469095
C29514699,98,4.8,94,5.8,2L,0.273018494406416
C29515197,100,12,98,9,2L,-0.415037499278844
C29515381,98,8.6,95,6.2,3L,-0.472068444315223
C29515809,98,7.6,100,10,3R,0.395928676331139
C29515821,99,11,97,10,3L,-0.137503523749935
C29516495,98,9.7,98,7.1,3L,-0.450165722682445
C29516611,99,8.3,97,10,X,0.2688167584278
C29516977,99,9.7,99,8.5,3L,-0.190521906049426
C29517599,100,10,97,7.5,2R,-0.415037499278844
C29517929,100,10,99,8.2,2L,-0.286304185156641
C29518011,100,9,97,10,2R,0.15200309344505
C29519035,100,14,99,12,2L,-0.222392421336448
C29519165,99,9.3,99,7.2,3R,-0.369233809665719
C29519183,97,14,99,16,3L,0.192645077942396
C29519215,100,8.6,98,4.5,X,-0.934411658372423
C29519323,100,12,99,8.6,3R,-0.480625840906421
C29519347,99,9.2,99,7.4,X,-0.314108590428063
C29519465,92,4.6,97,9.1,3R,0.984232684141684
C29519783,96,8.9,99,8,3L,-0.153805336079035
C29520053,100,18,100,18,3R,0
C29520291,98,8,98,6.8,3R,-0.234465253637023
C29520443,100,12,98,8.4,3R,-0.514573172829758
C29520703,99,11,98,8.3,2R,-0.406320282177735
C29520717,98,4.7,92,4.9,2R,0.0601209924375709
C29521047,95,4.8,97,6,3R,0.321928094887362
C29521153,100,21,99,13,2R,-0.691877704637668
C29521517,99,8.1,99,7.8,2R,-0.0544477840223763
C29521997,98,7.8,96,6.6,2R,-0.241008099503795
C29522157,99,12,97,6.8,3L,-0.819427754358179
C29522285,96,9.9,99,6.5,3R,-0.606988807051155
C29522299,96,9.5,96,6.5,2R,-0.547487795302493
C29523323,99,8.9,99,8.4,2L,-0.0834160081876375
C29523915,98,7,98,7.5,3L,0.0995356735509144
C29524259,98,8.9,99,8.5,X,-0.066342494828696
C29524709,97,13,97,9.1,2R,-0.514573172829758
C29525159,98,12,98,7.5,2R,-0.678071905112638
C29526071,98,8.6,97,7.3,3R,-0.236440195822081
C29526349,98,9.2,92,7.7,X,-0.256775415362111
C29527159,97,9.7,99,9,2L,-0.108059745857453
C29527777,90,6.8,99,6,2R,-0.180572245641821
C29528151,97,8.2,97,7.8,2R,-0.0721497857558352
C29528619,93,5.2,99,6.3,X,0.276840205358824
C29528657,100,8.2,97,8.3,2R,0.0174874267288414
C29528885,99,10,96,7.5,2R,-0.415037499278844
C29530127,100,9,99,9,2R,0
C29530189,98,9.8,99,7.6,3L,-0.366782330671623
C29530525,100,10,99,8.3,X,-0.2688167584278
C29530643,99,11,99,9,X,-0.289506617194985
C29531267,96,5.8,99,5.7,2R,-0.0250909809628303
C29531555,99,10,100,8.1,X,-0.3040061868901
C29533397,99,8,98,7.8,2R,-0.036525876025114
C29533537,98,10,99,8.4,2R,-0.251538766995964
C29533581,98,9.7,97,7.7,X,-0.333126301492226
C29533837,97,9,100,7.5,2L,-0.263034405833794
C29534725,92,7.9,98,6.8,X,-0.216317906926764
C29535473,99,10,99,8.6,2R,-0.217591435072627
C29535555,100,11,100,9.1,2R,-0.273565073325963
C29535723,100,11,100,11,2R,0
C29536401,99,9.1,98,9.2,3R,0.0157673158583166
C29536527,99,8.8,97,8.9,3R,0.0163018123291003
C29536953,99,19,96,12,3R,-0.662965012722429
C29537141,99,12,96,7.6,X,-0.658963082164933
C29537251,99,8.2,100,10,3L,0.286304185156641
C29538253,98,8.9,99,9.8,X,0.13897641314881
C29538453,99,14,99,9.5,3R,-0.559427408614019
C29539185,97,10,99,9.6,3R,-0.0588936890535686
C29539577,100,9.1,95,8.8,3L,-0.0483630215613988
C29539703,99,11,99,9,3L,-0.289506617194985
C29540001,99,10,97,8.8,3R,-0.184424571137427
C29540667,100,8.9,96,6.5,2L,-0.453365617937943
C29542211,100,10,100,13,2L,0.37851162325373
C29542221,96,11,99,8.3,X,-0.406320282177735
C29543015,100,18,100,17,X,-0.082462160191973
C29543081,96,10,99,11,2R,0.137503523749935
C29543127,96,10,98,8.8,2R,-0.184424571137427
C29543251,98,8.5,98,7.4,X,-0.199937570508752
C29543661,99,12,100,9.8,2L,-0.29218075149331
C29543927,99,5.1,92,4.2,2R,-0.280107919192735
C29544133,99,10,100,9.2,3L,-0.120294233717712
C29544581,97,7.5,97,7.6,X,0.0191088229477044
C29545671,98,11,87,5.9,2R,-0.898716664162818
C29545685,99,11,99,9.2,2R,-0.257797757467647
C29545801,97,7.1,92,5,2L,-0.505890929729957
C29546321,96,15,97,11,2L,-0.447458976971221
C29546805,99,11,99,9.2,2R,-0.257797757467647
C29546825,99,9.8,99,9,3R,-0.122856747785534
C29547019,99,9.5,99,9.7,2R,0.0300572338561796
C29547621,98,7.6,99,6.8,2R,-0.160464672193246
C29547845,100,12,99,8.3,3R,-0.531851164261594
C29548129,99,11,97,9.8,2R,-0.166649869409451
C29548235,100,10,100,9.5,3L,-0.0740005814437769
C29548621,97,8.5,99,8.5,2R,0
C29548713,91,4.4,95,7.7,2L,0.807354922057604
C29548715,99,9.9,94,8.2,3L,-0.271804615461526
C29549083,98,7.6,100,8,3L,0.0740005814437768
C29549151,97,11,99,8.9,2R,-0.305626282558262
C29549299,99,6.7,97,6.7,3R,0
C29549309,99,10,100,7.7,3L,-0.377069649079823
C29549531,99,12,99,9.2,2R,-0.383328639551506
C29550421,97,7.9,98,7.7,3R,-0.0369942074822016
C29550799,99,12,96,8.9,3L,-0.431157164642121
C29550821,96,9.3,98,11,3R,0.242200902416628
C29550899,99,9.3,99,8.2,3R,-0.181606806489948
C29551147,100,11,99,11,2R,0
C29551207,98,8.4,98,6,2R,-0.485426827170242
C29551551,99,8.3,98,8,3R,-0.0531113364595626
C29551989,100,10,99,8.6,2L,-0.217591435072627
C29552075,96,6.9,96,8,3L,0.213403638109193
C29552389,91,8.7,96,6.7,3R,-0.376854305390956
C29552473,99,12,99,10,2R,-0.263034405833794
C29552513,99,11,99,12,2R,0.125530882083859
C29552537,98,8.4,97,7.1,X,-0.242570303274078
C29552585,99,10,95,5.9,3R,-0.761213140412883
C29553375,99,11,98,8.8,3L,-0.321928094887362
C29554305,99,7.5,98,5.5,2L,-0.447458976971221
C29554497,94,9.1,96,10,3R,0.136061549576029
C29554787,100,24,99,10,3L,-1.26303440583379
C29555513,97,12,98,8.2,3R,-0.549338590990435
C29555601,100,12,100,8.6,X,-0.480625840906421
C29555813,99,12,99,11,X,-0.125530882083859
C29556821,99,11,100,8.5,2L,-0.371968777386958
C29557021,97,7.7,98,8.5,4,0.1426043954428
C29557487,100,11,100,9,3L,-0.289506617194985
C29557563,99,11,98,11,2L,0
