ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C22665317,100,10,96,16,2R,0.678071905112638
C22666875,88,2.5,89,4,X,0.678071905112638
C22667289,89,3.5,95,5.9,3R,0.753360032416875
C22667799,100,3.5,98,6.8,3R,0.958179824305373
C22671515,93,4.5,87,4.1,2R,-0.134301091711591
C22672593,98,5.6,100,6.8,2R,0.280107919192735
C22674907,97,4,87,7.6,U,0.925999418556223
C22675125,93,3.6,99,5.3,2R,0.557995453120887
C22679087,100,8.3,100,16,3R,0.946888663540437
C22679419,100,4.7,97,10,X,1.08926733809709
C22679695,93,3.3,99,5.1,X,0.628031222613042
C22680359,89,5.1,98,6.7,3R,0.393663848486277
C22680893,99,9.5,98,12,4,0.337034987277571
C22680999,98,9.8,98,16,3L,0.707218250772154
C22681159,96,3.8,100,6.7,3L,0.818161677014187
C22683671,85,3.2,89,2.5,3L,-0.356143810225275
C22686153,98,5.2,98,7,2R,0.428843298803874
C22687059,98,7.9,96,11,3R,0.477578965347557
C22692255,99,4.2,93,6.4,X,0.60768257722124
C22695417,97,4.8,100,5,3R,0.0588936890535686
C22697505,97,6.5,100,11,3L,0.758991900496205
C22697599,99,7.4,100,9.7,3L,0.390459476558178
C22699837,98,4.6,98,6.9,2R,0.584962500721156
C22701279,98,3.4,95,6.2,3R,0.866733469136536
C22707819,92,4.8,98,6.4,3R,0.415037499278844
C22707901,96,5.7,100,7.9,2L,0.470890734012361
C22709689,96,4.1,100,7.9,X,0.946228743559019
C22712469,95,3.3,97,5,X,0.599462070416271
C22720087,98,5,99,8.3,2R,0.7311832415722
C22722237,94,4,98,6,2L,0.584962500721156
C22722867,95,3.6,100,5.8,2R,0.68805599368526
C22727745,98,5,100,8.8,X,0.815575428862573
C22729295,99,5,99,9.5,3L,0.925999418556223
C22733731,98,3.8,100,4.8,3R,0.337034987277571
C22736861,98,4.7,99,7,2L,0.574694165267329
C22737271,97,4,99,8.1,X,1.01792190799726
C22742035,99,4.9,100,8.4,2L,0.777607578663552
C22742453,100,4.4,99,7.5,2L,0.769387071858583
C22743693,96,4.6,93,6.5,3R,0.498805856971442
C22744355,99,5.5,98,8.6,2L,0.644905041177438
C22745623,98,5.6,98,9.8,X,0.807354922057604
C22747125,93,5,99,7.8,2L,0.641546029087524
