ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C16284201,73,3.5,47,2.6,2L,-0.428843298803874
C16284277,94,3.4,31,1,2L,-1.76553474636298
C16284639,82,3.5,40,1,2R,-1.8073549220576
C16284711,99,4.3,17,1.5,2L,-1.51937415909358
C16284725,96,5.9,59,1.6,3L,-1.88264304936184
C16284811,77,4.7,38,1.9,2R,-1.30666133823405
C16284823,82,4.8,50,2.1,3L,-1.1926450779424
C16284927,72,5.9,42,1.7,3R,-1.7951802081115
C16284989,80,4.2,44,1.6,3R,-1.39231742277876
C16285051,75,2.9,31,2.1,X,-0.465663572348812
C16285171,94,7.1,88,2.5,3L,-1.50589092972996
C16285601,93,6.2,51,2.1,X,-1.56187888760811
C16285655,70,1.9,50,1.6,X,-0.247927513443585
C16285677,97,4.5,59,1.6,X,-1.49185309632967
C16285679,99,5,41,1.8,2L,-1.47393118833241
C16285755,97,6.9,81,2.8,X,-1.30116953472056
C16285841,86,4.2,63,1.7,3R,-1.30485458152842
C16285873,91,8.2,77,1.6,3L,-2.35755200461808
C16285939,83,2.9,43,1.7,2R,-0.770518153877233
C16285999,76,2.5,57,1.8,X,-0.473931188332412
C16286123,65,1.9,62,1.5,3L,-0.341036917835067
C16286139,66,2.9,21,1.2,3L,-1.27301849440642
C16286401,81,4.4,26,1.2,3R,-1.87446911791614
C16286453,77,3.3,74,1.7,3R,-0.956931278108114
C16286623,100,7.3,89,1.8,3R,-2.0198995574377
C16286721,93,4.5,60,1.5,2R,-1.58496250072116
C16286845,84,3.4,31,1,3R,-1.76553474636298
C16286867,94,4.1,56,1.4,2R,-1.55019708256048
C16286979,98,5.5,65,2.1,2R,-1.3890422907459
C16287025,90,3.1,43,1.7,X,-0.866733469136536
C16287083,77,2.4,32,1,2R,-1.26303440583379
C16287239,73,3.4,45,1.9,2R,-0.839535327806754
C16287899,71,2.8,49,1.3,2R,-1.10691520391651
C16287919,98,7.9,86,2.1,2R,-1.91146332539834
C16288005,99,6.2,72,2.5,2R,-1.31034012061215
C16288089,94,5.7,81,1.8,3R,-1.66296501272243
C16288243,96,4.9,86,2,2R,-1.29278174922785
C16288253,83,5.4,62,1.4,X,-1.94753258010586
C16288289,75,3.2,24,1.3,2R,-1.29956028185891
C16288329,89,4.4,61,1.4,2R,-1.65207669657969
C16288361,61,2.6,44,1.8,2L,-0.53051471669878
C16288371,93,5.1,70,1.6,3R,-1.6724253419715
C16288431,86,2.3,32,1,3L,-1.20163386116965
C16288567,75,2.7,49,1.3,X,-1.05444778402238
C16288647,80,6.1,45,1.4,3R,-2.12338241550528
C16288665,69,5.6,64,1.7,3R,-1.71989208080726
C16288997,86,4.9,77,2.4,X,-1.02974734339405
C16289001,82,3.5,16,1,X,-1.8073549220576
C16289037,83,1.7,31,1,X,-0.765534746362977
C16289117,86,2.8,42,1.3,3L,-1.10691520391651
C16289231,66,2.4,16,1,3R,-1.26303440583379
C16289505,96,4.8,70,1.9,X,-1.33703498727757
C16289565,93,4,31,2,3R,-1
C16289701,78,2.9,12,1.4,3L,-1.05062607306997
C16289733,99,4.4,87,1.7,3L,-1.37196877738696
C16289883,93,5.9,69,1.2,2L,-2.29768054864069
C16289961,99,10,72,2.7,4,-1.88896868761126
C16290225,78,3.4,65,1.2,3R,-1.50250034052918
C16290251,98,5.4,74,2,X,-1.43295940727611
C16290299,81,5.5,56,1.8,2L,-1.61143471208235
C16290357,85,3.9,49,2.1,2L,-0.893084796083488
C16290435,100,5.7,65,1.9,2R,-1.58496250072116
C16290449,71,2.3,49,1.1,3R,-1.06413033741972
C16290569,82,7.1,55,2.1,X,-1.75742969672592
C16290647,95,3.7,41,2.3,X,-0.685891409571937
C16290847,82,2.7,41,1.5,3R,-0.84799690655495
C16291041,52,2.4,67,5.3,3R,1.14295795384204
C16291099,77,3.3,73,1.9,3L,-0.796466605914868
