ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C24810454,95,3.1,89,3.6,2L,0.215728691055437
C24810512,97,7.7,95,8.1,X,0.0730634621897234
C24811076,78,3.5,97,4.6,2L,0.394278939112046
C24811256,92,5,93,6.7,3R,0.422233000683048
C24811454,92,5,90,3.9,X,-0.358453970912476
C24811718,95,9.2,97,5.4,3L,-0.768674453893544
C24811972,96,4.4,95,4.7,2R,0.09515723304034
C24812234,95,6.6,94,13,2R,0.977973693670001
C24813154,98,4.8,93,6.1,3L,0.34577483684173
C24813698,63,3.5,94,4,2R,0.192645077942396
C24813934,82,11,81,9.7,3R,-0.181446871337532
C24814126,90,3.7,95,5.1,X,0.462971976342546
C24814398,82,4.9,65,2.9,3R,-0.756728848987636
C24814888,96,4.5,84,3.5,3L,-0.362570079384708
C24814956,78,10,79,6.1,3L,-0.713118852211838
C24815514,85,3.1,95,6,3R,0.952694285221643
C24815560,94,4.8,80,7,3R,0.54432051622381
C24816946,88,11,90,7,3R,-0.652076696579693
C24818716,98,4.3,91,5.3,2L,0.301655699861101
C24819346,95,5.4,86,4.9,3R,-0.14017765804826
C24826630,97,4.5,95,7.2,3R,0.678071905112638
C24827400,99,7.3,71,1.8,2L,-2.0198995574377
C24827812,99,4.7,90,3.8,3R,-0.306661338234052
C24828370,99,11,92,4.1,X,-1.42380770890658
C24828458,95,5.6,84,3.5,3R,-0.678071905112638
C24829776,99,8.3,99,15,2R,0.853779259148956
C24833546,95,5.5,87,6.3,2R,0.195920209975257
C24834282,96,5.1,79,3.7,3R,-0.462971976342546
C24838518,99,8.2,93,7.2,2R,-0.187627003175771
C24840836,97,7.8,84,4.5,2L,-0.793549122532573
C24840874,89,4.1,82,4.4,3R,0.101879614019214
C24841358,98,7.3,94,7.6,3L,0.0581029545635682
C24844916,93,4.5,99,7.8,3L,0.793549122532574
C24846446,87,3.5,93,4.6,2R,0.394278939112046
C24846972,91,3.9,85,7.9,3R,1.01837852931485
C24849352,89,4.2,72,2.6,3R,-0.691877704637668
C24850438,96,4.5,98,6.4,2R,0.508146903670325
C24850768,88,2.8,82,4.9,3R,0.807354922057604
C24856328,97,12,97,9,2L,-0.415037499278844
C24856424,99,6.7,98,7.5,X,0.162729500038108
C24857212,98,4.8,96,8.2,2L,0.772589503896927
C24857820,92,3.6,83,3.3,2R,-0.125530882083859
C24860046,96,6.5,96,8.8,3R,0.437063805608843
C24861106,67,2.8,78,3.1,3R,0.146841388329271
C24861152,86,3.6,94,6,3L,0.736965594166206
C24867594,96,5.7,89,4.7,3L,-0.278301162487104
C24868020,97,7.4,98,7.6,2R,0.0384741478146356
C24868698,88,3.8,99,5.9,3L,0.634715535918256
C24869788,95,4.8,96,6.9,3R,0.523561956057013
C24874574,95,5.1,88,6.1,2R,0.258311995591391
C24875482,99,5.5,89,4.3,3L,-0.355094958822562
C24876790,90,3.2,90,4.2,3R,0.39231742277876
C24877038,96,5.4,78,3.9,3R,-0.46948528330122
C24877886,93,5,90,7.9,3R,0.659924558402378
C24879684,93,5.1,98,8.8,2R,0.787006276665802
C24880110,87,3.9,90,3.4,2R,-0.197939377611909
C24880130,92,4.3,93,5.6,3R,0.381090167355506
C24880162,97,6,98,7,2R,0.222392421336448
C24880164,95,6.5,88,8.6,2L,0.403896941673643
C24882276,97,6.2,88,5.9,3R,-0.0715532610250339
C24884260,91,6,92,6.5,3R,0.115477217419936
C24884652,93,7.4,86,8.2,X,0.148098638989134
C24886948,94,6.7,95,8.1,3L,0.273760812426852
C24889512,83,6.7,90,4.9,3L,-0.451379346342564
C24890534,99,5.1,88,5.6,2L,0.134929580086109
C24890556,96,5.4,99,5.6,3R,0.0524674198941355
C24891856,96,7.3,91,8.6,2R,0.236440195822081
C24892142,94,4.5,93,5.8,3R,0.366127898797897
C24892330,99,8.6,94,8.3,2L,-0.0512253233551729
C24893188,98,5.6,97,7.6,3L,0.440572591385981
C24893220,98,5.9,100,5.8,3R,-0.0246620542342692
C24894124,93,5.3,85,5.8,3L,0.130060540564373
C24894200,88,3.7,92,5.1,X,0.462971976342546
C24895508,98,4.9,86,6,3L,0.29218075149331
C24895710,93,5.3,94,6.9,X,0.38060400221497
C24896102,100,33,81,7.9,2R,-2.06254146606871
C24897212,98,6.9,92,4.4,3R,-0.649092838140872
C24897388,99,18,99,20,3L,0.15200309344505
C24897900,95,7.4,94,7.5,3R,0.0193653248669309
C24898202,100,8.2,81,6.4,3R,-0.357552004618083
C24899376,99,7.4,92,7.2,X,-0.0395283641866375
C24899854,99,32,96,7.9,2L,-2.01814734671026
C24900582,100,13,99,13,2L,0
C24901250,99,6.7,99,10,3L,0.577766999316952
C24901874,97,6.4,94,6.8,3R,0.0874628412503394
C24903722,93,6.2,86,5.6,2L,-0.146841388329271
C24905408,100,9.7,92,7.4,3L,-0.390459476558178
C24905874,100,7.8,96,7.1,3R,-0.135655099357566
C24907662,99,21,93,4.8,X,-2.12928301694497
C24907684,98,9.3,100,13,2L,0.483209001920423
C24908100,100,37,95,8.5,2L,-2.12199052437861
C24908738,97,5.3,93,5.4,3R,0.0269670476002694
C24908776,98,9.5,97,8.3,2L,-0.194816176984023
C24910880,99,18,94,7.5,X,-1.26303440583379
C24910946,100,8.2,99,9.6,3R,0.227410496103073
C24911240,99,9.4,99,7.4,3L,-0.345135486048688
C24911860,100,7.7,98,9.6,3L,0.318175960026255
C24912914,100,7.2,96,6.9,2R,-0.0614005446641433
C24913572,97,8.7,93,6.8,2R,-0.355480654598389
C24913574,86,6.1,99,7.2,3R,0.239187663879426
C24914420,100,8.5,97,7.7,2R,-0.1426043954428
C24914442,97,7.1,99,9.6,2L,0.435215381216474
C24914564,100,8.1,98,9,X,0.15200309344505
scaffold100020,84,4,81,6.6,2R,0.722466024471091
scaffold100025,90,11,81,5.7,X,-0.948469699359918
scaffold100028,87,5.9,86,6.4,X,0.117356950638159
scaffold100053,89,6.9,86,6.2,2R,-0.154328146391294
scaffold100058,70,5.4,55,3.2,4,-0.754887502163469
scaffold100088,64,5.9,65,6.8,3L,0.204819791888498
scaffold100091,90,7.5,90,7,3L,-0.0995356735509144
scaffold100217,77,5.5,80,6.3,3L,0.195920209975257
scaffold100229,86,4.5,85,5.9,3L,0.390789953032167
scaffold100238,76,6,66,4.2,2L,-0.514573172829758
scaffold100288,68,5.1,57,4.3,2L,-0.246160587269398
scaffold100328,82,5.2,79,6,X,0.206450877467426
scaffold10039,83,6.8,83,6.2,3R,-0.133266530863464
scaffold10040,90,7.3,88,7.5,U,0.0389941316158638
scaffold100404,86,6.1,88,6.6,2R,0.113656781795567
scaffold100437,61,2.5,45,2.8,X,0.163498732282879
scaffold100459,69,6.6,71,6.6,3L,0
scaffold100506,53,4.9,49,5.8,3L,0.243271151012364
scaffold100524,93,7.6,91,7.5,2R,-0.0191088229477045
scaffold100535,79,7.3,82,6.2,X,-0.235628248493142
scaffold100561,93,6.7,85,6.3,3R,-0.0888092669578561
scaffold100581,89,5.5,86,5.5,X,0
scaffold100591,84,7.3,77,4.8,2R,-0.604862058158861
scaffold100617,88,7.3,85,8.6,3R,0.236440195822081
scaffold100913,62,7.9,65,8.4,3R,0.0885366746016572
scaffold100938,74,4.9,75,5.5,X,0.166649869409451
scaffold100984,69,6,78,5.4,2R,-0.15200309344505
scaffold100994,79,6.4,67,5.1,2R,-0.327574658028505
scaffold10103,91,8.7,80,5.2,2L,-0.742503777707636
scaffold101060,92,6.8,93,7.9,2R,0.216317906926764
scaffold101151,79,6.5,80,6.5,3L,0
scaffold101189,88,6.9,86,6.1,3R,-0.177787119215283
scaffold101241,86,6.5,84,7.5,X,0.206450877467426
scaffold101318,63,5.9,58,4.6,2L,-0.359081093304829
scaffold101345,83,8.7,80,8,X,-0.121015400961366
scaffold101418,72,4.9,71,5.2,X,0.085729874025884
scaffold101468,80,5.4,80,6.4,3R,0.245112497836531
scaffold101477,75,4.8,73,5.6,X,0.222392421336448
scaffold101519,64,4.6,48,4.1,2L,-0.166009951438929
scaffold10152,79,6.6,77,7.7,X,0.222392421336448
scaffold10156,87,7.8,86,7.7,3R,-0.0186156781673469
scaffold101561,89,5.5,88,7.3,2R,0.408464845355357
scaffold101694,86,5.7,83,6.6,3R,0.211504105193712
scaffold101702,92,7.5,89,7.6,2R,0.0191088229477044
