ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C5166169,98,8.8,99,14,3L,0.669851398307669
C5166173,95,4.7,97,7.3,2L,0.63523570720238
C5166183,93,6.6,100,12,3R,0.862496476250065
C5166225,99,7.4,99,11,2L,0.57190634789571
C5166277,97,7.4,100,12,2R,0.697437229979569
C5166285,88,5.8,98,8.7,3L,0.584962500721156
C5166521,96,5,97,9.5,2L,0.925999418556223
C5166549,100,12,99,28,3L,1.22239242133645
C5166583,98,8.9,99,13,2L,0.546634382062057
C5166585,90,6.8,99,10,3L,0.556393348524385
C5166615,99,9.7,100,12,3L,0.306977753421391
C5166619,94,4.6,99,9.8,3L,1.0911478880582
C5166777,94,6.6,99,9.6,2R,0.540568381362703
C5166829,98,6,99,9.7,2L,0.693022246578609
C5166843,98,6.3,97,8.7,3L,0.465663572348812
C5166869,95,6.7,99,9.5,3R,0.503766417873175
C5166987,99,5.8,98,11,2L,0.923378718397088
C5167071,95,5.3,97,9.6,2L,0.857042046157957
C5167093,98,6.4,99,11,3R,0.78135971352466
C5167159,99,6.8,100,13,2L,0.934904971778115
C5167363,99,7.6,99,8.9,2L,0.227805917522813
C5167429,90,6.3,98,11,2R,0.804079790024743
C5167635,96,5.6,99,12,2R,1.09953567355091
C5167723,97,6.3,99,13,3L,1.04508788952854
C5167765,98,6.7,97,11,2L,0.715270523066887
C5167767,95,7.7,99,13,3L,0.755581272333553
C5167819,99,8.2,100,12,2R,0.549338590990435
C5167875,96,6.9,99,13,3L,0.913843356250285
C5167955,99,8,100,16,2L,1
C5168057,96,6.2,99,12,3L,0.952694285221643
C5168075,94,6.8,97,12,2L,0.819427754358179
C5168113,98,6.1,99,10,2L,0.713118852211838
C5168153,95,8.2,99,14,2L,0.771731012326883
C5168213,94,7.2,100,13,3L,0.852442811586142
C5168225,97,6.5,96,12,3L,0.884522782580064
C5168275,98,7.6,97,12,2R,0.658963082164933
C5168431,99,9.3,99,11,2L,0.242200902416628
C5168497,97,6,98,11,3L,0.874469117916141
C5168623,99,8,98,13,3L,0.700439718141092
C5168905,96,8.9,99,16,3L,0.846194663920965
C5168927,93,5.2,99,10,2L,0.943416471633632
C5168989,98,7.2,99,14,2R,0.959358015502654
C5168991,98,6,90,11,2R,0.874469117916141
C5169095,97,6,99,14,U,1.22239242133645
C5169139,98,7.1,99,11,2L,0.631612594019978
C5169177,100,8.3,100,12,2L,0.531851164261594
C5169321,91,6.8,98,12,2L,0.819427754358179
C5169331,99,7.8,99,11,2R,0.495957494662411
C5169403,98,6.3,98,10,2R,0.666576266274808
C5169473,99,8.5,98,12,3R,0.497499659470817
C5169505,98,7.8,99,11,2L,0.495957494662411
C5169551,99,6.4,99,11,2R,0.78135971352466
C5169615,98,5.4,99,9.8,2L,0.85982234195174
C5169773,98,7.8,100,14,3L,0.843880798082718
C5169803,99,19,100,35,3R,0.881355503501381
C5169817,100,8,99,13,2L,0.700439718141092
C5169843,98,8.1,98,12,2L,0.567040592723894
C5170001,99,8.3,99,10,3R,0.2688167584278
C5170109,85,4.6,99,6.4,2L,0.476438043942987
C5170365,97,6,99,12,2L,1
C5170453,94,4.2,97,11,2L,1.3890422907459
C5170495,96,7.6,99,12,3L,0.658963082164933
C5170517,88,3.8,98,11,3L,1.53343220008107
C5170565,100,7.2,98,9.8,3R,0.444784842672896
C5170645,99,7.1,99,14,3L,0.979535897440284
C5170701,96,6.8,97,10,3L,0.556393348524385
C5171065,99,5.5,100,12,2L,1.12553088208386
C5171141,97,5.8,99,11,2L,0.923378718397088
C5171255,93,5.5,97,7.1,2L,0.368387405980022
C5171313,97,6.4,99,12,2L,0.906890595608518
C5171391,97,7.2,99,13,2L,0.852442811586142
C5171395,98,6.4,97,10,3L,0.643856189774725
C5171425,97,8,99,11,2L,0.459431618637297
C5171475,98,6,98,13,2L,1.11547721741994
C5171825,94,5.5,99,12,2R,1.12553088208386
C5171875,99,6.9,99,13,3L,0.913843356250285
C5172059,98,7.8,96,12,2L,0.62148837674627
C5172323,96,8.2,99,12,2L,0.549338590990435
C5172349,99,5.9,97,10,2L,0.761213140412883
C5172351,93,5.6,98,13,3L,1.21501289097085
C5172517,100,10,98,12,3L,0.263034405833794
C5172553,98,6.5,98,12,2L,0.884522782580064
C5172649,98,5.8,98,11,2L,0.923378718397088
C5172879,100,9.2,99,15,3L,0.705256734438868
C5172933,96,6,98,11,2L,0.874469117916141
C5172947,99,17,100,17,3L,0
C5173101,94,6,96,9.3,2L,0.632268215499513
C5173361,99,9.8,98,17,3L,0.794681092022493
C5173389,99,6.8,97,12,2L,0.819427754358179
C5173427,97,7.3,99,14,2L,0.939458458064949
C5173477,99,15,100,12,X,-0.321928094887362
C5173577,99,7.4,99,11,3R,0.57190634789571
C5173601,99,9.4,100,19,2R,1.01526675665331
C5173641,100,7.8,99,8.9,3L,0.19033121210415
C5173755,93,8.9,99,8.8,2L,-0.0163018123291004
C5173795,92,5.4,91,8.8,2L,0.704544116473829
C5173821,99,7.8,99,13,2R,0.736965594166206
C5173895,92,8.3,99,12,2R,0.531851164261594
C5174039,100,6.4,99,12,3L,0.906890595608518
C5174147,99,7.3,99,13,3L,0.832543254148437
C5174277,99,7.1,99,12,3L,0.757143476103837
C5174619,91,6.3,100,14,2L,1.15200309344505
C5174755,100,7.3,99,11,3L,0.591535154644642
C5174845,100,8.3,99,12,3L,0.531851164261594
C5175057,98,5.4,98,13,3L,1.26748031086499
C5175085,98,6.9,99,13,2L,0.913843356250285
C5175087,100,9.3,99,13,3L,0.483209001920423
C5175159,98,8.2,100,15,3L,0.871266685877797
C5175169,99,8.7,98,13,2R,0.579424317179726
C5175265,99,6.1,100,10,2L,0.713118852211838
C5175269,95,7,99,12,3L,0.777607578663552
C5175761,96,7.3,97,14,3L,0.939458458064949
C5175943,99,6.4,99,13,2L,1.02236781302845
C5175983,91,7.1,98,11,2R,0.631612594019978
C5176013,99,8.8,100,14,3R,0.669851398307669
C5176167,99,11,100,17,2L,0.628031222613042
C5176267,99,6.6,99,9.9,2L,0.584962500721156
C5176309,99,8.4,99,12,3R,0.514573172829758
C5176405,98,6.9,100,13,2L,0.913843356250285
C5176421,99,5.1,99,11,3L,1.10893437155316
C5176431,98,4.8,99,13,2L,1.4374053123073
C5176435,97,6.5,100,13,3L,1
C5176489,98,9.9,99,12,3L,0.277533975528909
C5176571,99,7.8,98,11,2R,0.495957494662411
C5176655,96,8.1,95,13,3R,0.68251781014383
C5176675,100,7.8,97,15,2L,0.943416471633633
C5176733,99,6.3,95,12,3L,0.929610672108602
C5176765,93,10,94,11,3R,0.137503523749935
C5176797,98,8.6,98,13,2R,0.596103058326357
C5176823,98,6.5,99,11,3L,0.758991900496205
C5176915,98,7.3,99,12,3R,0.717066036728501
C5176921,99,10,99,14,2R,0.485426827170242
C5177145,95,5.3,98,9.6,2L,0.857042046157957
