ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C71224373,95,2.2,95,5.2,2R,1.24100809950379
C71224525,81,2.1,94,4.6,3R,1.13124453327825
C71224759,91,2.5,100,5.6,3R,1.16349873228288
C71224921,72,2.2,95,6.1,3R,1.47130571892559
C71224925,61,1.6,99,6.5,3R,2.02236781302845
C71225067,83,3.6,99,6.6,3R,0.874469117916141
C71225079,60,2.1,96,5.8,2L,1.46566357234881
C71225135,84,2.5,96,4.7,3L,0.910732661902913
C71225217,91,2.7,97,5.9,3R,1.12775554719837
C71225379,80,2.1,100,5.8,3L,1.46566357234881
C71225589,82,2.3,95,4.2,2L,0.868755466721748
C71225627,62,2.9,99,7.1,2R,1.29176612437711
C71225709,88,3.2,98,6,2R,0.906890595608518
C71225957,68,2.4,93,4.9,X,1.02974734339405
C71226175,94,2.8,95,7,2L,1.32192809488736
C71226255,85,3.5,95,4.9,3R,0.485426827170242
C71226491,96,3,99,8.2,3L,1.45066140900956
C71226551,73,2.6,98,5,3L,0.943416471633632
C71226611,41,1.7,97,3.7,3R,1.12199052437861
C71226659,78,2.9,99,6,2L,1.04890960048095
C71226677,92,2.9,96,6.6,3R,1.18641312423088
C71226689,93,2.7,98,6,3R,1.15200309344505
C71226753,82,2.1,94,4.5,3R,1.09953567355091
C71227103,88,2.6,98,6.5,2R,1.32192809488736
C71227363,78,2,92,6.5,2R,1.70043971814109
C71227741,88,3.1,93,6.3,X,1.02308361311304
C71228381,94,3.8,99,6.9,3L,0.860596943334584
C71228487,96,4.4,95,6.3,2R,0.517848304862619
C71228749,78,1.8,96,4.5,2R,1.32192809488736
C71228913,74,2.2,99,6.2,3L,1.49476469174958
C71229179,81,2.8,97,6.7,X,1.25873426840017
C71229353,86,3.8,91,3.4,2R,-0.160464672193246
C71229401,76,1.7,95,4.1,3R,1.27008916336774
C71229515,63,1.2,94,6.3,3L,2.39231742277876
C71229655,86,2.4,95,5.6,X,1.22239242133645
C71229685,85,3.2,91,2.3,3L,-0.476438043942987
C71229813,83,2.8,96,5.7,2R,1.02553509210714
C71230209,73,1.6,98,5.9,3L,1.88264304936184
C71230403,71,1.9,98,4.1,X,1.1096244911745
C71230591,48,2.2,97,5,3R,1.18442457113743
C71230719,85,2.4,100,4.9,3R,1.02974734339405
C71231227,89,2.9,91,4.2,2L,0.534336427651188
C71231353,83,2.5,99,4,2R,0.678071905112638
C71231457,99,3,97,7.8,3L,1.37851162325373
C71231671,84,2.5,99,5.8,3L,1.21412480535285
C71232021,44,2.4,99,6.7,3R,1.48112668973662
C71232469,95,2.5,99,6.9,3R,1.46466826700344
C71232673,70,3,89,5.1,3L,0.765534746362977
C71232771,98,2.5,100,6.1,3L,1.28688114778816
C71232971,70,2.1,94,5.5,2L,1.3890422907459
C71232983,78,3.2,81,3.8,3R,0.247927513443585
C71233001,89,2.5,99,6.5,3L,1.37851162325373
C71233057,77,2,100,4.5,3R,1.16992500144231
C71233137,92,2.4,98,5.6,3R,1.22239242133645
C71233165,76,2.1,100,6.8,2R,1.69514541847158
C71233355,93,3.9,97,7.2,3R,0.884522782580064
C71233361,97,4.1,99,6.4,2R,0.642447995381917
C71233611,82,2.3,97,5.7,X,1.30932805810773
C71233849,82,3,98,5.4,3L,0.84799690655495
C71233933,97,3.1,95,6.1,3R,0.976541027176011
C71233961,82,3.2,89,4.7,3R,0.554588851677637
C71234085,96,3.3,96,5.8,3R,0.813586875769119
C71234171,64,2.8,100,6.3,X,1.16992500144231
C71234221,74,2.8,95,5.4,3L,0.947532580105865
C71234331,92,3.6,97,5.7,3L,0.662965012722429
C71234423,89,2.3,97,5.6,2R,1.28379296600059
C71234535,88,2.6,92,7.7,3L,1.56634682255381
C71234667,78,1.9,98,4.8,X,1.33703498727757
C71234831,88,2.7,97,7.2,X,1.41503749927884
C71234925,86,2.4,96,6.8,2R,1.50250034052918
C71235031,94,3.3,97,4.5,3L,0.447458976971221
C71235701,71,1.7,95,4.8,X,1.49749965947082
C71235757,88,2.6,98,7.4,X,1.50901364748786
C71235949,92,2.4,99,7.2,3L,1.58496250072116
C71236301,88,2.4,99,7.4,3L,1.62449086490779
C71236391,81,3,97,5.5,2L,0.874469117916141
C71236515,81,3.4,98,4.8,2R,0.497499659470817
C71236527,84,2.8,100,4.6,2L,0.716207033999409
C71236805,86,2.9,98,7,X,1.27130202181739
C71237173,84,2.9,95,6.4,2R,1.14201900487243
C71237249,84,2.9,99,8.9,3L,1.61775243583883
C71237271,90,2.8,95,5.3,3L,0.920565532505595
C71237583,81,3.2,99,8.6,3L,1.4262647547021
C71237727,92,3.1,98,5.7,2L,0.878693703777866
C71237883,90,3.1,95,7.9,X,1.34958443779023
C71238241,89,3.2,100,5.2,X,0.700439718141092
C71238357,89,2.4,96,4.5,X,0.906890595608518
C71238477,70,1.9,95,6,3L,1.65896308216493
C71238555,71,1.5,94,5.3,2R,1.82102985895468
C71238567,90,2.9,98,4.2,3L,0.534336427651188
C71238637,84,3.5,98,6.9,2R,0.979241439833203
C71238725,80,2.4,94,6.4,X,1.41503749927884
C71238925,94,2.8,95,6.3,3R,1.16992500144231
C71239141,77,2.6,100,5.9,X,1.18220333122075
C71239627,91,2.5,99,4.9,3R,0.970853654340484
C71239787,90,2.8,94,4,2L,0.514573172829758
C71239889,95,7.5,100,25,2L,1.73696559416621
C71239971,89,2.7,94,6.7,3L,1.3112016882943
C71240141,77,3.8,99,6.9,X,0.860596943334584
C71240229,79,1.9,99,6.6,2R,1.79646660591487
C71240475,67,2.1,98,11,2R,2.3890422907459
C71240983,95,4.9,100,8.3,2R,0.760329587231717
