ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C15949622,94,10,99,7.1,2L,-0.494109070270043
C15949674,99,13,99,11,3R,-0.241008099503795
C15949710,100,19,98,8.4,3R,-1.17753818555219
C15949856,98,15,99,16,2R,0.0931094043914815
C15949912,99,9,99,11,X,0.289506617194985
C15949962,100,11,97,6.1,2L,-0.850622375961773
C15950146,97,11,98,12,3R,0.125530882083859
C15950584,97,16,95,14,X,-0.192645077942396
C15950590,100,16,99,16,2R,0
C15950654,100,13,95,13,X,0
C15950656,98,12,99,11,X,-0.125530882083859
C15950774,99,12,100,11,3R,-0.125530882083859
C15950780,99,11,99,13,2R,0.241008099503795
C15950796,99,13,98,7.4,2L,-0.812914447399505
C15950890,100,9.4,99,5.1,2L,-0.882163509706142
C15950896,98,9.5,95,10,2R,0.0740005814437768
C15951054,100,12,99,9.8,2R,-0.29218075149331
C15951152,99,13,96,11,3R,-0.241008099503795
C15951208,100,7.8,98,10,3R,0.358453970912476
C15951324,99,12,100,11,3R,-0.125530882083859
C15951406,98,6.6,99,10,3R,0.599462070416271
C15951664,100,8.8,99,9.1,3L,0.0483630215613988
C15952148,97,9.5,98,10,X,0.0740005814437768
C15952900,98,14,99,16,3R,0.192645077942396
C15952912,99,13,100,14,X,0.106915203916512
C15952960,99,11,99,12,3R,0.125530882083859
C15953234,100,14,99,14,3R,0
C15953312,98,9.7,100,9.3,3L,-0.0607540310790961
C15953462,95,8.1,98,9,X,0.15200309344505
C15953468,100,13,100,14,3R,0.106915203916512
C15953574,100,10,100,9,2L,-0.15200309344505
C15953952,98,10,98,11,2R,0.137503523749935
C15954064,91,7.7,93,8.7,3R,0.176156955153827
C15954182,97,11,99,10,3R,-0.137503523749935
C15954216,98,11,100,8.8,X,-0.321928094887362
C15954280,100,7.8,98,12,X,0.62148837674627
C15954450,99,11,100,14,3R,0.347923303420307
C15954744,98,9,98,12,3L,0.415037499278844
C15954996,98,12,99,16,3L,0.415037499278844
C15955376,98,12,98,15,X,0.321928094887362
C15955384,98,8.7,99,9.7,3L,0.156969346338399
C15955420,99,16,96,13,X,-0.299560281858908
C15955638,99,11,100,14,3L,0.347923303420307
C15955732,99,12,97,8.4,3L,-0.514573172829758
C15955734,97,5.9,99,9,3R,0.609210046967833
C15955768,90,14,92,12,3L,-0.222392421336448
C15955796,100,16,98,11,3R,-0.540568381362703
C15955910,97,12,99,14,3L,0.222392421336448
C15955958,95,9.4,98,11,2R,0.226770861847022
C15956286,100,11,98,12,2R,0.125530882083859
C15956402,95,11,99,13,3R,0.241008099503795
C15956442,100,12,97,11,3L,-0.125530882083859
C15956492,100,13,100,15,2L,0.206450877467426
C15956524,99,13,100,13,2L,0
C15956564,97,13,98,15,2R,0.206450877467426
C15956946,100,13,99,11,3R,-0.241008099503795
C15957156,99,13,100,16,3R,0.299560281858908
C15957212,99,14,99,14,X,0
C15957354,98,10,91,5,2L,-1
C15957596,100,11,98,9.3,2R,-0.242200902416628
C15957770,100,11,100,10,2R,-0.137503523749935
C15957828,99,10,98,11,3R,0.137503523749935
C15957846,95,12,99,11,3R,-0.125530882083859
C15957896,99,10,85,4.9,2L,-1.02914634565952
C15958242,89,16,86,7,2L,-1.1926450779424
C15958580,100,11,100,15,X,0.447458976971221
C15958620,97,12,100,14,2R,0.222392421336448
C15958776,89,13,89,12,2R,-0.115477217419936
