ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C43044489,97,3.8,94,3.6,X,-0.078002512001273
C43044613,99,5.2,90,4.8,3R,-0.115477217419936
C43045303,98,4.4,88,3.3,3R,-0.415037499278844
C43045473,88,3.4,88,5,3L,0.556393348524385
C43046105,92,5.6,88,5.6,3R,0
C43046541,78,2.3,96,3.5,2L,0.605721060887954
C43047319,98,4,96,5.4,X,0.432959407276106
C43048849,94,3,90,3.1,2R,0.0473057147783568
C43049393,93,4.3,93,2.5,3R,-0.782408564927373
C43052999,87,3.1,94,5.3,2R,0.773724144176324
C43053251,98,4.9,90,5.1,3L,0.0577154978562871
C43053481,89,2.7,89,3.2,2R,0.245112497836531
C43054093,98,5.7,97,4.8,3L,-0.247927513443586
C43054369,92,4.4,91,3.5,X,-0.330148601692331
C43054379,95,6.8,98,5.9,3L,-0.204819791888498
C43054515,88,2.8,92,4,3R,0.514573172829758
C43055289,94,4.1,92,3.7,3R,-0.148098638989134
C43056609,89,3.8,88,3.3,3R,-0.203533394085132
C43058491,90,1.9,98,3.2,3R,0.752072486556415
C43059145,98,5.1,98,7.5,3R,0.556393348524385
C43059959,97,3.7,99,4.1,3L,0.148098638989134
C43060279,99,4,91,4.5,3R,0.169925001442312
C43060821,98,2.7,98,4.1,3R,0.602664502454615
C43061737,77,3.9,100,4.3,3R,0.14086253583985
C43062881,91,5.4,93,6.9,2L,0.3536369546147
C43063183,82,4.6,100,5,3L,0.120294233717712
C43064421,95,5,95,5,2L,0
C43065147,96,3.9,95,4,3R,0.0365258760251142
C43065341,96,5.6,94,3.2,2R,-0.807354922057604
C43065501,97,5.4,98,6.7,2L,0.311201688294304
C43065725,94,3.8,94,3.5,2R,-0.118644496498619
C43066213,89,3.3,100,4.1,2R,0.31315788525963
C43066693,92,4.6,99,5.5,3L,0.257797757467647
C43067571,99,7,96,5.7,2R,-0.296393002780225
C43068001,84,4.6,95,4.4,2R,-0.0641303374197154
C43068261,99,3.9,99,5.4,3L,0.46948528330122
C43068485,95,4.2,99,4.4,3R,0.067114195858537
C43068893,87,4.2,100,5.8,2R,0.465663572348812
C43069197,99,4.5,95,4.7,2L,0.0627357553479627
C43069901,87,5.8,88,3,2R,-0.951090399519053
C43070035,77,5.6,99,6,3L,0.0995356735509144
C43070751,92,4.8,95,4.8,3L,0
C43070759,92,4.1,86,3,X,-0.450661409009565
C43071309,97,4.5,100,6.9,2R,0.616671360448494
C43072907,92,4.8,95,6,3R,0.321928094887362
C43072957,100,4.7,88,4.2,X,-0.162271428898877
C43074651,99,5.2,96,4.6,3L,-0.17687776208408
C43074857,97,3.8,88,4.9,3R,0.366782330671623
C43074999,96,4.2,97,4.2,2R,0
C43075175,98,4.3,98,5,2R,0.217591435072627
C43077431,95,4,91,3.9,3R,-0.036525876025114
C43077725,97,3.4,87,4.8,2L,0.497499659470817
C43078673,92,3.9,86,3.1,3R,-0.331205908475373
C43078681,98,6,92,8.4,3L,0.485426827170242
C43079395,95,4.8,94,4.6,3R,-0.0614005446641434
C43080273,95,3.8,98,6.5,2R,0.774440299584869
C43080313,93,3.1,95,3.2,3L,0.0458036896131248
C43080773,93,4.9,95,5.2,X,0.085729874025884
C43081573,96,2.8,97,3.9,3R,0.478047296804644
C43082209,88,4,88,4.5,2R,0.169925001442312
C43082357,94,5.4,79,2.3,4,-1.23132554610646
C43082471,99,3.5,97,4.5,2L,0.362570079384708
C43082875,98,4.5,96,3.1,2L,-0.5376567859428
C43083193,98,4.5,98,5.3,3R,0.236067358233525
C43083965,97,3.3,93,3.4,2L,0.0430687218918859
C43085449,96,6.9,97,4.4,2L,-0.649092838140872
C43086217,93,4.5,89,3.3,3R,-0.447458976971221
C43087355,94,5.8,84,2.7,2R,-1.1030934929641
C43087593,97,3.4,89,3.8,3L,0.160464672193246
C43088921,96,6.2,95,5.1,3L,-0.28177096841538
C43090545,86,3.3,95,4,2L,0.277533975528909
C43091023,97,3.9,95,5.4,3L,0.46948528330122
C43091499,83,2.7,97,3.7,2R,0.454565863465481
C43092985,88,3.2,98,4.2,3R,0.39231742277876
C43093297,98,5.1,92,5.4,X,0.0824621601919733
C43094073,97,3.2,97,5.7,2L,0.832890014164742
C43094229,95,4.2,96,3.9,3R,-0.106915203916512
C43097073,91,3.9,96,4.7,2L,0.269186632815389
C43098709,97,4.1,95,3.8,2R,-0.109624491174498
C43100213,81,3.7,98,5.6,2L,0.597901556428654
C43100853,95,6.3,100,6.1,3R,-0.0465425859370302
C43101239,88,3.9,95,5.4,3L,0.46948528330122
C43101447,98,5.3,100,6.4,3R,0.272079545436801
C43101647,89,3.4,96,3.2,3L,-0.0874628412503393
C43102407,97,4.5,96,3.3,X,-0.447458976971221
C43102521,84,4,62,3.3,X,-0.277533975528909
C43102533,96,4.6,100,4.1,2L,-0.166009951438929
C43102979,90,4.8,93,5.3,3L,0.142957953842043
C43104223,92,4.3,98,5,3L,0.217591435072627
C43104351,97,4.5,94,3.8,2L,-0.243925582886089
C43104935,98,5.9,92,3.5,2L,-0.753360032416875
C43105477,94,5.4,100,4.5,3L,-0.263034405833794
C43106027,96,6.3,91,6.6,2L,0.067114195858537
C43106851,92,3.6,91,3.9,3L,0.115477217419936
C43107117,97,4.9,98,5,2R,0.0291463456595165
C43108723,99,5.6,99,4.8,X,-0.222392421336448
C43109237,97,4.7,93,6.3,3R,0.422691071822279
C43110201,100,5.2,98,3.5,2R,-0.571156701196126
C43111275,91,3.8,95,4.8,X,0.337034987277571
C43111685,96,4.6,97,6,3R,0.383328639551506
C43111785,95,3.5,93,3.6,2R,0.0406419844973461
C43111995,98,3.6,97,5.4,2R,0.584962500721156
C43113213,99,6.1,91,6.3,3L,0.0465425859370302
C43113447,99,5.3,93,5.4,X,0.0269670476002694
C43113513,99,6.6,93,4.6,3R,-0.520832163301441
C43114047,95,4,80,2.8,3L,-0.514573172829758
C43114413,91,3.7,95,5.8,2R,0.648527629498622
C43114997,86,2.3,100,3.6,3R,0.6463630453853
C43116277,70,3.3,95,4.1,2L,0.31315788525963
C43116407,94,3.1,90,5,3L,0.689659879387849
C43117797,93,5,96,5.1,3R,0.0285691521967709
C43117917,99,4.7,92,2.7,3L,-0.799701349514169
C43118189,98,4.6,98,4,3R,-0.20163386116965
C43118631,96,5,97,4.7,X,-0.0892673380970872
C43119093,95,4.1,95,4.9,X,0.257157839497125
C43121337,94,5,97,5.9,2L,0.238786859587117
C43122387,92,3.8,94,4.1,3L,0.109624491174498
C43122969,96,5.6,99,4.6,3R,-0.283792966000591
C43123465,98,6.6,97,4.6,2L,-0.520832163301441
C43123849,93,4.1,94,6.6,2R,0.68684211474037
C43124047,96,5.1,98,5.8,2R,0.185555653156076
C43124279,98,4.8,96,5.3,2L,0.142957953842043
C43124513,100,5.3,96,5.8,3L,0.130060540564373
C43125019,94,5,100,6,3L,0.263034405833794
C43125797,97,6.1,97,5.7,3R,-0.0978473233981445
C43125877,96,4.3,96,3.3,2R,-0.381870635343644
C43127633,97,6.7,99,7,X,0.0631938264871939
C43127813,87,4.3,95,5.3,3R,0.301655699861101
C43128103,99,5.1,97,6.6,2R,0.371968777386958
C43128305,98,5.4,99,6.4,2R,0.245112497836531
C43128373,99,6.4,99,4.9,2L,-0.385290155884792
C43130389,98,5.1,97,4.1,3R,-0.314873337353412
C43130645,93,5.2,100,7.3,2R,0.489384840738925
C43131661,98,5.1,94,5.2,2R,0.0280143761695968
C43132865,95,4.3,94,4.1,2L,-0.0687127500840144
C43133389,100,6.5,98,6.2,3R,-0.0681715026415792
C43133689,90,4.1,98,4.7,2R,0.197036847059554
C43135995,83,3.4,79,4.1,X,0.270089163367744
C43136049,100,5.9,98,7.5,3R,0.34617564113404
C43136803,99,5,98,4.3,3L,-0.217591435072627
C43137291,97,6.5,99,5.1,2L,-0.349942471056959
C43137595,91,6.8,99,7.2,2L,0.082462160191973
C43137745,97,4.5,99,4.3,3L,-0.0655883416275769
C43138015,96,5,93,5.1,2L,0.0285691521967709
C43139103,97,3.7,95,4.4,3R,0.249978253008348
C43139209,97,4.2,97,4.1,2R,-0.0347654181606768
C43139849,94,4.2,96,5,3L,0.251538766995964
C43140365,97,3.3,99,6.7,X,1.02169507109932
C43140421,95,4.7,98,6.5,3R,0.467778961350817
C43141513,91,3.1,98,3.6,2L,0.215728691055437
C43142101,78,3.7,97,4.5,3L,0.282399730700725
C43142677,100,5.7,95,4.3,3R,-0.406625259462644
C43142683,99,5.5,95,4.9,X,-0.166649869409451
C43142709,94,4.3,97,4.8,2L,0.158697746019058
C43142761,99,4.2,95,4.9,X,0.222392421336448
C43143777,95,4.3,98,4.8,2L,0.158697746019058
C43145081,99,4.5,78,2.7,4,-0.736965594166206
C43145769,96,4.5,99,6.1,3L,0.438884241233211
C43145815,98,6,94,5.9,X,-0.0242475462466772
C43147569,96,4.1,95,4.6,3R,0.166009951438929
C43148011,95,3.6,99,4.2,X,0.222392421336448
C43148037,97,5.5,55,2.8,3L,-0.974004791467056
C43148281,97,4.7,93,3.5,X,-0.425305834732671
C43148321,99,5.4,100,6.6,2L,0.289506617194985
C43149607,99,5.7,98,7.1,2R,0.31685710533994
C43150097,85,2.7,87,6.7,2L,1.3112016882943
C43150979,97,5.3,91,5.3,3L,0
C43151955,98,4.5,99,5,X,0.15200309344505
C43152551,97,5.2,98,4.6,2R,-0.17687776208408
C43152773,99,6,99,4,3R,-0.584962500721156
C43153281,92,3.7,100,5.6,3R,0.597901556428654
C43153909,99,6.1,97,5.7,2L,-0.0978473233981445
C43153967,85,3.9,88,4.4,2L,0.174029399775049
C43154261,98,4.5,99,4.9,X,0.122856747785534
C43155507,95,5.1,96,6.2,3R,0.28177096841538
C43155701,99,5.1,97,3.9,2L,-0.387023123109247
C43155811,95,3.6,99,5.4,2L,0.584962500721156
C43156135,100,5.1,77,2.4,3L,-1.08746284125034
C43156733,97,3.7,99,5,X,0.434402824145775
C43157277,99,3.7,94,3.1,3L,-0.255257055242075
C43157375,90,3.5,92,4,3L,0.192645077942396
C43157591,97,4.5,89,4,3L,-0.169925001442312
C43157635,99,4.3,92,6.1,3L,0.504472582860788
C43157881,95,4.6,96,4.5,3R,-0.031708859727338
C43159167,99,4.5,98,4,3R,-0.169925001442312
C43159177,100,6.3,99,5.7,3R,-0.144389909335175
C43159445,99,4.3,100,6.1,3L,0.504472582860788
C43159991,93,3.7,96,4.1,3R,0.148098638989134
C43160203,87,3.9,99,5,2R,0.358453970912476
C43160465,93,6.7,100,6.5,X,-0.0437213774293179
C43160517,99,4.5,88,3.9,3R,-0.206450877467426
C43160677,99,5.1,98,3.6,3L,-0.502500340529183
C43161209,96,6.1,98,6.2,2R,0.023458972823989
C43161377,98,5.7,98,6.9,X,0.275634442613427
C43161525,98,5.8,98,5.4,3R,-0.103093492964103
C43163959,95,5.3,98,3.9,X,-0.442518235700951
C43163995,100,6.8,98,6.3,X,-0.110182917750423
C43164841,98,4.8,98,6.6,2R,0.459431618637297
C43165113,99,4.4,98,6.2,X,0.494764691749578
C43165187,98,5.5,92,4.1,3L,-0.423807708906576
C43165461,98,4.8,100,8.1,3R,0.754887502163469
C43165843,96,5.6,100,6.7,2L,0.258734268400169
C43165963,95,5.2,98,5.2,3L,0
C43166473,92,5.5,95,5.9,X,0.101283335837182
C43167729,99,5.8,96,6.5,2R,0.164386817900883
C43167741,96,4.5,96,4.3,3R,-0.0655883416275769
C43168457,97,4.4,86,3.8,2R,-0.211504105193712
C43169253,97,4.5,96,4.5,3R,0
C43170323,93,3.8,90,4.2,2L,0.144389909335175
C43170969,94,5,99,4.9,2L,-0.0291463456595163
C43171837,100,6.4,99,6.1,X,-0.0692626624371139
C43171985,96,5.8,99,6.3,2R,0.119298928372344
C43172171,99,5.2,95,4.7,2L,-0.145850866463455
C43172747,99,3.8,97,4.8,2L,0.337034987277571
C43174369,100,4.6,100,5.8,2L,0.334419039070559
C43174637,97,4.4,95,5,3L,0.184424571137427
C43174671,94,4.1,99,4.7,2R,0.197036847059554
C43174827,99,5.7,99,7,2L,0.296393002780225
C43174911,99,4.6,97,6.1,3L,0.407175381505874
C43175075,99,5.7,98,5.6,2L,-0.0255350921071376
C43175079,98,4.8,99,5.5,3R,0.196397212803504
C43175155,96,4.5,97,3.8,3R,-0.243925582886089
C43175265,91,3.9,91,5.4,3R,0.46948528330122
C43176575,98,5.9,98,5.4,2L,-0.127755547198373
C43177177,96,4.2,100,6.3,2R,0.584962500721156
