ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C14563914,98,14,100,13,X,-0.106915203916512
C14563964,89,12,81,11,2L,-0.125530882083859
C14563994,83,15,87,17,2R,0.180572245641821
C14564024,82,10,91,8.9,2L,-0.168122758808327
C14564106,83,15,87,15,X,0
C14564130,84,11,70,6.1,3L,-0.850622375961773
C14564136,100,22,99,28,2L,0.347923303420307
C14564186,92,9.4,89,11,3R,0.226770861847022
C14564224,100,26,99,22,3R,-0.241008099503795
C14564228,100,22,100,11,3L,-1
C14564260,99,13,95,9.9,3L,-0.393011192948845
C14564306,86,7.4,92,5.3,3R,-0.481532911065751
C14564326,100,17,98,21,2L,0.304854581528421
C14564356,92,7.2,96,4.3,3L,-0.743660246740214
C14564386,95,18,93,18,3R,0
C14564420,90,13,98,13,2L,0
C14564482,99,17,99,20,2L,0.234465253637023
C14564522,99,11,100,16,2L,0.540568381362703
C14564640,98,14,92,7.3,3L,-0.939458458064949
C14564654,90,12,89,13,X,0.115477217419936
C14564658,98,16,92,20,3L,0.321928094887362
C14564676,100,20,99,22,3R,0.137503523749935
C14564690,99,9.3,98,13,3R,0.483209001920423
C14564692,99,28,99,34,3L,0.280107919192735
C14564738,94,12,96,14,X,0.222392421336448
C14564794,91,12,96,14,2L,0.222392421336448
C14564858,99,16,89,9.4,3L,-0.767339243209725
C14564862,99,27,98,19,3L,-0.506959988719883
C14564876,94,11,89,15,3R,0.447458976971221
C14564974,99,17,99,24,X,0.497499659470817
C14564978,96,9.6,91,3.6,3L,-1.41503749927884
C14564994,99,22,100,30,3R,0.447458976971221
C14565030,94,11,94,5,3L,-1.13750352374993
C14565086,99,20,97,10,3L,-1
C14565104,99,25,100,34,X,0.443606651475615
C14565214,100,15,100,17,3R,0.180572245641821
C14565246,100,20,99,26,X,0.37851162325373
C14565248,99,19,99,21,2L,0.144389909335175
C14565336,99,10,100,9.7,3L,-0.0439433475875971
C14565392,100,21,100,27,2R,0.362570079384708
C14565440,98,21,100,21,X,0
C14565452,99,10,97,7.5,3L,-0.415037499278844
C14565486,100,19,100,25,3L,0.395928676331139
C14565522,99,21,100,12,3L,-0.807354922057604
C14565526,100,33,99,19,3L,-0.796466605914868
C14565528,98,8.3,99,12,3R,0.531851164261594
C14565570,100,9.9,98,10,2R,0.0144995696951152
C14565584,100,14,98,6.9,3L,-1.0207585601668
C14565588,99,19,100,21,2L,0.144389909335175
C14565600,100,16,97,11,X,-0.540568381362703
C14565640,99,19,98,21,2L,0.144389909335175
C14565672,100,12,100,12,2L,0
C14565740,97,14,100,19,X,0.440572591385981
C14565812,99,22,100,27,3R,0.295455883526171
C14565832,99,20,100,28,X,0.485426827170242
C14565868,99,16,100,25,X,0.643856189774725
C14565872,99,20,100,25,3R,0.321928094887362
C14565896,100,12,96,6.2,3L,-0.952694285221643
C14565928,99,14,99,7.2,3L,-0.959358015502654
C14565948,99,16,99,20,3R,0.321928094887362
C14565972,100,32,99,16,3L,-1
C14565984,100,15,99,18,2R,0.263034405833794
C14566026,98,17,99,17,3R,0
C14566194,100,24,100,29,3R,0.273018494406416
C14566198,100,17,100,19,2L,0.160464672193246
C14566232,99,25,100,16,3L,-0.643856189774725
C14566292,100,24,99,23,3R,-0.0614005446641433
C14566296,100,27,97,16,3L,-0.754887502163469
C14566336,100,21,100,25,X,0.251538766995964
C14566350,99,15,100,18,3R,0.263034405833794
C14566360,100,19,100,26,3R,0.452512204697507
C14566478,100,21,100,20,2R,-0.070389327891398
C14566526,100,17,99,13,3L,-0.387023123109247
C14566564,99,19,99,18,2L,-0.0780025120012732
C14566574,100,23,100,26,X,0.176877762084079
C14566588,100,27,100,29,3R,0.103093492964104
C14566608,100,23,100,28,2L,0.283792966000591
C14566682,99,24,100,28,2L,0.222392421336448
C14566800,100,28,100,33,X,0.237039197300849
C14566874,99,19,99,23,X,0.275634442613427
C14566894,99,27,99,32,3R,0.245112497836531
C14566900,100,32,100,21,3L,-0.60768257722124
C14566908,99,19,99,24,2L,0.337034987277571
C14566928,100,19,100,23,2L,0.275634442613427
C14566948,100,28,99,29,2R,0.0506260730699681
C14566960,100,24,100,27,X,0.169925001442312
C14567002,100,13,100,21,3R,0.691877704637668
C14567032,100,25,99,26,2L,0.0565835283663675
C14567068,99,36,100,20,3L,-0.84799690655495
C14567086,100,23,100,28,3L,0.283792966000591
C14567134,99,18,99,21,2L,0.222392421336448
C14567144,100,28,100,34,X,0.280107919192735
C14567212,100,27,100,36,X,0.415037499278844
C14567322,99,15,100,17,X,0.180572245641821
C14567382,99,14,100,9.5,3L,-0.559427408614019
C14567444,100,24,100,28,X,0.222392421336448
C14567606,100,19,100,22,2L,0.211504105193712
C14567608,100,21,100,24,2L,0.192645077942396
C14567618,93,10,99,15,3R,0.584962500721156
C14567682,99,17,100,8.5,3L,-1
C14567692,99,26,100,36,3R,0.46948528330122
C14567736,100,25,100,33,X,0.400537929583729
C14567746,99,21,100,30,2R,0.514573172829758
C14567748,100,22,100,30,3R,0.447458976971221
C14567882,100,25,100,30,2R,0.263034405833794
C14567912,99,29,99,34,2L,0.229481846122767
C14567926,100,29,100,36,X,0.31194400631474
C14567942,100,24,100,28,3R,0.222392421336448
C14567948,100,26,100,30,3R,0.206450877467426
C14568012,100,23,100,35,3L,0.605721060887954
C14568022,100,33,100,23,3L,-0.52083216330144
C14568038,100,19,100,26,2R,0.452512204697507
C14568088,100,27,100,33,2L,0.289506617194985
C14568136,100,25,100,30,3R,0.263034405833794
C14568158,100,23,100,28,2L,0.283792966000591
C14568184,99,22,99,22,2R,0
C14568258,100,41,100,49,X,0.257157839497124
C14568288,100,15,99,9.4,3L,-0.674229838818243
C14568414,100,26,100,35,3R,0.428843298803874
C14568440,100,32,100,42,2R,0.39231742277876
C14568456,100,23,100,35,3R,0.605721060887954
C14568528,100,28,100,44,3L,0.652076696579693
C14568548,100,29,100,35,2L,0.271302021817394
C14568550,100,34,100,18,3L,-0.917537839808027
C14568578,100,35,100,47,3R,0.425305834732671
C14568582,100,31,100,38,2R,0.29373120305671
scaffold1000,92,22,92,13,3L,-0.758991900496205
scaffold10002,73,11,77,15,3R,0.447458976971221
scaffold10012,99,16,99,21,2R,0.39231742277876
scaffold10025,65,6.5,67,7.5,X,0.206450877467426
scaffold10033,90,6.3,90,13,3R,1.04508788952854
scaffold10038,45,6.5,44,7.7,3R,0.244418727666447
scaffold10046,92,9.2,92,12,2R,0.383328639551506
scaffold10050,90,14,92,18,3L,0.362570079384708
scaffold10059,70,13,68,9.7,3L,-0.422454970841327
scaffold1008,97,11,100,14,2L,0.347923303420307
scaffold10089,60,12,70,12,X,0
scaffold10108,93,22,96,25,X,0.184424571137428
scaffold10119,16,1.6,30,4.1,3L,1.35755200461808
scaffold10132,89,15,87,20,2L,0.415037499278844
scaffold10155,100,14,100,16,3R,0.192645077942396
scaffold1016,94,23,95,17,3L,-0.436099114806674
scaffold10178,56,7.7,52,11,X,0.514573172829758
scaffold10189,98,10,100,13,3R,0.37851162325373
scaffold10195,50,14,49,11,3L,-0.347923303420307
scaffold10199,99,17,99,9.8,3L,-0.794681092022493
scaffold102,83,9.7,83,9.5,X,-0.0300572338561797
scaffold10211,44,18,44,26,2R,0.53051471669878
scaffold10232,0,NA,0,NA,2L,NA
scaffold1024,90,17,91,22,3R,0.371968777386958
scaffold10241,86,9,86,11,2R,0.289506617194985
scaffold10262,69,8.5,66,9.5,2L,0.160464672193246
scaffold10265,100,19,100,24,3R,0.337034987277571
scaffold10268,68,14,67,9.9,3L,-0.499926396865357
scaffold10270,92,6,88,6.2,X,0.0473057147783568
scaffold10276,52,11,52,13,2L,0.241008099503795
scaffold10278,96,19,96,13,3L,-0.547487795302493
scaffold10280,100,14,100,22,3R,0.652076696579693
scaffold10292,86,12,93,17,2R,0.502500340529183
scaffold1031,97,13,99,17,2L,0.387023123109247
scaffold10339,99,19,98,22,3R,0.211504105193712
scaffold10351,99,18,99,24,2R,0.415037499278844
scaffold10369,28,3.3,32,7.2,X,1.12553088208386
scaffold10375,90,5.6,93,12,2L,1.09953567355091
scaffold10383,91,11,94,13,X,0.241008099503795
scaffold10427,90,12,90,7.8,3L,-0.62148837674627
scaffold10432,91,10,98,12,3R,0.263034405833794
scaffold10439,98,14,98,18,X,0.362570079384708
scaffold10443,93,12,93,17,2R,0.502500340529183
scaffold10483,88,12,88,12,2L,0
scaffold10490,89,8.7,95,11,2L,0.338416217675931
scaffold10503,98,14,99,15,X,0.0995356735509144
scaffold1051,44,11,46,13,X,0.241008099503795
scaffold10512,100,16,99,12,3L,-0.415037499278844
scaffold10513,42,7.7,58,16,3R,1.05514155419246
scaffold1052,0,NA,0,NA,2R,NA
scaffold10547,59,3.3,91,9,X,1.44745897697122
scaffold10550,99,18,100,17,2R,-0.082462160191973
scaffold10568,98,10,99,13,3R,0.37851162325373
scaffold1057,59,9.5,58,10,X,0.0740005814437768
scaffold10573,39,9.3,53,11,2L,0.242200902416628
scaffold1059,89,9.4,89,7.1,3L,-0.404841732172955
scaffold10593,71,20,69,11,3L,-0.862496476250065
scaffold10595,92,12,94,11,3L,-0.125530882083859
scaffold10608,66,7.6,74,10,2L,0.395928676331139
scaffold10614,96,6.7,92,6.1,3L,-0.135351852894886
scaffold1063,69,9.3,68,6.5,3L,-0.516790998079577
scaffold10633,93,17,94,20,2R,0.234465253637023
scaffold10650,82,14,83,21,X,0.584962500721156
scaffold10662,83,13,90,17,3L,0.387023123109247
scaffold10706,96,25,95,27,3R,0.111031312388744
scaffold10708,46,3.2,41,5.8,3L,0.857980995127572
scaffold10711,33,9.5,38,11,3R,0.211504105193712
scaffold10724,23,3.4,29,5.4,3R,0.667424660913129
scaffold10727,89,24,90,29,3R,0.273018494406416
scaffold10747,80,6.9,80,12,2R,0.798366138830349
scaffold10751,69,12,65,7.6,3L,-0.658963082164933
scaffold10752,98,19,98,21,2R,0.144389909335175
scaffold10758,7.9,2.4,13,2.4,X,0
scaffold10759,80,14,80,8.1,3L,-0.789433014060342
scaffold10802,93,18,92,14,3R,-0.362570079384708
scaffold10803,100,17,100,24,3R,0.497499659470817
scaffold10825,79,17,78,12,X,-0.502500340529183
scaffold10829,28,14,39,9.8,2R,-0.514573172829758
scaffold10857,64,5.5,59,5.3,3R,-0.0534392589614604
scaffold10860,91,14,90,11,3L,-0.347923303420307
scaffold10865,83,9.6,80,9.4,2L,-0.0303736490435187
scaffold10866,63,6.7,65,11,X,0.715270523066887
scaffold1087,24,14,23,9,4,-0.637429920615292
scaffold10878,68,18,69,18,2L,0
scaffold10887,87,21,90,14,3L,-0.584962500721156
scaffold109,90,13,93,16,X,0.299560281858908
scaffold10908,97,16,95,10,3L,-0.678071905112638
scaffold10910,29,5.9,31,7,X,0.246639967583125
scaffold10933,87,10,86,7.1,3L,-0.494109070270043
scaffold10939,77,13,84,16,3R,0.299560281858908
scaffold10960,99,13,100,16,X,0.299560281858908
scaffold10961,73,8.4,74,10,2R,0.251538766995964
scaffold10970,97,15,95,9.2,3L,-0.705256734438868
scaffold10971,97,17,97,15,3L,-0.180572245641821
scaffold10983,90,13,91,17,2R,0.387023123109247
scaffold10986,93,10,95,14,2R,0.485426827170242
scaffold10987,38,4.8,40,12,3R,1.32192809488736
scaffold10988,90,4.5,94,7,2R,0.637429920615292
scaffold10998,12,4.7,12,8.7,X,0.888354644171091
scaffold110,83,17,83,13,3L,-0.387023123109247
scaffold11015,98,15,100,17,2L,0.180572245641821
scaffold11034,61,16,67,11,2R,-0.540568381362703
scaffold11043,99,11,98,16,3R,0.540568381362703
scaffold11044,39,5.5,32,4,3R,-0.459431618637297
