ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C5734543,97,7.2,88,3.1,3L,-1.21572869105544
C5734651,99,6.7,92,2.9,2L,-1.2081081953302
C5734855,81,2.7,87,2.1,3R,-0.362570079384708
C5735447,97,3.9,63,2.4,4,-0.700439718141092
C5736427,96,2.9,86,3,2R,0.0489096004809465
C5736447,78,3,70,1.6,3R,-0.906890595608519
C5737475,82,5.9,72,1.6,3R,-1.88264304936184
C5737829,94,4.9,81,2.6,3R,-0.914270125974116
C5737991,91,4.9,70,1.9,2L,-1.36678233067162
C5738703,100,4.8,84,3,3L,-0.678071905112638
C5738837,95,4.7,79,1.7,2R,-1.4671260104273
C5739229,81,5.5,78,2.3,3L,-1.25779775746765
C5740213,95,3.5,65,1.5,2L,-1.22239242133645
C5740461,98,9.4,97,5.6,3R,-0.747233929620033
C5741155,81,2.7,47,1.6,3L,-0.754887502163469
C5741377,69,1.8,69,1.7,X,-0.082462160191973
C5741579,92,2.7,82,2.4,2L,-0.169925001442312
C5741625,99,8.1,85,4.8,2L,-0.754887502163469
C5742227,98,5.8,74,2.3,3L,-1.33441903907056
C5743273,99,4,74,2.1,2L,-0.929610672108602
C5744219,98,7.2,86,4.4,2L,-0.710493382805015
C5744265,78,5.8,37,1.4,X,-2.05062607306997
C5744413,98,8.5,88,3.6,3L,-1.23946593469539
C5744507,92,2.9,80,3.2,3L,0.142019004872428
C5744607,48,1.6,55,1.4,2L,-0.192645077942396
C5744629,87,4.6,63,2.1,2R,-1.13124453327825
C5744869,87,2.6,45,1.9,X,-0.452512204697507
C5745265,86,5,87,2.8,2R,-0.836501267717121
C5745991,82,3.5,72,1.8,3L,-0.959358015502654
C5746937,97,4.7,79,1.9,3L,-1.30666133823405
C5747031,98,12,97,4.3,3L,-1.48062584090642
C5748307,76,7.5,96,4,X,-0.906890595608519
C5749501,95,5.4,82,2.4,3R,-1.16992500144231
C5749599,94,3.2,76,2.5,2L,-0.356143810225275
C5749871,90,2.5,56,2,2L,-0.321928094887362
C5751747,64,1.8,47,1.8,3R,0
C5752069,95,3.5,81,2.4,X,-0.54432051622381
C5752247,100,7.3,98,3.6,3R,-1.0198995574377
C5752447,99,7.9,73,1.4,3L,-2.4964258261195
C5752811,96,4.3,87,2.6,3L,-0.725825036561006
C5752947,100,17,97,4.7,3R,-1.85480208446006
C5753285,98,6,71,2.3,2R,-1.38332863955151
C5753303,87,4.6,75,2.4,2L,-0.938599455335857
C5754275,99,3.5,88,2.2,X,-0.669851398307669
C5754285,94,5.8,83,2.3,2L,-1.33441903907056
C5754781,84,2.6,61,1.7,3R,-0.612976876890753
C5756155,95,5.6,58,2.9,3L,-0.949373926930032
C5756473,99,14,99,6.6,2L,-1.08488889758651
C5757659,85,2.7,63,1.9,2R,-0.506959988719883
C5759559,99,5,78,2.7,2L,-0.888968687611256
C5759961,92,7.5,80,2.6,2R,-1.52837897235479
C5760273,99,11,84,2.5,3L,-2.13750352374994
C5760523,88,2.8,59,1.6,X,-0.807354922057604
C5760629,92,5.8,98,4.2,3R,-0.465663572348812
C5760723,95,5,95,4.7,3R,-0.0892673380970872
C5760759,95,6.3,90,4,2R,-0.655351828612554
C5760841,96,5,79,3.1,3R,-0.689659879387849
C5760997,100,21,97,7,X,-1.58496250072116
C5761055,98,6.4,74,2.5,2L,-1.35614381022528
C5762545,96,5.1,85,2.7,2R,-0.917537839808027
C5763563,82,3.2,80,2.2,2L,-0.540568381362703
C5764659,96,7.4,92,3.5,3R,-1.08017034868398
C5765027,75,2.6,81,2.5,3R,-0.0565835283663676
C5765579,96,5.8,92,3.1,3L,-0.903784684740697
C5765629,92,4.9,85,3,3R,-0.70781924850669
C5765871,99,7.5,99,4.4,3R,-0.769387071858584
C5766957,97,4.5,56,1.5,3R,-1.58496250072116
C5766965,94,4,54,1.4,3R,-1.51457317282976
C5767133,99,16,92,4.7,3R,-1.76733924320973
C5768727,99,11,90,3,3R,-1.87446911791614
C5769049,97,4.8,81,2.4,2L,-1
C5769319,100,6.3,85,2.6,2R,-1.27684020535882
C5769771,100,13,98,6.3,2L,-1.04508788952854
C5770525,96,4.1,59,1.5,3L,-1.45066140900957
C5774007,100,10,99,6.9,3L,-0.535331732996556
C5774387,96,7.6,90,2.9,X,-1.38994651831601
C5775181,99,19,97,4.3,X,-2.14359085362885
C5775333,98,3.9,47,1.4,X,-1.47804729680464
C5775803,99,15,91,4.9,2L,-1.61410884638067
C5776281,100,12,93,4.6,3R,-1.38332863955151
C5777911,100,15,96,7.8,3L,-0.943416471633633
C5780069,100,17,99,7,2L,-1.28010791919274
C5781301,100,14,100,7.3,3R,-0.939458458064949
C5781467,100,17,100,5.8,3R,-1.55140994101013
C5782107,100,18,100,6.9,3R,-1.38332863955151
C5782277,99,12,98,5.9,2L,-1.02424754624668
C5784897,100,23,97,5.5,3R,-2.06413033741972
C5785111,100,16,99,6.5,3L,-1.29956028185891
C5786501,100,17,98,5.8,2R,-1.55140994101013
C5786655,99,12,94,5.5,2L,-1.12553088208386
C5786815,100,15,99,7.5,3R,-1
C5787129,100,15,99,7.1,3R,-1.0790715709912
C5787495,100,20,100,9.5,X,-1.07400058144378
C5787863,100,19,99,7.3,2R,-1.38003104945093
C5787991,97,10,97,5.5,2L,-0.862496476250065
C5788029,100,16,99,5.2,2R,-1.62148837674627
C5788309,100,12,96,4.7,2L,-1.35230174393088
C5788403,100,15,100,6.6,3L,-1.18442457113743
C5788521,100,14,99,7.7,2L,-0.862496476250065
C5788647,100,21,100,5.6,2L,-1.90689059560852
C5788683,100,20,99,7,3R,-1.51457317282976
C5788821,100,17,99,6,2L,-1.50250034052918
scaffold1,73,3.2,38,1.3,X,-1.29956028185891
scaffold10014,88,7.1,79,2.8,2R,-1.34239219744708
scaffold10019,97,7.9,81,2.7,3L,-1.54889324601363
scaffold10046,88,4.4,80,3.2,2L,-0.459431618637297
scaffold1005,62,2.6,57,1.9,3R,-0.452512204697507
scaffold10061,82,4.7,75,3.5,2R,-0.425305834732671
scaffold10074,87,3.7,73,2.2,2R,-0.750021746991652
scaffold1009,92,6.3,83,3.2,X,-0.977279923499916
scaffold10090,87,3.7,79,2.4,X,-0.624490864907794
scaffold10098,83,5.6,70,2.7,2R,-1.05246741989414
scaffold101,69,3.2,53,1.9,2R,-0.752072486556415
scaffold10110,71,2.4,60,2,3R,-0.263034405833794
scaffold10116,72,4.5,70,2.9,2L,-0.633872101202103
scaffold10124,95,6.3,84,2.5,U,-1.33342373372519
scaffold10137,69,4.4,56,2.4,3R,-0.874469117916141
scaffold10147,68,2.3,51,1.7,2L,-0.436099114806673
scaffold10171,73,3.1,61,1.9,3R,-0.70626879694329
scaffold10178,96,9.2,92,4.5,X,-1.03170885972734
scaffold10182,89,5.7,82,3.4,3R,-0.745427172914402
scaffold10192,63,4.7,58,2.6,X,-0.854149133536545
scaffold1020,52,2.8,37,1.7,3R,-0.719892080807265
scaffold10201,98,8.4,96,4.8,3R,-0.807354922057604
scaffold10214,68,2.1,56,1.6,X,-0.39231742277876
scaffold10215,76,3.1,60,2.1,3L,-0.561878887608115
scaffold10231,60,2.2,47,1.8,2R,-0.289506617194985
scaffold10234,88,6,78,2.5,3R,-1.26303440583379
scaffold10256,86,4.6,68,2.1,3L,-1.13124453327825
scaffold10264,61,2.8,38,1.6,X,-0.807354922057604
scaffold10298,67,2.8,50,2.1,3R,-0.415037499278844
scaffold10326,91,5.7,88,3.9,3R,-0.547487795302493
scaffold10342,93,5.8,64,2.1,3R,-1.46566357234881
scaffold10351,100,12,94,3.5,2L,-1.77760757866355
scaffold10403,78,3.4,63,2.3,2R,-0.563900885193327
scaffold10406,84,4.3,75,2.6,2L,-0.725825036561006
scaffold10410,87,6.6,69,2,3L,-1.72246602447109
scaffold10412,100,9.6,89,2.3,X,-2.06140054466414
scaffold10428,79,6.2,75,4.1,2L,-0.596644305768792
scaffold10440,71,2.6,54,1.9,3L,-0.452512204697507
scaffold10444,97,4.5,84,2.4,2L,-0.906890595608519
scaffold10453,95,6.1,76,2.2,3L,-1.47130571892559
scaffold10455,96,5.9,88,3.7,U,-0.673189683732891
scaffold10457,32,5.2,33,2.5,3R,-1.05658352836637
scaffold10462,98,9.8,88,3.7,2R,-1.40525647848626
scaffold10468,52,2.6,36,1.6,3L,-0.700439718141092
scaffold10469,83,3.7,74,2.4,U,-0.624490864907794
scaffold10471,85,3.9,61,2,2R,-0.963474123974886
scaffold10479,93,5,82,2.2,2R,-1.18442457113743
scaffold10483,94,8,83,3.2,3R,-1.32192809488736
scaffold105,96,6.8,79,2.7,3L,-1.33257533908687
scaffold10500,37,5.9,45,2.7,2R,-1.12775554719837
scaffold10559,88,3.8,70,1.9,U,-1
scaffold1060,97,8.2,90,2.9,2L,-1.49957100949051
scaffold10608,79,8.2,69,2.7,2L,-1.60266450245461
scaffold10612,73,11,73,3.1,2R,-1.82716340313778
scaffold10622,95,9.8,91,5,X,-0.970853654340484
scaffold10638,30,2.1,28,2.5,2L,0.251538766995964
scaffold10643,88,3.4,74,2.4,2R,-0.502500340529183
scaffold10688,85,6.1,84,4,3R,-0.608809242675524
scaffold10692,73,3.3,60,2.6,X,-0.343954401217361
scaffold10694,97,8.1,84,2.7,2L,-1.58496250072116
scaffold107,90,4.7,77,2.3,U,-1.03102689562062
scaffold10735,90,5.4,73,2.4,2R,-1.16992500144231
scaffold10742,84,4.5,81,2.8,3L,-0.684498174272071
scaffold10755,92,5.1,83,3.2,U,-0.672425341971495
scaffold10768,78,2.6,80,2.2,3R,-0.241008099503795
scaffold10775,66,2.3,64,2,2R,-0.20163386116965
scaffold1078,90,6.3,61,2,2R,-1.65535182861255
scaffold10800,79,3.5,69,2.2,3R,-0.669851398307669
scaffold10806,66,6.2,52,2.5,3L,-1.31034012061215
scaffold10829,0,NA,15,1.3,2R,NA
scaffold10841,82,3.2,72,2.6,3R,-0.299560281858908
scaffold10887,98,7.8,86,3.1,3L,-1.33120590847537
scaffold10890,91,4.5,88,3.8,3L,-0.243925582886089
scaffold10918,86,7.5,80,3.9,3L,-0.943416471633633
scaffold10920,95,7.7,90,3.5,2L,-1.13750352374993
scaffold10922,84,9,56,3.8,2R,-1.24392558288609
scaffold10928,95,6.7,80,2.4,X,-1.48112668973662
scaffold1094,98,9.9,91,3.6,2L,-1.4594316186373
scaffold10946,91,8.6,86,3.3,3R,-1.38187063534364
scaffold10958,73,3.1,67,2.1,2L,-0.561878887608115
scaffold10969,97,7.5,90,3.8,2L,-0.980891177052296
scaffold10971,61,4.7,63,2.7,3L,-0.799701349514169
scaffold1098,93,4.9,82,3.1,2L,-0.660513533728333
scaffold10992,98,13,89,3.2,3R,-2.02236781302845
scaffold10995,30,2.4,22,1,2R,-1.26303440583379
scaffold110,96,8.5,85,3.2,3R,-1.4093909361377
scaffold11017,93,4.9,75,2.7,3L,-0.85982234195174
scaffold11039,88,8.2,77,2.7,2R,-1.60266450245461
scaffold11046,89,5,76,2.9,3R,-0.785875194647153
scaffold11048,95,15,76,4.8,X,-1.64385618977472
scaffold11052,61,8.1,63,3.9,3L,-1.05444778402238
scaffold11053,83,3.6,70,2.7,3R,-0.415037499278844
scaffold11106,77,3.4,63,2.6,X,-0.387023123109247
scaffold11123,97,5.7,85,2.6,3R,-1.13245029602365
scaffold11137,81,5.6,73,2.7,2R,-1.05246741989414
scaffold11138,69,4,58,2,2L,-1
scaffold11139,95,5.1,83,3.2,3L,-0.672425341971495
scaffold1114,83,4.9,74,3.3,2L,-0.570315724756755
scaffold11150,65,2.9,60,2.1,U,-0.465663572348812
scaffold11171,67,6.4,56,3.1,2R,-1.04580368961312
scaffold11183,98,5.1,82,2.7,3L,-0.917537839808027
scaffold11193,71,9.7,63,2.7,3L,-1.84502534002366
scaffold11199,86,4.3,73,2.4,2L,-0.841302253980942
scaffold11212,71,4.7,66,3,3R,-0.647698256069119
scaffold1122,82,4.3,62,2,X,-1.10433665981474
scaffold11233,44,2.3,33,1.4,2R,-0.716207033999409
scaffold11250,72,2.5,67,1.9,U,-0.395928676331139
scaffold11256,71,5.8,57,2.6,2L,-1.15754127698648
scaffold11264,91,5.1,86,2.9,2L,-0.814444346843924
scaffold11282,83,3.7,55,1.8,X,-1.03952836418664
scaffold11283,88,4.9,77,2.6,2R,-0.914270125974116
scaffold11285,75,5.3,52,1.9,2R,-1.47999294111961
scaffold11306,95,7,82,3,2L,-1.22239242133645
scaffold11314,84,5.8,73,3.1,2L,-0.903784684740697
scaffold11324,67,2.9,46,1.7,3L,-0.770518153877233
scaffold11327,94,5.3,73,2.2,U,-1.2684888359259
scaffold11335,61,3.2,50,2,2R,-0.678071905112638
scaffold1135,84,4.4,52,1.7,2L,-1.37196877738696
scaffold11353,94,7.2,80,2.5,3R,-1.52606881166759
scaffold1138,91,5.2,58,1.8,3R,-1.53051471669878
scaffold11384,81,4.3,72,2.6,3R,-0.725825036561006
scaffold11385,88,4.2,65,2,2R,-1.0703893278914
scaffold11386,84,4.1,73,2,2R,-1.03562390973072
scaffold11389,71,3.7,46,1.8,X,-1.03952836418664
