ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C3677780,100,9.3,97,9.7,2R,0.0607540310790959
C3678072,97,7.9,99,7.9,3R,0
C3678324,98,9.4,100,10,3R,0.0892673380970873
C3679168,98,9,99,8.9,2L,-0.0161196653632769
C3679390,98,7.5,99,7.4,3L,-0.0193653248669311
C3679636,100,8.5,96,8.6,X,0.0168738185643961
C3680006,99,8.3,99,8,2L,-0.0531113364595626
C3680070,98,9,100,9.6,3R,0.0931094043914815
C3680172,98,9.2,99,7.2,X,-0.3536369546147
C3680280,94,6.3,100,8.7,2L,0.465663572348812
C3681640,99,7.9,98,7.3,X,-0.113956189297086
C3681980,100,11,98,8.1,3L,-0.441509710640035
C3682144,100,10,100,9.2,3R,-0.120294233717712
C3682504,92,8,95,7.2,2L,-0.15200309344505
C3682658,100,15,99,16,2L,0.0931094043914815
C3682962,90,8.3,92,7.9,3R,-0.0712586831698219
C3684130,100,6.2,98,9.3,3R,0.584962500721156
C3684258,99,9,99,9.2,3L,0.031708859727338
C3684510,100,17,100,17,X,0
C3684812,99,8.8,98,9.3,3R,0.0797271924707342
C3685066,99,8.8,100,6.7,3L,-0.393342428179525
C3685226,100,9.2,99,11,3L,0.257797757467647
C3686244,98,8.4,99,7.5,2R,-0.16349873228288
C3686338,99,8.6,98,8.2,3L,-0.0687127500840144
C3686764,94,7.9,99,7.7,3R,-0.0369942074822016
C3687220,99,7.4,99,8.8,3L,0.249978253008348
C3687920,97,7.5,97,8.3,3R,0.146220740851044
C3687932,100,8.6,99,7.3,X,-0.236440195822081
C3688144,95,6.1,97,7.4,X,0.278716028066064
C3688474,99,7.5,99,8.8,3R,0.230612928141416
C3689496,97,7.4,99,8,X,0.112474729258412
C3691752,98,8.6,97,7,2R,-0.296981737757131
C3691826,99,8.7,98,7.6,3R,-0.195015982405143
C3692062,99,7.6,95,12,3L,0.658963082164933
C3692150,100,7.7,99,8.4,3L,0.125530882083859
C3692208,87,6.9,86,7.6,2R,0.139403056665416
C3693312,96,6.6,98,6.8,3R,0.0430687218918859
