ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C3906778,84,20,85,25,2L,0.321928094887362
C3907144,100,33,100,31,2R,-0.0901978089715781
C3908410,0,NA,96,9.4,2R,NA
C3908824,100,35,100,32,3R,-0.129283016944966
C3909516,99,20,99,23,3L,0.20163386116965
C3910568,99,25,100,26,2R,0.0565835283663675
C3911334,99,34,99,34,2R,0
C3912150,99,25,100,28,2L,0.16349873228288
C3912404,100,28,100,31,2L,0.146841388329271
C3912406,99,23,99,18,2L,-0.3536369546147
C3914172,100,31,99,36,3R,0.215728691055437
C3915150,99,28,99,26,3R,-0.106915203916512
C3917090,100,30,99,30,3R,0
C3917348,99,31,99,14,X,-1.14684138832927
C3918086,100,38,100,40,2R,0.0740005814437768
C3918772,100,33,100,32,3L,-0.0443941193584534
C3919052,100,40,100,31,3L,-0.367731784500487
C3919392,99,30,100,35,3R,0.222392421336448
C3920390,99,22,98,23,2L,0.0641303374197156
C3921230,99,27,99,29,2L,0.103093492964104
C3923476,100,21,100,22,2R,0.067114195858537
C3923902,99,23,98,30,2L,0.383328639551506
C3926770,100,18,99,20,2L,0.15200309344505
C3927580,99,28,100,30,3L,0.0995356735509144
C3927806,99,24,98,27,2L,0.169925001442312
C3930258,100,43,100,36,2R,-0.256339753259785
C3930626,100,31,99,29,2L,-0.0962153152593032
C3932390,100,29,99,16,X,-0.857980995127572
C3934600,97,32,98,35,3R,0.129283016944966
C3934808,100,36,99,33,2L,-0.125530882083859
C3934840,100,35,100,35,2L,0
C3935670,100,25,99,25,2L,0
C3938718,99,22,99,23,2L,0.0641303374197156
C3939998,99,19,99,22,3L,0.211504105193712
C3941532,100,30,99,29,2L,-0.0489096004809464
C3941798,100,27,99,16,X,-0.754887502163469
C3941918,100,20,99,25,2L,0.321928094887362
C3942342,98,23,98,13,X,-0.823122237915921
C3943778,100,33,99,32,2L,-0.0443941193584534
C3944720,100,20,100,20,2L,0
C3948748,100,30,100,37,3L,0.302562770020431
C3949952,100,43,99,38,2R,-0.178337241258512
C3950192,99,19,98,12,X,-0.662965012722429
C3950502,100,30,100,31,2L,0.0473057147783568
C3953398,100,32,100,32,2R,0
C3954886,100,40,100,34,2L,-0.234465253637023
C3955750,99,29,99,13,X,-1.15754127698648
C3956774,100,40,99,18,X,-1.15200309344505
C3957222,100,31,100,32,2R,0.0458036896131248
C3957408,100,29,99,28,3L,-0.0506260730699679
C3959256,100,42,100,41,2R,-0.0347654181606766
C3963416,100,22,100,31,2L,0.494764691749578
C3966290,100,33,100,35,3L,0.0848888975865129
C3969656,100,26,100,30,2L,0.206450877467426
scaffold10013,99,35,99,17,U,-1.04182017569463
scaffold10032,100,34,100,33,3R,-0.043068721891886
scaffold10033,100,33,99,33,3L,0
scaffold10036,99,29,99,32,2R,0.142019004872428
scaffold10037,100,36,100,17,X,-1.08246216019197
scaffold10042,99,22,99,23,3L,0.0641303374197156
scaffold10049,98,39,98,21,X,-0.893084796083488
scaffold10050,83,20,82,22,3R,0.137503523749935
scaffold10051,100,34,100,33,2R,-0.043068721891886
scaffold10055,85,20,86,22,2L,0.137503523749935
scaffold1006,99,39,99,35,2R,-0.156119201917282
scaffold10064,100,36,99,16,X,-1.16992500144231
scaffold10067,99,25,100,27,2L,0.111031312388744
scaffold10071,100,22,99,25,2L,0.184424571137428
scaffold10073,99,32,99,15,X,-1.09310940439148
scaffold10088,100,38,100,37,3R,-0.0384741478146357
scaffold1009,99,38,98,36,3R,-0.0780025120012732
scaffold10113,100,36,100,36,3R,0
scaffold1012,100,43,100,39,3R,-0.14086253583985
scaffold10122,99,34,100,35,3R,0.0418201756946269
scaffold10123,96,36,97,33,2R,-0.125530882083859
scaffold10133,100,39,100,28,2R,-0.478047296804644
scaffold10134,100,29,100,15,X,-0.951090399519053
scaffold10135,99,30,99,31,3L,0.0473057147783568
scaffold1014,96,35,95,31,3L,-0.175086706558091
scaffold10141,98,34,99,32,2L,-0.0874628412503394
scaffold10152,100,34,100,30,3R,-0.180572245641821
scaffold10179,99,30,99,33,2R,0.137503523749935
scaffold1021,99,33,99,34,3R,0.0430687218918859
scaffold10212,100,23,100,24,2L,0.0614005446641433
scaffold10215,99,35,99,36,3L,0.0406419844973458
scaffold1022,94,29,94,29,3L,0
scaffold10221,100,32,100,26,3L,-0.299560281858908
scaffold1023,99,27,99,14,X,-0.947532580105864
scaffold10240,100,27,100,31,2R,0.199308808223407
scaffold10241,99,36,99,35,2R,-0.0406419844973459
scaffold10250,100,26,100,28,3R,0.106915203916512
scaffold10253,100,41,100,39,2L,-0.0721497857558354
scaffold10257,100,36,100,34,3R,-0.082462160191973
scaffold10263,99,38,99,37,3L,-0.0384741478146357
scaffold10268,100,35,100,17,X,-1.04182017569463
scaffold10269,99,31,100,33,2R,0.0901978089715782
scaffold10271,100,32,100,32,3L,0
scaffold1028,100,38,100,35,3R,-0.118644496498619
scaffold10283,100,35,100,34,3L,-0.0418201756946271
scaffold10291,98,27,99,14,X,-0.947532580105864
scaffold10299,100,37,100,36,2L,-0.0395283641866373
scaffold10308,99,39,99,34,2L,-0.197939377611909
scaffold10315,99,30,99,16,X,-0.906890595608519
scaffold1032,99,33,99,31,2L,-0.0901978089715781
scaffold10341,100,37,100,36,2R,-0.0395283641866373
scaffold1035,98,32,98,16,X,-1
scaffold10353,90,37,90,33,3L,-0.165059246270496
scaffold10355,100,35,100,36,3L,0.0406419844973458
scaffold10359,100,20,99,20,2L,0
scaffold10360,99,38,99,34,3L,-0.160464672193246
scaffold10363,100,36,100,35,2R,-0.0406419844973459
scaffold10375,98,39,97,35,3R,-0.156119201917282
scaffold10378,97,27,97,28,2L,0.0524674198941355
scaffold10384,100,33,100,35,2L,0.0848888975865129
scaffold10406,99,34,99,34,3L,0
scaffold10407,100,36,100,34,3R,-0.082462160191973
scaffold10425,94,20,96,22,3L,0.137503523749935
scaffold10427,100,37,100,36,2R,-0.0395283641866373
scaffold10430,99,36,99,18,X,-1
scaffold1044,98,35,99,30,3R,-0.222392421336448
scaffold10445,100,30,99,34,3L,0.180572245641821
scaffold10449,99,37,99,37,3R,0
scaffold1045,100,43,100,36,2L,-0.256339753259785
scaffold10458,99,24,99,12,X,-1
scaffold1046,100,36,100,34,2L,-0.082462160191973
scaffold10462,98,33,97,33,2R,0
scaffold10465,99,28,99,28,3L,0
scaffold10479,98,21,99,23,3L,0.131244533278253
scaffold10482,100,37,100,36,3R,-0.0395283641866373
scaffold10485,100,33,100,33,3L,0
scaffold10488,99,29,99,32,3R,0.142019004872428
scaffold10498,100,31,100,30,2L,-0.0473057147783566
scaffold1050,100,37,100,35,3L,-0.0801703486839833
scaffold10502,100,33,100,33,2L,0
scaffold10513,98,30,98,31,3R,0.0473057147783568
scaffold10514,95,36,95,36,3L,0
scaffold10517,83,4.2,88,8.4,3R,1
scaffold10521,99,37,99,33,3L,-0.165059246270496
scaffold10522,84,11,89,14,2L,0.347923303420307
scaffold10523,99,35,98,35,3R,0
scaffold10532,100,35,99,17,X,-1.04182017569463
scaffold10539,99,31,99,32,2R,0.0458036896131248
