ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C6714267,98,5.8,95,7.4,3R,0.351472370501378
C6715331,97,6.7,96,4.9,X,-0.451379346342564
C6718873,97,5.5,98,4.6,X,-0.257797757467647
C6721819,95,3.6,99,6.4,2L,0.830074998557688
C6722695,96,4.9,99,7.5,2L,0.614108846380673
C6725783,93,4.8,99,6.7,2L,0.481126689736616
C6732403,99,12,98,16,2R,0.415037499278844
C6732653,99,5.8,100,9.8,3R,0.756728848987636
C6733677,96,6.7,99,6.6,2L,-0.0216950710993191
C6736405,100,7.4,98,10,2L,0.434402824145775
C6738143,77,3.7,100,5.3,3R,0.518467088934249
C6741373,98,5.3,99,8.8,2L,0.731511164074098
C6742113,97,6.6,98,8.8,2L,0.415037499278844
C6745185,96,4.1,99,5.4,2L,0.397335497545385
C6746521,99,14,99,20,2R,0.514573172829758
C6747379,100,29,99,16,X,-0.857980995127572
C6747443,94,5.9,99,9,2R,0.609210046967833
C6749853,95,6,93,7.6,2L,0.341036917835067
C6757181,99,14,100,9.4,2L,-0.574694165267329
C6757803,100,12,99,17,2R,0.502500340529183
C6758121,99,10,99,5.7,2L,-0.810966175609983
C6767383,99,5.9,99,8.9,2R,0.593090381604557
C6768273,98,13,98,11,3R,-0.241008099503795
C6772105,99,6.5,98,9.8,2R,0.592342031086754
C6772773,98,11,98,12,3R,0.125530882083859
C6778187,92,5.2,98,6.4,3R,0.299560281858908
C6779463,99,6.7,99,8.7,3R,0.376854305390956
C6780661,99,12,100,15,2R,0.321928094887362
C6781837,85,4.8,99,9.2,3R,0.938599455335857
C6782631,100,12,99,7.4,X,-0.697437229979569
C6784573,98,6.4,98,9.2,3R,0.523561956057013
C6785267,100,7.8,100,7.9,2L,0.0183785293148548
C6787647,98,6.6,100,7.3,3R,0.145430439521564
C6791905,97,6.3,97,6.9,2R,0.131244533278253
C6793595,98,9.8,100,15,2R,0.614108846380673
C6795023,98,5.1,98,7.5,3R,0.556393348524385
C6798507,99,9.3,93,5.8,2L,-0.68117781598046
C6801233,98,5.6,98,8.9,2L,0.668378508908794
C6808523,100,11,99,17,2R,0.628031222613042
C6809897,100,7.2,92,4.3,X,-0.743660246740214
C6810195,94,5.1,97,6.9,3R,0.436099114806674
C6810219,100,6.6,98,7.9,2L,0.25938662881865
