ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C32237847,48,1.4,99,10,X,2.83650126771712
C32237877,16,1.3,99,6.2,2R,2.25375659224578
C32237895,43,1.2,96,9.3,3L,2.95419631038688
C32237929,55,1.4,97,9.7,2L,2.79255792012952
C32237961,13,1,100,10,3L,3.32192809488736
C32237967,51,1.7,100,8.3,X,2.28757659009659
C32238005,29,1.6,98,6.5,2R,2.02236781302845
C32238007,13,1,97,8.3,3L,3.05311133645956
C32238043,33,1,99,11,3L,3.4594316186373
C32238047,40,1.3,91,6.2,3R,2.25375659224578
C32238057,56,1.4,96,5.3,3R,1.9205655325056
C32238083,39,1.2,100,8.6,3R,2.84130225398094
C32238103,63,1.1,96,7.9,3R,2.84434912953981
C32238113,22,1.2,98,4.5,2R,1.90689059560852
C32238119,30,1.1,98,6.6,X,2.58496250072116
C32238121,27,1.2,92,6.7,X,2.48112668973662
C32238163,43,1.2,99,8.3,X,2.79007693062577
C32238165,41,1.1,96,8.4,2L,2.93288580414146
C32238173,60,2,99,9.5,3R,2.24792751344359
C32238189,66,1.3,95,6.6,X,2.34395440121736
C32238199,51,1.3,96,6.9,3L,2.40808473863708
C32238211,52,1.1,100,8.4,2L,2.93288580414146
C32238265,13,1,98,7.9,X,2.98185265328974
C32238275,34,1.5,98,9.3,3R,2.63226821549951
C32238339,42,1.2,91,5.9,2R,2.29768054864069
C32238341,10,1.3,100,6.5,2L,2.32192809488736
C32238353,40,2.1,99,7.6,2L,1.85561009066482
C32238355,6.5,1,96,4.1,3L,2.03562390973072
C32238375,24,1.4,96,5.8,3R,2.05062607306997
C32238387,41,1.4,81,8.4,3R,2.58496250072116
C32238407,69,1.4,99,8.9,3R,2.66837850890879
C32238417,33,1.2,97,8.9,3L,2.89077093024524
C32238431,20,1.3,98,5.9,3R,2.18220333122075
C32238447,19,1,100,11,X,3.4594316186373
C32238455,45,1.4,98,10,2R,2.83650126771712
C32238505,26,1,98,5.4,3R,2.43295940727611
C32238515,70,1.7,99,9.6,X,2.49749965947082
C32238521,51,1.3,97,9.9,2L,2.92891690193852
C32238523,46,1.3,99,5.2,3L,2
C32238537,38,1.4,98,8.8,X,2.65207669657969
C32238551,6.5,1,97,5.7,3R,2.51096191927738
C32238603,19,1,96,6.8,2L,2.76553474636298
C32238631,49,1.6,88,5.6,3R,1.8073549220576
