ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C26392772,98,26,100,15,3L,-0.793549122532574
C26392814,99,24,99,13,3L,-0.884522782580064
C26392818,92,6.4,69,3.4,2R,-0.912537158749661
C26392912,99,31,98,19,3R,-0.70626879694329
C26392956,99,26,99,14,3L,-0.893084796083488
C26392978,100,31,100,18,X,-0.784271308944563
C26392994,100,27,98,12,2R,-1.16992500144231
C26393004,99,14,99,6.8,X,-1.04182017569463
C26393046,100,26,99,15,3R,-0.793549122532574
C26393064,100,23,98,14,X,-0.716207033999409
C26393268,99,23,99,12,3L,-0.938599455335857
C26393352,99,16,99,9.5,2L,-0.752072486556414
C26393358,99,36,100,18,2L,-1
C26393378,100,34,100,16,2R,-1.08746284125034
C26393384,100,24,98,13,3R,-0.884522782580064
C26393386,100,34,100,21,3L,-0.695145418471579
C26393470,98,8.4,83,7.1,X,-0.242570303274078
C26393508,100,26,99,15,X,-0.793549122532574
C26393510,100,19,93,12,2L,-0.662965012722429
C26393588,98,20,92,12,2R,-0.736965594166206
C26393610,99,20,97,11,3L,-0.862496476250065
C26393700,99,27,100,12,2R,-1.16992500144231
C26393866,99,24,99,14,2R,-0.777607578663552
C26393882,100,31,99,15,3L,-1.04730571477836
C26393900,99,29,100,16,2L,-0.857980995127572
C26393928,99,21,100,12,3R,-0.807354922057604
C26393950,100,30,99,16,2L,-0.906890595608519
C26393962,100,31,100,18,2R,-0.784271308944563
C26393986,100,27,99,12,3R,-1.16992500144231
C26394000,99,38,99,20,3L,-0.925999418556223
C26394002,99,22,99,14,X,-0.652076696579693
C26394048,100,29,99,16,2R,-0.857980995127572
C26394058,100,27,100,13,2L,-1.05444778402238
C26394096,99,23,97,11,X,-1.06413033741972
C26394098,100,24,99,13,2L,-0.884522782580064
C26394168,99,29,96,16,X,-0.857980995127572
C26394178,100,33,99,16,3L,-1.04439411935845
C26394256,99,29,99,16,3L,-0.857980995127572
C26394260,100,28,100,14,X,-1
C26394264,98,21,100,13,2R,-0.691877704637668
C26394338,100,24,99,14,3R,-0.777607578663552
C26394364,100,29,98,16,2L,-0.857980995127572
C26394376,100,20,96,5.6,2L,-1.83650126771712
C26394432,100,20,99,12,3L,-0.736965594166206
C26394446,100,13,96,7.7,3L,-0.755581272333553
C26394452,99,18,99,12,2R,-0.584962500721156
C26394454,99,24,100,15,2L,-0.678071905112638
C26394488,100,35,98,18,2R,-0.959358015502654
C26394548,100,20,99,16,2R,-0.321928094887362
C26394592,99,17,92,12,3L,-0.502500340529183
C26394610,100,26,100,19,3R,-0.452512204697507
C26394648,100,29,100,14,2R,-1.05062607306997
C26394654,100,33,98,18,2L,-0.874469117916141
