ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C12167337,99,28,100,18,X,-0.637429920615292
C12167369,100,26,100,18,3L,-0.53051471669878
C12167445,100,29,99,21,3R,-0.465663572348812
C12167465,98,21,97,22,3L,0.067114195858537
C12167469,99,22,100,20,X,-0.137503523749935
C12167479,97,20,98,17,X,-0.234465253637023
C12167485,96,26,99,20,3R,-0.37851162325373
C12167493,98,17,100,17,3R,0
C12167509,95,33,100,25,3R,-0.400537929583729
C12167553,99,26,98,19,X,-0.452512204697507
C12167561,99,26,97,25,3R,-0.0565835283663674
C12167567,100,29,99,19,2R,-0.610053481683987
C12167573,100,28,95,22,3R,-0.347923303420307
C12167599,95,25,98,8.2,2L,-1.608232280044
C12167603,97,23,100,23,2R,0
C12167611,100,21,100,19,3L,-0.144389909335175
C12167617,100,25,97,22,2L,-0.184424571137427
C12167623,100,28,100,14,X,-1
C12167629,98,25,100,26,3R,0.0565835283663675
C12167653,98,23,100,18,3R,-0.3536369546147
C12167659,98,24,99,30,3L,0.321928094887362
C12167723,100,23,99,18,3R,-0.3536369546147
C12167729,98,26,98,24,3L,-0.115477217419936
C12167739,100,27,99,20,3L,-0.432959407276106
C12167767,98,21,99,19,X,-0.144389909335175
C12167777,99,20,97,22,3R,0.137503523749935
C12167801,98,26,100,25,2L,-0.0565835283663674
C12167839,99,25,99,23,X,-0.120294233717712
C12167855,100,36,99,27,2R,-0.415037499278844
C12167861,100,24,98,33,X,0.459431618637297
C12167871,100,24,99,25,3R,0.0588936890535686
C12167873,99,27,96,21,3L,-0.362570079384708
C12167877,99,29,96,19,3R,-0.610053481683987
C12167881,99,15,100,26,2L,0.793549122532574
C12167883,99,40,97,18,X,-1.15200309344505
C12167889,99,25,98,25,3L,0
C12167899,100,19,98,20,3R,0.0740005814437768
C12167909,95,26,99,20,2R,-0.37851162325373
C12167921,99,19,100,24,2L,0.337034987277571
C12167933,98,27,100,24,2R,-0.169925001442312
C12167951,100,18,99,23,2R,0.3536369546147
C12167971,99,26,100,20,3R,-0.37851162325373
C12167975,100,21,98,19,2L,-0.144389909335175
C12167977,99,24,99,26,3L,0.115477217419936
C12168009,100,22,98,24,3R,0.125530882083859
C12168041,100,22,100,19,3R,-0.211504105193712
C12168059,100,27,97,24,2L,-0.169925001442312
C12168067,100,29,99,23,X,-0.334419039070559
C12168089,99,27,99,21,3L,-0.362570079384708
C12168095,100,24,96,23,2R,-0.0614005446641433
C12168099,100,25,100,25,X,0
C12168115,98,27,99,23,X,-0.231325546106456
C12168137,99,30,100,30,3R,0
C12168163,97,35,99,23,3R,-0.605721060887954
C12168185,99,23,99,22,3R,-0.0641303374197156
C12168209,99,30,98,25,3L,-0.263034405833794
C12168215,97,25,99,22,3L,-0.184424571137427
C12168217,99,23,99,21,3R,-0.131244533278253
C12168241,99,28,99,21,3L,-0.415037499278844
C12168251,99,30,100,24,2R,-0.321928094887362
C12168273,100,31,99,26,2R,-0.253756592245783
C12168279,98,17,100,23,2R,0.436099114806674
C12168311,99,28,99,18,X,-0.637429920615292
C12168329,100,26,96,24,X,-0.115477217419936
C12168341,100,26,99,21,X,-0.308122295362332
C12168353,98,34,99,25,3R,-0.443606651475615
C12168381,99,25,99,28,2R,0.16349873228288
C12168383,100,31,99,21,3L,-0.561878887608115
C12168389,98,22,100,21,2L,-0.0671141958585369
C12168393,96,30,98,24,3R,-0.321928094887362
C12168419,99,27,97,25,X,-0.111031312388744
C12168443,100,24,99,24,2R,0
C12168453,99,21,99,20,X,-0.070389327891398
C12168477,98,33,99,20,3L,-0.722466024471091
C12168493,100,25,95,19,2R,-0.395928676331139
C12168505,98,26,99,31,3L,0.253756592245783
C12168547,98,28,99,24,3L,-0.222392421336448
C12168553,98,21,98,27,3R,0.362570079384708
C12168555,98,26,98,21,2L,-0.308122295362332
C12168567,100,32,100,24,2L,-0.415037499278844
C12168579,97,27,99,27,3L,0
C12168585,98,24,97,20,3L,-0.263034405833794
C12168615,100,38,100,25,2L,-0.604071323668861
C12168683,100,32,98,25,2R,-0.356143810225275
C12168693,99,32,100,21,3L,-0.60768257722124
C12168703,98,16,99,21,X,0.39231742277876
C12168733,96,27,98,23,2R,-0.231325546106456
C12168747,99,27,99,23,2L,-0.231325546106456
C12168755,99,24,100,26,2L,0.115477217419936
C12168767,100,23,97,19,3L,-0.275634442613427
C12168805,100,27,100,26,2R,-0.0544477840223765
C12168823,98,25,99,28,X,0.16349873228288
C12168849,100,30,100,24,3R,-0.321928094887362
C12168869,99,36,98,28,3L,-0.362570079384708
C12168873,99,33,100,25,2R,-0.400537929583729
C12168879,100,31,99,27,2R,-0.199308808223407
C12168889,97,22,99,24,3R,0.125530882083859
C12168903,99,23,100,20,X,-0.201633861169651
C12168917,99,27,100,26,2L,-0.0544477840223765
C12168941,98,28,96,23,2R,-0.283792966000591
C12168951,97,24,99,26,2R,0.115477217419936
C12168963,100,29,98,22,2L,-0.398549376490275
C12168997,99,29,98,21,2R,-0.465663572348812
C12168999,100,26,99,24,3R,-0.115477217419936
C12169061,100,30,100,21,3R,-0.514573172829758
C12169109,99,22,100,36,3R,0.710493382805015
C12169125,99,28,97,25,3R,-0.163498732282879
C12169143,98,26,98,28,2L,0.106915203916512
C12169145,99,31,99,27,2R,-0.199308808223407
C12169207,99,22,99,24,2R,0.125530882083859
C12169209,99,21,100,20,3L,-0.070389327891398
C12169213,99,31,98,29,2R,-0.0962153152593032
C12169219,100,28,99,22,X,-0.347923303420307
C12169315,97,34,100,28,3L,-0.280107919192735
C12169351,100,32,100,24,3R,-0.415037499278844
C12169353,99,17,99,22,3R,0.371968777386958
C12169403,100,23,98,26,2L,0.176877762084079
C12169415,100,35,99,22,3R,-0.669851398307669
C12169461,100,36,99,23,X,-0.6463630453853
C12169537,100,26,98,26,X,0
C12169583,99,33,99,25,2R,-0.400537929583729
C12169591,99,27,98,30,2R,0.15200309344505
C12169639,100,29,98,29,3L,0
C12169719,99,31,99,24,2L,-0.369233809665719
C12169753,100,29,100,28,2L,-0.0506260730699679
C12169805,100,26,100,29,2L,0.15754127698648
C12169827,100,30,99,25,2R,-0.263034405833794
scaffold100024,91,25,90,24,X,-0.0588936890535686
scaffold100150,83,20,81,12,2R,-0.736965594166206
scaffold10024,63,15,71,13,3L,-0.206450877467426
scaffold100277,90,27,91,30,2R,0.15200309344505
scaffold10033,90,18,95,19,2L,0.0780025120012732
scaffold100664,94,17,99,13,2R,-0.387023123109247
scaffold100751,80,25,75,22,3R,-0.184424571137427
scaffold10094,94,25,96,22,3L,-0.184424571137427
scaffold100983,95,16,95,18,2L,0.169925001442312
scaffold101166,99,21,96,19,2L,-0.144389909335175
scaffold101190,73,12,89,13,3L,0.115477217419936
scaffold101238,98,20,98,16,2L,-0.321928094887362
scaffold101264,100,19,100,19,2L,0
scaffold101298,89,22,85,11,4,-1
scaffold101308,76,17,81,13,3L,-0.387023123109247
scaffold101312,98,18,96,21,2R,0.222392421336448
scaffold101313,86,18,86,9.4,4,-0.937264244652037
scaffold101447,97,16,98,16,3L,0
scaffold10152,96,23,93,22,3L,-0.0641303374197156
scaffold101521,96,24,96,18,X,-0.415037499278844
scaffold10157,99,14,84,22,3L,0.652076696579693
scaffold101640,94,23,94,19,X,-0.275634442613427
scaffold101671,95,26,94,23,4,-0.176877762084079
scaffold101741,92,17,94,18,3L,0.082462160191973
scaffold101762,97,17,97,20,3L,0.234465253637023
scaffold10179,65,18,60,21,X,0.222392421336448
scaffold101827,80,23,94,20,2R,-0.201633861169651
scaffold101885,94,19,97,24,2R,0.337034987277571
scaffold101890,91,20,84,13,4,-0.62148837674627
scaffold101931,85,20,87,19,3R,-0.0740005814437769
scaffold102029,79,15,86,18,X,0.263034405833794
scaffold102059,79,22,90,22,3L,0
scaffold102087,100,28,100,28,2L,0
scaffold102088,89,21,95,18,X,-0.222392421336448
scaffold102135,99,30,99,20,X,-0.584962500721156
scaffold1022,96,23,98,25,2L,0.120294233717712
scaffold10220,58,11,78,17,2L,0.628031222613042
scaffold102206,82,18,79,23,X,0.3536369546147
scaffold102226,89,21,79,20,X,-0.070389327891398
scaffold102327,94,20,95,16,3R,-0.321928094887362
scaffold10238,96,16,84,20,3R,0.321928094887362
scaffold102396,79,17,63,14,3R,-0.280107919192735
scaffold102421,83,17,91,20,2R,0.234465253637023
scaffold102454,98,20,100,26,X,0.37851162325373
scaffold102460,84,15,95,18,3R,0.263034405833794
scaffold102469,94,19,92,20,X,0.0740005814437768
scaffold102627,76,21,85,17,2R,-0.304854581528421
scaffold102638,91,20,91,17,2R,-0.234465253637023
scaffold102694,79,26,88,16,4,-0.700439718141092
scaffold102703,89,19,94,19,2R,0
scaffold102922,89,14,86,12,X,-0.222392421336448
scaffold102928,96,17,93,21,2R,0.304854581528421
scaffold102968,94,18,94,23,2L,0.3536369546147
scaffold10302,74,13,96,10,2L,-0.37851162325373
scaffold103072,98,29,98,27,2R,-0.103093492964104
