ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C4524153,93,4.4,98,12,X,1.44745897697122
C4524903,96,5.3,99,17,X,1.6814704815745
C4525523,81,6.3,81,7.7,2R,0.289506617194985
C4525687,99,6.5,99,12,3R,0.884522782580064
C4526413,86,8.7,93,12,2R,0.46394709975979
C4526677,95,4.3,100,11,X,1.35509495882256
C4526703,97,6.4,100,14,3R,1.12928301694497
C4527077,100,4.1,96,7.3,3R,0.832272554261934
C4527729,83,4,92,8.2,X,1.03562390973072
C4527769,61,2.1,89,3.8,3R,0.855610090664825
C4528089,96,3.2,99,8.3,3R,1.37503943134692
C4528503,99,5.7,99,14,3R,1.29639300278022
C4528843,91,2.8,96,7.6,2L,1.44057259138598
C4528917,99,6.6,99,17,2L,1.36499681677925
C4528959,83,2.4,98,5.1,3R,1.08746284125034
C4529229,84,4.9,99,11,2L,1.16664986940945
C4530399,77,6.7,83,11,3R,0.715270523066887
C4530517,96,4.8,99,9.2,2R,0.938599455335857
C4530697,98,12,99,15,3R,0.321928094887362
C4530907,96,4.3,97,6.9,2L,0.682259702076071
C4531751,80,6.3,97,12,2L,0.929610672108602
C4532001,81,4.3,92,9.1,3R,1.0815298854966
C4532569,90,4.2,99,9.3,X,1.14684138832927
C4532833,98,5.2,100,10,3L,0.943416471633632
C4533113,98,7,99,12,X,0.777607578663552
C4533143,93,8.9,99,21,3L,1.23851208669972
C4533617,98,7.1,100,16,3R,1.17218097538268
C4533999,92,5.2,95,9.3,2L,0.838719092966939
C4534075,88,3.9,93,5.6,X,0.521952703195356
C4534905,99,6.9,98,14,2L,1.0207585601668
C4535085,99,4.2,100,11,3R,1.3890422907459
C4535497,95,4.3,100,12,X,1.48062584090642
C4535919,99,7.5,96,6.8,2R,-0.141355849245542
C4536031,91,5.4,96,13,2L,1.26748031086499
C4536059,95,5,100,14,2L,1.48542682717024
C4536249,99,4.6,96,13,2R,1.49880585697144
C4536773,95,3.5,92,7.1,2L,1.02046410255972
C4537105,95,5.2,99,7.3,2R,0.489384840738925
C4537505,87,3.4,98,8,3R,1.23446525363702
C4539771,98,6.2,99,12,3R,0.952694285221643
C4539981,84,3.3,99,5.4,X,0.710493382805015
C4540459,95,7.4,100,17,2L,1.19993757050875
C4540989,90,5,99,13,X,1.37851162325373
C4541143,98,6.3,100,17,3R,1.43211101263779
C4541601,92,3.7,100,11,2L,1.57190634789571
C4541659,97,4.9,98,6.3,2R,0.362570079384708
C4541995,98,5.9,99,11,2R,0.898716664162818
C4544003,98,4.9,98,13,2L,1.40765796891325
C4544045,99,11,100,21,3R,0.932885804141463
C4544175,96,7.4,100,13,3R,0.812914447399505
C4544231,93,3.3,98,10,3R,1.59946207041627
C4544557,95,4.2,100,13,3R,1.63005039024969
C4545407,98,6.8,100,16,2L,1.23446525363702
C4545965,98,6.5,100,15,X,1.20645087746743
