ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C7535430,100,9.4,89,1.7,3L,-2.4671260104273
C7543320,98,7.6,79,1.6,3R,-2.24792751344359
C7547264,91,4.4,84,2,2R,-1.13750352374993
C7558874,89,4,55,2.1,2L,-0.929610672108602
C7568900,99,5.3,94,2.3,X,-1.20435849850619
C7569296,97,8.3,82,2.3,3L,-1.85147747528991
C7571266,99,5.6,92,2.9,3R,-0.949373926930032
C7573280,94,4.3,97,2.3,2R,-0.902702798645085
C7578076,100,5.5,84,2.2,3R,-1.32192809488736
C7580880,98,4.8,87,2,3R,-1.26303440583379
C7581938,96,6.5,97,4.8,3L,-0.437405312307298
C7588396,98,7.7,90,3.5,2L,-1.13750352374993
C7588740,100,13,99,9.2,2L,-0.498805856971442
C7588986,100,9.3,70,1.7,3L,-2.45169596985769
C7596808,99,7.7,93,3.2,X,-1.2667865406949
C7597256,100,6.9,70,1.7,3L,-2.02106161552783
C7597672,98,5.5,96,3.4,3R,-0.69389687227432
C7608314,99,6.4,99,3.1,3R,-1.04580368961312
C7615754,97,5.1,83,2.7,3R,-0.917537839808027
C7617220,97,9.6,98,7.5,2R,-0.356143810225275
C7617866,100,12,84,2.7,3L,-2.15200309344505
C7619226,98,4.9,88,2.3,2L,-1.0911478880582
C7619488,100,5.6,84,2.5,2R,-1.16349873228288
C7621068,99,12,98,6,2R,-1
C7623736,98,8.4,97,3.3,3R,-1.34792330342031
C7629232,100,13,78,1.9,2R,-2.77444029958487
C7629694,100,5.9,34,1.1,3L,-2.42321143072454
C7632820,99,7,98,5.7,3R,-0.296393002780225
C7633576,99,5.7,88,3.9,X,-0.547487795302493
C7633892,98,7.9,89,2.8,3R,-1.4964258261195
C7636668,98,5.5,95,3.4,2R,-0.69389687227432
C7644226,100,8.9,82,2.9,2R,-1.61775243583883
C7647270,97,5.5,73,2.6,X,-1.08091999538357
C7648018,98,5.9,99,6.7,2L,0.183446141095931
C7648356,99,8.9,92,4.4,2R,-1.0163018123291
C7649480,98,5.9,89,2.9,X,-1.02466205423427
C7652426,100,7.4,91,4.1,3R,-0.851901361010866
C7652658,97,6.3,83,2.2,2R,-1.51784830486262
C7653960,99,6.3,72,2.1,X,-1.58496250072116
C7654568,99,13,96,4.8,2R,-1.4374053123073
C7659126,100,6.6,89,3.4,3R,-0.956931278108114
C7659212,100,10,82,3.4,2R,-1.55639334852439
C7660198,99,7.1,94,3.5,3R,-1.02046410255972
C7660200,99,15,72,1.6,3L,-3.22881869049588
C7662446,100,14,99,6.6,2L,-1.08488889758651
C7663838,100,13,99,6.7,2R,-0.956278622570682
C7664134,100,8.2,84,2.2,2R,-1.89812038598079
C7664452,100,8.1,100,11,3L,0.441509710640035
C7665206,99,6.6,98,3.8,3L,-0.796466605914868
C7667750,100,13,100,8.5,3L,-0.612976876890753
