ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C11442435,90,2.8,91,3.6,3R,0.362570079384708
C11442631,77,2.3,94,7.3,2L,1.666262602823
C11442913,98,5.6,98,7.4,3R,0.402098443571346
C11442957,80,2.1,78,2.4,2L,0.192645077942396
C11444171,30,2.4,79,28,2R,3.54432051622381
C11444285,83,1.5,90,5,2L,1.73696559416621
C11444623,97,4.1,93,3.6,3R,-0.187627003175771
C11445357,68,1.9,76,3.4,3L,0.839535327806754
C11446225,82,4.7,94,7.6,2L,0.693338661765948
C11446619,69,2.2,71,2,3L,-0.137503523749935
C11448211,85,3.7,81,3.6,3R,-0.0395283641866375
C11448463,94,3.5,97,3.6,2L,0.0406419844973461
C11448833,94,3.9,96,3.1,2L,-0.331205908475373
C11449199,91,3.1,98,5.2,X,0.746243407754217
C11449241,98,2.4,56,1.2,3L,-1
C11449505,99,8.8,99,9.3,X,0.0797271924707342
C11449635,92,2.9,97,4.2,3L,0.534336427651188
C11450173,98,5,98,6.2,2R,0.31034012061215
C11450323,41,1.3,87,3.5,X,1.42884329880387
C11450753,68,2.6,79,3.4,3R,0.387023123109247
C11451119,75,2.1,79,2.5,3L,0.251538766995964
C11451125,94,3.1,99,4.2,2R,0.438121112391885
C11451197,96,3.8,98,4.5,2L,0.243925582886089
C11452027,98,5.2,94,5.7,3L,0.13245029602365
C11452219,98,6.8,59,3,X,-1.18057224564182
C11452375,77,4.2,96,5.3,3L,0.335603031784439
C11452387,96,3.7,86,2.9,X,-0.351472370501378
C11452429,95,5.5,77,2.1,2R,-1.3890422907459
C11452475,63,2,95,6.6,2R,1.72246602447109
C11453647,98,5,97,4.8,3L,-0.0588936890535686
C11453677,91,3,94,4.1,2R,0.450661409009565
C11454229,98,5.8,97,5.4,X,-0.103093492964103
C11454855,74,2.5,88,3.9,X,0.641546029087524
C11454927,97,3.1,99,5.4,2R,0.800691191776593
C11455225,79,2.1,100,3.7,3L,0.817135942850189
C11456295,92,2.6,90,4.3,3L,0.725825036561006
C11456647,93,5.9,96,6.1,3R,0.0480942882010449
C11456699,82,3.4,93,4.3,3L,0.338801913451758
C11457159,82,6.4,88,6,3R,-0.0931094043914815
C11457601,97,5.3,78,2.6,3L,-1.02748073642211
C11458589,91,2.2,96,2.8,3L,0.347923303420307
C11458917,97,4.4,94,5.1,2R,0.212993723334198
C11459541,92,2.8,84,4.4,2R,0.652076696579693
C11461167,76,2.5,73,2.2,X,-0.184424571137427
C11461337,92,2.5,77,2.1,2R,-0.251538766995964
C11462133,76,2,100,6.6,X,1.72246602447109
C11463350,96,4.1,99,6.3,2L,0.619727918881833
C11464096,79,2.1,94,2.9,3R,0.465663572348812
C11464812,92,3.9,92,4,2L,0.0365258760251142
C11464894,100,8.2,96,6.9,2L,-0.249027547839914
C11465326,96,5.6,99,4.8,3R,-0.222392421336448
C11466060,92,2.6,98,4.6,3R,0.82312223791592
C11466650,59,1.5,99,15,X,3.32192809488736
C11467026,100,11,97,9.8,X,-0.166649869409451
C11467260,97,4.1,96,4.2,2R,0.0347654181606766
C11467772,95,3.4,90,2.6,X,-0.387023123109247
C11467834,98,6,76,2.6,3L,-1.20645087746743
C11468130,93,4.5,100,5.8,2R,0.366127898797897
C11468338,99,6.1,80,2.1,2R,-1.53841991478413
C11469016,97,5.1,96,6,3R,0.234465253637023
C11469224,87,2.4,76,2.2,X,-0.125530882083859
C11469436,98,7.3,100,8.1,2R,0.150025444004607
C11469464,58,1.7,78,2,3R,0.234465253637023
C11470660,91,4,97,4.2,3R,0.070389327891398
C11471956,97,6.7,99,7.7,3R,0.200697350237129
C11472016,96,7,96,2.8,2R,-1.32192809488736
C11472730,97,3.7,93,4.6,X,0.314108590428063
C11472904,92,3.1,91,4.1,3R,0.403355694231208
C11473264,96,2.7,98,4,X,0.567040592723894
C11474008,99,9.8,98,9.6,3L,-0.0297473433940522
