ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C22375812,86,6.4,98,4.2,2R,-0.60768257722124
C22375912,89,3.8,97,4.8,3R,0.337034987277571
C22375932,89,2.9,75,2.5,2L,-0.214124805352847
C22376044,67,3.4,76,2.1,3R,-0.695145418471579
C22376086,97,8.6,97,5.1,3R,-0.753839412730603
C22376096,98,4.3,94,4.8,X,0.158697746019058
C22376100,95,3.9,99,5.4,3R,0.46948528330122
C22376128,86,4.5,97,5.4,2L,0.263034405833794
C22376370,95,3.7,88,5.4,3L,0.545434136534519
C22376402,46,3.9,92,4,2R,0.0365258760251142
C22376624,99,5.2,93,4.4,3L,-0.241008099503795
C22376662,91,6,93,3.6,3R,-0.736965594166206
C22376762,71,4,89,3.7,X,-0.112474729258412
C22376850,87,4.9,71,2.7,2R,-0.85982234195174
C22376984,89,3.3,100,5.8,3R,0.813586875769119
C22377040,83,2.8,88,2.8,2L,0
C22377156,97,5.2,100,5.3,X,0.0274807364221069
C22377334,82,3.6,92,3.6,2R,0
C22377454,99,5.2,90,4.9,2R,-0.085729874025884
C22377542,76,6,94,6.5,X,0.115477217419936
C22377622,90,5.9,82,6.1,2L,0.0480942882010449
C22377680,80,4.8,97,5.7,2L,0.247927513443585
C22377698,67,2.2,92,4.4,3L,1
C22377790,93,6.3,93,5,2R,-0.333423733725192
C22377830,92,5.2,96,6.9,3R,0.408084738637077
C22377944,97,4.7,92,5,2L,0.0892673380970873
C22377952,95,9.1,95,4,2L,-1.18586654531133
C22377972,85,4.4,87,4.3,X,-0.0331668639351995
C22378034,92,6.1,92,4.4,3L,-0.471305718925589
C22378146,98,10,98,12,3R,0.263034405833794
C22378160,78,3.3,95,3.3,2R,0
C22378270,88,3.7,98,3.2,3R,-0.20945336562895
C22378332,81,4.2,98,7.4,3R,0.817135942850189
C22378382,83,4.6,85,4.4,3R,-0.0641303374197154
C22378394,87,6.4,90,4.6,2R,-0.476438043942987
C22378566,86,6.3,95,5.5,3L,-0.195920209975257
C22378568,92,6.1,96,4.4,2R,-0.471305718925589
C22378850,87,3.5,96,5.3,2R,0.598637437618233
C22378914,95,4.8,89,4.8,X,0
C22378944,91,4.6,91,4.9,2L,0.0911478880581954
C22379160,78,4.2,90,3.4,3L,-0.304854581528421
C22379224,80,5.4,100,8.2,2L,0.602664502454615
C22379234,93,4.3,97,3.5,X,-0.296981737757131
C22379246,87,4.1,98,5.7,X,0.475338009546658
C22379318,89,6.4,84,3.1,2L,-1.04580368961312
C22379330,79,6.4,60,1.5,2L,-2.09310940439148
C22379336,90,4.7,98,7,2L,0.574694165267329
C22379518,75,4.1,95,5.6,3L,0.44980291743952
C22379550,81,4.4,97,5.2,2L,0.241008099503795
C22379552,52,5.1,80,5,3L,-0.0285691521967708
C22379664,96,7.9,92,5.7,3R,-0.470890734012361
C22379754,95,6.9,96,4.9,2R,-0.493814612662961
C22379830,62,2.2,78,2.3,X,0.0641303374197153
C22379978,91,3.7,89,3,3L,-0.302562770020431
