ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C12817355,96,13,99,18,3L,0.46948528330122
C12817697,100,12,98,11,3L,-0.125530882083859
C12817867,98,14,98,13,3L,-0.106915203916512
C12818631,100,16,99,14,3R,-0.192645077942396
C12818971,95,8.6,99,12,2L,0.480625840906421
C12819691,99,17,98,18,2L,0.082462160191973
C12819823,100,18,99,18,X,0
C12819977,99,15,99,16,X,0.0931094043914815
C12819991,95,5.3,100,14,3R,1.40136256238177
C12820153,99,12,95,16,3R,0.415037499278844
C12820237,98,13,99,17,2L,0.387023123109247
C12820431,100,21,100,21,2L,0
C12820827,98,7.4,99,11,2L,0.57190634789571
C12821195,100,18,99,18,3L,0
C12822079,97,17,99,16,2L,-0.0874628412503394
C12822243,99,17,98,16,X,-0.0874628412503394
C12822247,100,12,98,16,2R,0.415037499278844
C12823371,99,16,99,15,3R,-0.0931094043914815
C12823511,100,31,98,13,2L,-1.25375659224578
C12823587,100,15,100,33,2R,1.13750352374994
C12823741,99,14,99,13,3R,-0.106915203916512
C12823907,99,19,97,20,3L,0.0740005814437768
C12824099,100,19,100,17,2L,-0.160464672193246
C12824237,99,15,98,18,3R,0.263034405833794
C12824561,94,14,93,9.5,3R,-0.559427408614019
C12825059,97,10,93,13,2R,0.37851162325373
C12825351,95,16,100,12,3R,-0.415037499278844
C12825467,99,18,100,17,3L,-0.082462160191973
C12826283,100,16,100,17,3R,0.0874628412503394
C12826345,99,13,93,10,X,-0.37851162325373
C12826733,100,24,100,17,X,-0.497499659470817
C12827435,99,17,100,22,X,0.371968777386958
C12827721,99,17,99,22,3R,0.371968777386958
C12827817,99,14,98,13,2R,-0.106915203916512
C12828959,100,14,99,17,3R,0.280107919192735
C12829905,100,24,99,25,3R,0.0588936890535686
C12830765,99,17,100,18,3L,0.082462160191973
C12830847,98,14,99,16,2R,0.192645077942396
C12831655,98,8.9,98,13,3L,0.546634382062057
C12831741,99,21,99,16,2R,-0.39231742277876
C12831899,100,17,96,14,2L,-0.280107919192735
C12832731,100,18,99,14,3R,-0.362570079384708
C12833171,98,16,100,20,2R,0.321928094887362
C12833239,100,13,99,11,2R,-0.241008099503795
C12833883,99,22,100,21,2R,-0.0671141958585369
C12834271,99,15,99,19,3L,0.341036917835067
C12834355,100,8.4,89,9.4,2L,0.162271428898877
C12835199,98,12,98,14,2R,0.222392421336448
C12835467,99,17,100,17,3R,0
C12835475,98,17,98,15,3R,-0.180572245641821
C12835837,100,17,99,18,2L,0.082462160191973
C12836301,99,16,99,15,X,-0.0931094043914815
C12836711,99,15,98,16,3L,0.0931094043914815
C12837693,99,14,99,15,2L,0.0995356735509144
C12838421,99,18,99,16,3R,-0.169925001442312
C12838471,99,20,100,19,3L,-0.0740005814437769
C12838889,100,21,100,25,2R,0.251538766995964
C12839025,98,15,100,32,2R,1.09310940439148
C12839289,99,18,100,17,2R,-0.082462160191973
C12839561,98,16,100,18,X,0.169925001442312
C12839599,98,13,99,20,3R,0.62148837674627
C12840003,98,9.3,96,7,2R,-0.409875794163065
C12840155,99,17,98,17,3L,0
C12840659,99,7.6,99,10,3R,0.395928676331139
C12841173,97,11,99,11,2L,0
C12841253,98,14,97,14,3L,0
C12841543,95,12,95,12,X,0
C12841631,99,16,99,23,3R,0.523561956057013
C12841855,99,15,100,16,X,0.0931094043914815
C12842143,99,13,100,17,3L,0.387023123109247
C12842497,99,11,94,10,2R,-0.137503523749935
C12842781,97,21,99,23,3R,0.131244533278253
C12843145,99,11,90,9.7,3R,-0.181446871337532
C12843213,99,14,98,15,3L,0.0995356735509144
C12843359,97,9.8,99,10,2R,0.0291463456595165
C12843415,100,22,99,26,2L,0.241008099503795
C12843503,100,14,100,20,3L,0.514573172829758
C12843597,99,17,100,18,2L,0.082462160191973
C12844057,99,15,100,14,3R,-0.0995356735509144
C12844203,100,21,99,17,3R,-0.304854581528421
C12844253,98,13,97,14,2R,0.106915203916512
C12844519,85,12,88,16,2R,0.415037499278844
C12845337,100,21,100,23,X,0.131244533278253
C12845433,99,14,99,20,3R,0.514573172829758
C12845941,99,19,100,22,2R,0.211504105193712
C12846683,99,18,100,17,3L,-0.082462160191973
C12846965,100,23,99,19,2L,-0.275634442613427
C12847319,97,12,96,12,3R,0
C12847325,100,20,99,17,3L,-0.234465253637023
C12847661,98,13,99,17,3L,0.387023123109247
C12848103,99,18,100,15,3R,-0.263034405833794
C12848195,100,22,100,22,2L,0
C12848725,100,23,100,21,2R,-0.131244533278253
C12848771,100,17,100,14,3R,-0.280107919192735
C12849061,99,12,99,13,2L,0.115477217419936
C12849101,98,17,100,21,2R,0.304854581528421
C12849371,97,9.2,96,8.9,3L,-0.047828525090615
C12849683,99,20,99,19,3L,-0.0740005814437769
C12850009,99,14,100,10,2R,-0.485426827170242
C12850239,100,17,100,16,3R,-0.0874628412503394
C12850255,99,21,100,19,2L,-0.144389909335175
C12850559,99,15,100,17,2R,0.180572245641821
C12850611,100,18,97,16,X,-0.169925001442312
C12850735,98,14,96,14,2R,0
C12850761,100,15,99,18,2L,0.263034405833794
C12850983,99,16,100,19,3R,0.247927513443585
C12851847,100,13,98,13,2R,0
C12852847,99,8.5,88,4.3,2R,-0.983126181435604
C12852911,99,14,99,16,X,0.192645077942396
C12853407,100,17,98,18,2R,0.082462160191973
C12853825,96,3,96,6.6,3L,1.13750352374993
C12853885,100,16,100,20,X,0.321928094887362
C12855325,98,15,99,15,X,0
C12856363,99,13,97,15,2L,0.206450877467426
C12856757,99,13,95,12,3L,-0.115477217419936
C12857047,99,13,97,14,2R,0.106915203916512
C12857807,99,14,100,14,3R,0
C12857899,100,19,100,20,2L,0.0740005814437768
C12857935,100,17,99,19,2R,0.160464672193246
C12857991,100,15,99,17,3L,0.180572245641821
C12858231,98,14,97,14,3R,0
C12858539,100,13,98,17,2L,0.387023123109247
C12858587,99,22,100,22,3R,0
C12859207,97,18,100,16,3L,-0.169925001442312
C12859213,99,17,100,17,3R,0
C12859953,99,16,99,17,2R,0.0874628412503394
C12860207,100,14,100,14,X,0
C12860313,99,16,97,13,3R,-0.299560281858908
C12860737,99,14,96,11,2L,-0.347923303420307
C12861315,100,15,96,16,3L,0.0931094043914815
C12861699,99,12,98,12,X,0
C12862863,100,12,97,12,3L,0
C12862993,98,18,99,21,2R,0.222392421336448
C12863007,100,20,99,22,X,0.137503523749935
C12863505,99,12,99,14,3L,0.222392421336448
C12865479,100,22,100,23,3R,0.0641303374197156
C12865505,100,23,100,23,3L,0
C12865811,100,23,99,23,3R,0
C12866463,99,23,100,18,3L,-0.3536369546147
C12867031,100,17,99,20,3R,0.234465253637023
C12867127,99,18,99,16,3R,-0.169925001442312
C12867163,100,11,100,14,2R,0.347923303420307
C12868143,68,15,80,12,2L,-0.321928094887362
C12870631,100,15,99,15,X,0
C12870703,99,19,100,18,2L,-0.0780025120012732
C12870953,99,21,100,20,3R,-0.070389327891398
C12870995,100,18,100,19,X,0.0780025120012732
C12871043,100,20,100,20,2L,0
C12872867,99,17,99,16,2R,-0.0874628412503394
C12874281,99,17,100,22,X,0.371968777386958
C12874355,97,16,100,16,2R,0
C12874593,99,21,100,23,X,0.131244533278253
C12874873,100,18,98,19,3R,0.0780025120012732
C12875321,100,17,99,15,3R,-0.180572245641821
C12875761,99,18,100,13,2L,-0.46948528330122
C12876065,100,15,98,17,3R,0.180572245641821
C12876073,99,15,99,17,3R,0.180572245641821
C12876699,99,19,99,21,3R,0.144389909335175
C12877157,99,6.2,100,16,2L,1.36773178450049
C12878137,99,15,100,17,3R,0.180572245641821
C12878359,98,16,99,15,2L,-0.0931094043914815
C12878401,98,12,90,14,3L,0.222392421336448
C12878753,99,21,100,20,2L,-0.070389327891398
C12879379,100,24,100,23,2R,-0.0614005446641433
C12879607,100,17,99,15,3R,-0.180572245641821
C12880115,100,17,99,14,3R,-0.280107919192735
C12880353,100,34,100,33,2L,-0.043068721891886
C12881269,100,20,100,23,2L,0.20163386116965
C12881411,100,16,100,18,3R,0.169925001442312
C12882535,99,17,98,17,X,0
C12882659,92,13,86,14,2R,0.106915203916512
C12882961,99,21,99,23,3L,0.131244533278253
C12883659,100,12,100,14,2L,0.222392421336448
C12884361,99,18,100,21,3L,0.222392421336448
C12884387,98,16,99,15,3R,-0.0931094043914815
C12884943,100,22,100,21,3R,-0.0671141958585369
C12885629,100,15,100,16,3L,0.0931094043914815
C12885713,100,24,100,20,X,-0.263034405833794
C12885947,100,18,99,19,3R,0.0780025120012732
C12886275,99,16,99,11,3L,-0.540568381362703
C12886671,99,19,99,16,3R,-0.247927513443586
C12886965,100,17,99,21,3L,0.304854581528421
C12887301,99,20,100,20,2R,0
C12887405,97,12,98,12,2R,0
C12887933,95,14,95,16,2L,0.192645077942396
C12887955,100,20,100,19,3R,-0.0740005814437769
C12888621,99,16,98,20,3R,0.321928094887362
C12888649,93,8.7,97,6.8,4,-0.355480654598389
C12888891,99,5.3,95,5.9,3R,0.154722594798642
C12889771,100,16,99,13,2L,-0.299560281858908
C12890591,99,15,100,13,2L,-0.206450877467426
C12890897,99,16,99,17,3R,0.0874628412503394
C12891011,100,19,100,23,3L,0.275634442613427
C12892143,100,15,99,17,3L,0.180572245641821
C12892487,100,16,99,18,2L,0.169925001442312
C12893215,98,12,100,14,2L,0.222392421336448
C12893837,100,19,100,26,2R,0.452512204697507
C12893861,99,16,99,19,3R,0.247927513443585
C12894263,100,19,100,34,2L,0.839535327806754
C12894289,99,13,100,12,3L,-0.115477217419936
C12895219,100,16,99,19,X,0.247927513443585
C12895975,100,12,99,14,2L,0.222392421336448
C12896619,100,17,100,17,3R,0
C12897861,98,17,99,19,X,0.160464672193246
C12898549,99,16,100,16,X,0
C12899319,100,21,100,21,3R,0
C12900935,100,15,99,14,3R,-0.0995356735509144
C12901535,100,22,100,23,2L,0.0641303374197156
C12901737,99,11,100,14,3R,0.347923303420307
C12902235,100,22,100,24,2R,0.125530882083859
C12902773,100,18,99,16,2R,-0.169925001442312
C12907283,100,18,99,15,3L,-0.263034405833794
C12907867,100,19,99,21,X,0.144389909335175
C12909885,99,19,99,18,3R,-0.0780025120012732
C12911603,100,16,100,16,2L,0
C12911611,97,7.8,98,13,2R,0.736965594166206
C12911727,99,19,98,21,3R,0.144389909335175
C12912033,98,13,98,13,3R,0
C12912647,100,23,99,23,2R,0
C12914899,100,22,100,24,3R,0.125530882083859
C12915875,100,18,99,16,2L,-0.169925001442312
C12916035,99,19,98,19,2L,0
C12916459,100,23,100,23,X,0
C12916813,100,22,100,22,3R,0
C12917879,100,21,100,22,3R,0.067114195858537
C12918089,100,14,97,13,X,-0.106915203916512
C12921825,99,6.3,99,13,4,1.04508788952854
C12922173,99,16,99,15,2R,-0.0931094043914815
C12922331,99,18,100,18,X,0
