ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C30656662,85,7.6,100,8.1,2L,0.0919224894410394
C30656704,100,12,97,12,X,0
C30656724,99,11,100,8.3,X,-0.406320282177735
C30656742,99,9.7,100,15,3R,0.628905848308753
C30656802,76,2.7,93,3.4,3L,0.332575339086871
C30656836,90,10,100,8.4,2R,-0.251538766995964
C30656866,88,4.7,88,4.2,3R,-0.162271428898877
C30656984,99,16,97,9.4,2L,-0.767339243209725
C30656986,88,7.2,78,7.7,3L,0.096861539252589
C30657176,86,7.9,84,4.3,2R,-0.877515993475005
C30657196,98,9.5,98,11,2L,0.211504105193712
C30657210,100,9.4,99,5.6,2L,-0.747233929620033
C30657232,96,13,97,8.5,2R,-0.612976876890753
C30657236,99,7.6,99,4.1,X,-0.890375508825502
C30657306,83,5.3,88,5.7,2R,0.104969559601542
C30657340,85,4.9,81,3.6,3R,-0.444784842672896
C30657416,95,7.3,93,6.5,3L,-0.167456745851563
C30657454,78,4.4,79,7.4,3R,0.750021746991652
C30657462,89,5.6,96,5.8,2L,0.0506260730699681
C30657480,100,10,96,6.6,3R,-0.599462070416271
C30657510,93,13,94,8.3,X,-0.64732838168153
C30657520,82,9,82,7,2R,-0.362570079384708
C30657586,90,6.8,90,3.6,2L,-0.917537839808027
C30657594,99,7.2,97,4.8,X,-0.584962500721156
C30657712,79,11,98,8.4,3R,-0.389042290745899
C30657740,99,13,99,5.9,X,-1.13972476366661
C30657774,99,18,97,14,2R,-0.362570079384708
C30657820,100,8,81,4.5,X,-0.830074998557688
C30657850,100,14,99,13,2R,-0.106915203916512
C30657860,97,9.5,95,10,2L,0.0740005814437768
C30657934,94,4.1,82,5.2,3R,0.342887713523009
C30658010,79,7.2,75,4.3,2L,-0.743660246740214
C30658050,97,6.5,86,6.8,3L,0.065095028221885
C30658076,94,9.5,97,5.6,3L,-0.762500686273344
C30658106,87,5.6,82,6.4,2R,0.192645077942396
C30658122,67,4.7,88,4.9,X,0.0601209924375709
C30658124,98,7.5,95,6.3,3L,-0.251538766995964
C30658164,99,18,98,11,3R,-0.710493382805015
C30658174,99,8.5,95,6.3,3L,-0.432111012637785
C30658228,88,6.6,93,4.9,3R,-0.429684275243245
C30658240,94,7.8,97,4.7,3L,-0.730813367184611
C30658246,82,9.8,82,8.4,2R,-0.222392421336448
C30658290,99,8.1,81,5.3,X,-0.611929548321426
C30658292,88,7.5,93,6.8,2R,-0.141355849245542
C30658308,91,8.5,88,6.7,3L,-0.343301745679929
C30658364,90,10,98,7.4,3R,-0.434402824145775
C30658386,74,2.3,82,6.3,3L,1.4537179674429
C30658388,98,11,97,6.2,3L,-0.827163403137784
C30658404,99,6.4,91,3.3,2L,-0.955605880641547
C30658450,82,8.8,100,12,2R,0.447458976971221
C30658484,81,8,80,4.9,3L,-0.707218250772154
C30658556,100,13,99,11,2L,-0.241008099503795
C30658580,90,6.9,94,5.6,3R,-0.301169534720565
C30658614,98,13,99,9.3,3R,-0.483209001920423
C30658648,87,5.9,100,4.3,3R,-0.456378294659743
C30658700,90,11,83,5.5,2R,-1
C30658796,78,6.4,91,4.7,3R,-0.445411148322363
C30658890,87,8.1,84,6.4,3R,-0.339850002884625
C30659052,81,5.2,83,6,2R,0.206450877467426
C30659089,93,11,87,7,2L,-0.652076696579693
C30659133,84,9.9,81,9,2L,-0.137503523749935
C30659179,99,9.5,98,6.7,3L,-0.503766417873175
C30659279,92,8.1,92,6.5,3L,-0.31748218985617
C30659367,84,8.3,92,7.7,3R,-0.108252890652023
C30659445,82,11,98,7.8,2L,-0.495957494662411
C30659453,99,8.4,94,4.6,2L,-0.868755466721748
C30659467,83,8.2,81,6.5,2R,-0.335184191589629
C30659519,83,14,93,8,3R,-0.807354922057604
