ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C35676813,80,4.1,79,4,2L,-0.0356239097307212
C35676867,80,4.4,61,4.4,2R,0
C35676993,98,7.2,96,6.6,X,-0.125530882083859
C35677047,83,7.2,73,5.6,3L,-0.362570079384708
C35677151,80,4.5,68,5.7,2L,0.341036917835067
C35677243,79,4,76,4.1,2R,0.0356239097307212
C35677437,71,3.1,71,2.9,3L,-0.0962153152593032
C35677791,87,3.2,97,3.8,2L,0.247927513443585
C35677887,68,3.7,62,3.7,2L,0
C35677921,95,3.8,91,3.8,X,0
C35678043,80,4.6,72,4.2,3L,-0.131244533278253
C35678093,92,4.1,99,4.7,X,0.197036847059554
C35678225,99,5.3,98,6.4,3R,0.272079545436801
C35678421,97,4.5,97,3.8,2L,-0.243925582886089
C35678437,72,3.4,78,2.4,2L,-0.502500340529183
C35678487,88,3.3,96,4,X,0.277533975528909
C35678539,98,5.3,96,5.8,2L,0.130060540564373
C35678601,83,5.2,89,3.2,X,-0.700439718141092
C35678753,61,2.1,68,3.8,3L,0.855610090664825
C35679287,72,3.2,69,2.5,2R,-0.356143810225275
C35679321,99,4,94,3.6,2R,-0.15200309344505
C35679437,99,8.3,98,8,2R,-0.0531113364595626
C35679471,81,3.3,86,3.6,2R,0.125530882083859
C35679537,97,6.8,98,5.2,3R,-0.387023123109247
C35679583,71,2.4,71,2.9,2L,0.273018494406416
C35679635,75,4.4,72,5.4,3R,0.295455883526171
C35679749,95,5.9,95,4.8,2L,-0.297680548640685
C35680369,83,3.2,85,3,2R,-0.0931094043914815
C35680487,69,6.3,71,3.7,2L,-0.767826557870967
C35680507,98,9.9,99,11,2L,0.15200309344505
C35680539,99,6.5,78,3.8,X,-0.774440299584869
C35680563,79,4.8,69,3,2L,-0.678071905112638
C35680579,96,4.5,86,3.3,3R,-0.447458976971221
C35680607,92,6.1,87,4.7,3R,-0.376148485885249
C35680631,80,3.4,62,2.5,2R,-0.443606651475615
C35680819,97,8.2,98,8.5,2L,0.0518389315196181
C35681003,97,10,100,8.3,3L,-0.2688167584278
C35681061,95,4.2,70,3.4,3L,-0.304854581528421
C35681083,86,3.8,66,2.8,2L,-0.440572591385981
C35681307,51,1.9,69,3.6,3L,0.921997487998727
C35681309,95,4.4,97,4.4,2L,0
C35681403,94,7.7,91,7.3,3L,-0.0769619818148842
C35681561,96,3.3,87,3.4,2R,0.0430687218918859
C35681741,81,3.9,74,3.3,2R,-0.241008099503795
C35681827,88,3.8,90,6.3,X,0.729352410056331
C35681889,93,3.6,99,4.1,2R,0.187627003175771
C35681957,70,3.7,69,3.4,2L,-0.12199052437861
C35682017,89,3.1,97,4,3L,0.367731784500487
C35682147,83,4.9,69,3.2,3R,-0.614709844115208
C35682237,85,7.7,83,4.5,2L,-0.774933444365227
C35682321,93,4.5,84,2.6,3R,-0.791413378188582
C35682569,80,3.3,74,3.6,2L,0.125530882083859
C35682601,93,4.1,87,4.3,2L,0.0687127500840143
C35682645,88,4.3,85,4.5,2R,0.0655883416275769
C35682735,86,4.3,85,5.2,2L,0.274174963438994
C35682865,98,4.7,94,6.7,2R,0.511500338780135
C35682875,75,2.6,73,4.3,3R,0.725825036561006
C35682979,100,6.9,96,4.8,3L,-0.523561956057013
C35683157,91,6.5,93,10,2R,0.62148837674627
C35683573,97,6.2,97,5.1,X,-0.28177096841538
C35683581,98,4.6,96,5.4,3R,0.231325546106456
C35683647,78,4,75,3.3,3R,-0.277533975528909
C35683761,82,3.6,77,3.3,3R,-0.125530882083859
C35683889,99,7.1,99,6.9,3L,-0.0412226627265128
C35684087,98,6.8,100,6.8,X,0
C35684201,98,3.7,91,3.6,2R,-0.0395283641866375
C35684469,85,5.3,86,4.2,3R,-0.335603031784439
C35684489,81,5.5,79,6.8,3R,0.30610312772568
C35684607,83,4.4,77,2.2,3R,-1
C35684721,73,2.2,71,3.7,3R,0.750021746991652
C35684825,93,6.1,100,6,3R,-0.0238467419543676
C35684911,86,5.9,85,4.7,X,-0.328054197684204
C35685039,98,5.3,100,5,2L,-0.0840642647884745
C35685051,98,4,70,2.3,3L,-0.79836613883035
C35685145,85,5.9,87,3.6,3L,-0.712718047919529
C35685293,97,4.2,87,4.5,3R,0.0995356735509144
C35685433,87,3.4,59,3,2L,-0.180572245641821
C35685435,86,10,82,12,3L,0.263034405833794
C35685449,69,1.8,83,2.6,3R,0.53051471669878
C35685505,84,5.7,79,6.2,2L,0.121306296222134
C35685757,79,4.5,73,3.4,X,-0.404390255079335
C35685851,98,4.5,99,4.3,3R,-0.0655883416275769
C35685867,96,5.4,92,5.8,2L,0.103093492964103
C35686011,88,2.6,86,3.9,X,0.584962500721156
C35686079,86,3.4,87,3.6,2L,0.082462160191973
C35686103,88,2.6,78,2,2R,-0.37851162325373
C35686133,75,4.8,76,5,2R,0.0588936890535686
C35686139,75,7,88,4.1,2R,-0.771731012326883
C35686155,83,3.4,77,5.3,2L,0.64045761331286
C35686157,86,5,98,5.1,3R,0.0285691521967709
C35686239,98,6.6,87,4.4,3R,-0.584962500721156
C35686291,82,3.6,74,2.7,2L,-0.415037499278844
C35686441,89,3.3,87,3.6,3R,0.125530882083859
C35686503,98,4.3,98,7.9,2L,0.877515993475005
C35686547,75,4.9,79,3.3,3R,-0.570315724756755
C35686629,98,6.2,100,8.1,3L,0.385653692497749
C35686767,93,4.3,96,3,X,-0.519374159093579
C35686915,92,6.2,87,7.3,3L,0.235628248493142
C35687007,88,3,56,2.8,2R,-0.0995356735509146
C35687379,99,3.9,99,6.3,3R,0.691877704637668
C35687409,87,3.8,87,3.1,2L,-0.29373120305671
C35687417,96,8.2,99,7.6,3R,-0.109624491174498
C35687445,94,5.5,96,4.2,X,-0.389042290745899
C35687749,97,8.3,97,6.2,2L,-0.42084312096005
C35687805,87,3.8,81,4.1,2L,0.109624491174498
C35687807,99,6.9,97,6.5,3L,-0.0861566437497146
C35688117,99,8.4,97,8.4,X,0
C35688205,92,5.8,98,6.5,2L,0.164386817900883
C35688295,92,6.5,86,4.7,2L,-0.467778961350817
C35688301,90,5.9,80,6.2,2R,0.0715532610250338
C35688457,93,5.9,89,5.6,X,-0.0752881273042373
C35688859,90,4.1,89,4.9,2R,0.257157839497125
C35688997,81,4.5,84,3.8,X,-0.243925582886089
C35689033,99,5.6,97,4.3,3R,-0.381090167355506
C35689219,94,3.5,83,3.8,3L,0.118644496498619
C35689279,97,3.2,76,3,3L,-0.0931094043914815
C35689473,99,7.3,98,7,3L,-0.0605415419350507
C35689483,98,10,99,11,3R,0.137503523749935
C35689493,85,3.7,85,4.3,2L,0.216811389073148
C35689501,89,4.3,91,5,3R,0.217591435072627
C35689535,89,3.8,83,3.7,2R,-0.0384741478146355
C35689577,80,4.3,98,3.9,3R,-0.14086253583985
C35689863,100,8.1,96,6.8,3L,-0.252387161634285
C35689891,92,3,86,2.6,2R,-0.206450877467426
C35689933,89,3.3,92,3.7,2L,0.165059246270496
C35689937,91,4.5,91,3.7,3R,-0.282399730700725
C35690041,92,4,84,4.2,X,0.070389327891398
C35690161,98,6.7,96,6.9,3L,0.0424352663203967
C35690193,89,4.6,72,3.1,3R,-0.569365645670137
C35690309,90,4.5,76,3.5,2L,-0.362570079384708
C35690527,97,7,98,5.9,X,-0.246639967583125
C35690969,91,6.6,88,5,X,-0.400537929583729
C35691075,99,6.8,99,6.2,2R,-0.133266530863464
C35691083,97,4.5,94,5.8,2R,0.366127898797897
C35691263,99,6.7,100,4.6,X,-0.54252723440076
C35691397,95,4.4,95,6.9,2L,0.649092838140872
C35691449,99,8.3,98,6.7,3L,-0.308950240889152
C35691473,94,3.1,85,3.2,2R,0.0458036896131248
C35691527,98,10,98,8.3,3R,-0.2688167584278
C35691615,97,5.3,92,5,3R,-0.0840642647884745
C35691709,98,4.5,90,4.4,3R,-0.0324214776923773
C35691833,87,3.6,79,2.9,2L,-0.31194400631474
C35691841,85,3.3,81,4.2,X,0.347923303420307
C35691955,97,7.3,98,6,3L,-0.282933963271499
C35691967,98,6.7,90,3.4,3L,-0.978626349207433
C35691983,95,3.8,93,5,X,0.395928676331139
C35692037,94,3.5,92,3.6,3R,0.0406419844973461
C35692073,97,4.6,95,4.6,3L,0
C35692203,99,6.9,94,7,2L,0.0207585601667972
C35692257,98,7.8,100,6.1,2L,-0.354664881299362
C35692315,92,4.5,92,5.4,2R,0.263034405833794
C35692321,96,5.9,98,7.7,3R,0.38414349133306
C35692367,98,6.6,97,6.3,2R,-0.0671141958585369
C35692595,98,6.1,92,2.8,2R,-1.12338241550528
C35692607,94,5.4,93,4.5,3R,-0.263034405833794
C35692763,98,6.8,99,6.1,2L,-0.156725503687453
C35692919,99,5,92,4.8,X,-0.0588936890535686
C35693025,96,5.5,95,5.2,3L,-0.0809199953835675
C35693199,92,5,93,4,X,-0.321928094887362
C35693255,89,2.6,89,2.7,3L,0.0544477840223765
C35693353,93,7.1,99,6.5,2R,-0.127379306476228
C35693393,98,6.9,99,6.6,2R,-0.0641303374197157
C35693395,98,4.5,94,3.8,3R,-0.243925582886089
C35693569,100,6.8,99,7.5,2L,0.141355849245542
C35693587,93,4.6,98,4.4,2L,-0.0641303374197154
C35693743,100,6,96,6.2,2R,0.0473057147783568
C35693939,92,5.9,95,4.2,3R,-0.490325626583081
C35694021,96,6.9,97,7.2,3R,0.0614005446641433
C35694063,97,6.4,98,5.8,2R,-0.142019004872428
C35694157,97,5.8,96,4.4,X,-0.398549376490275
C35694311,99,4.9,100,6.3,3L,0.362570079384708
C35694315,85,1.8,85,2.2,2L,0.289506617194985
C35694365,96,6.8,100,6.9,3L,0.0210616155278299
C35694507,99,4.4,88,5,3R,0.184424571137427
C35694639,96,4.5,88,3.9,2L,-0.206450877467426
C35694697,99,6.7,100,9.5,2L,0.503766417873175
C35694739,98,4.3,97,3.1,2L,-0.472068444315223
C35694871,97,3.9,98,3.9,2L,0
C35694969,93,2.9,91,2.5,2L,-0.214124805352847
C35695109,99,8.5,100,8.5,2R,0
C35695115,100,7.9,98,8.6,3R,0.122484006524995
C35695149,99,3.6,87,4.9,3L,0.444784842672896
C35695171,95,4.9,98,4.7,3R,-0.0601209924375709
C35695201,94,4.1,84,4,X,-0.0356239097307212
C35695377,100,5,94,5,X,0
C35695409,100,7,98,7.2,2L,0.0406419844973461
C35695765,95,4.8,93,3.7,3R,-0.375509135092206
C35695797,92,2.9,91,2.8,3L,-0.0506260730699681
C35696681,98,5.7,98,6.7,3L,0.233199176293031
C35696725,93,4.6,93,4.2,3R,-0.131244533278253
C35696811,97,4.3,98,3.9,2R,-0.14086253583985
C35696839,100,4.9,95,4.5,X,-0.122856747785534
C35696931,94,4.3,78,2.7,X,-0.671377252538629
C35696967,96,4.9,95,5.2,3L,0.085729874025884
C35697141,98,4.9,89,4.2,X,-0.222392421336448
C35697229,98,5,90,6.5,X,0.37851162325373
C35697567,82,6.1,92,3.1,3R,-0.976541027176011
C35697669,99,4.8,98,3.5,2L,-0.45567948377619
C35697673,100,7.9,99,6.2,3L,-0.349584437790228
C35698055,94,5.2,96,6.3,X,0.276840205358824
C35698159,98,6.1,100,4.5,2R,-0.438884241233211
C35698167,96,4.4,94,6.2,2L,0.494764691749578
C35698225,90,3.7,99,3.9,3L,0.0759488532332984
C35698235,97,6.3,86,3.8,3L,-0.729352410056331
C35698343,98,8.6,99,8.6,2L,0
C35698381,92,7.3,99,8.4,3R,0.202492863898743
C35698469,98,10,99,9.1,X,-0.136061549576029
C35698661,100,11,100,9.4,2L,-0.226770861847022
C35698927,99,5.8,92,6.2,2L,0.0962153152593033
C35699007,97,6.6,87,3.9,2L,-0.758991900496205
C35699159,97,3.9,91,3.8,2R,-0.0374747054186629
C35699185,78,4.8,94,3.9,3R,-0.299560281858908
C35699277,97,6.6,98,5.4,3R,-0.289506617194985
C35699347,96,5,86,4,X,-0.321928094887362
C35699551,100,5.7,99,5.2,3L,-0.13245029602365
C35699717,81,3.3,76,2.4,3L,-0.459431618637297
C35699839,99,4.9,99,4.8,4,-0.0297473433940522
C35699875,97,5.4,98,4.5,2L,-0.263034405833794
C35699957,92,4.8,98,4.8,X,0
C35699961,95,4.9,99,5.1,2R,0.0577154978562871
C35699973,96,4.5,96,6.2,2L,0.4623432140572
C35700083,95,6.2,98,5.4,X,-0.199308808223407
C35700111,98,6.6,97,6.1,2R,-0.113656781795567
C35700261,100,8,99,8.1,2R,0.0179219079972623
C35700285,98,3.5,99,5.3,3R,0.598637437618233
C35700321,94,3.9,97,4.3,2R,0.14086253583985
C35700327,98,4.5,96,4.1,2L,-0.134301091711591
C35700401,98,5,97,5.1,2R,0.0285691521967709
C35700445,97,5.9,100,4.6,X,-0.359081093304829
C35700677,97,6.1,96,5.6,2R,-0.123382415505282
C35700687,100,3.8,75,2.7,3R,-0.493040011280117
C35700749,100,7.3,96,6.1,2L,-0.259087221317131
C35700843,99,4.9,91,4.9,2L,0
C35700873,100,4.8,97,4.2,3L,-0.192645077942396
C35700959,100,6.7,99,4.9,X,-0.451379346342564
C35700971,99,4.9,94,5,2L,0.0291463456595165
C35701341,98,6.6,100,8.3,X,0.330645311988472
C35701487,97,7.2,98,8.4,3R,0.222392421336448
C35701585,95,4.4,94,4.7,2L,0.09515723304034
C35701613,99,9.7,99,6.2,3R,-0.645716531800252
C35701737,98,5.1,99,5.1,3R,0
C35701877,99,7.2,98,5.6,2R,-0.362570079384708
C35701893,99,7.4,99,8.1,3L,0.130396637255675
C35701921,99,5.1,92,3.6,2L,-0.502500340529183
C35701951,100,7,95,5.6,3L,-0.321928094887362
C35702153,97,4.1,90,3.5,2R,-0.228268987673117
C35702159,98,7.9,99,9.1,X,0.204013892021593
C35702169,100,5.4,95,6.2,X,0.199308808223407
C35702191,95,6,96,6.1,X,0.0238467419543677
C35702209,99,6.9,99,7.4,2L,0.100928908850781
C35702339,98,5.8,99,5.1,3L,-0.185555653156077
C35702477,100,6.8,99,7.9,3L,0.216317906926764
C35702595,96,6.3,99,5.6,3R,-0.169925001442312
C35702687,97,4.2,91,4.4,3L,0.067114195858537
C35702723,73,3.1,60,3.2,3R,0.0458036896131248
C35702725,99,8.1,98,7.7,2L,-0.0730634621897232
C35702811,99,7.3,99,6.5,3L,-0.167456745851563
C35702843,95,5.9,99,5.8,2L,-0.0246620542342692
C35703029,100,9.7,97,7.9,X,-0.296132094010025
C35703065,99,8.2,99,8.9,3L,0.118181426348314
C35703097,99,5.5,99,5.1,2R,-0.108934371553164
C35703197,97,7.1,94,7.5,X,0.079071570991199
C35703245,95,5.6,98,5.3,3L,-0.0794344674944048
