ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C7543024,98,5.5,93,5.7,2L,0.0515303006400821
C7543284,91,4.9,95,6,3L,0.29218075149331
C7543316,97,4.7,82,4,2R,-0.232660756790275
C7544894,98,7.3,98,7.4,X,0.0196288067489326
C7545014,97,6.2,99,6.3,3R,0.0230836131130412
C7545376,99,6.6,100,7.5,2L,0.184424571137428
C7545822,93,6.2,93,4.7,2R,-0.399607458709238
C7546510,98,8.3,93,5.5,X,-0.593679717822265
C7546544,99,17,100,17,3R,0
C7546628,96,5.7,99,4.6,2R,-0.309328058107729
C7547008,97,6.1,92,5.2,3R,-0.230297619421794
C7547424,100,6.3,99,7.2,2R,0.192645077942396
C7547540,97,5.5,97,5.9,2R,0.101283335837182
C7549066,98,5.7,100,7.7,2L,0.43389652653016
C7549084,99,3.6,98,4.7,3R,0.384663850235325
C7549968,96,5.3,93,6.2,3L,0.226275855823676
C7550172,98,7.4,100,6.9,X,-0.100928908850781
C7550414,95,4.2,96,6.5,2L,0.630050390249694
C7550484,98,6,98,8.5,X,0.502500340529183
C7550868,98,9.1,96,8.6,X,-0.0815298854965984
C7551054,91,4.6,92,5.2,2L,0.176877762084079
C7551394,97,7.9,95,6.9,X,-0.195256291398934
C7551626,95,6.4,99,6.3,2L,-0.0227200765000837
C7552224,94,5.6,97,8.8,2R,0.652076696579693
C7553334,91,6.5,96,4.5,2R,-0.53051471669878
C7553444,99,13,98,13,X,0
C7554034,98,6.5,97,7.9,X,0.281412935148649
C7554200,96,4.9,96,9.3,3R,0.924448966992823
C7556130,96,5,93,6.1,2L,0.286881147788162
C7556384,100,7,99,6.7,X,-0.063193826487194
C7556404,100,5.5,97,5.7,3L,0.0515303006400821
C7556714,97,6.7,94,6.4,3L,-0.0660891904577725
C7556898,93,7.1,94,5.8,2R,-0.29176612437711
C7558228,95,4.7,93,6.5,3R,0.467778961350817
C7558770,99,6.7,98,7.3,2R,0.123735368422245
C7559138,97,5,100,4.7,3R,-0.0892673380970872
C7559834,98,7.1,97,5,2L,-0.505890929729957
C7560878,99,4.7,99,6.5,3L,0.467778961350817
C7561410,99,8.9,98,9.1,2L,0.0320612092322983
C7562626,98,5.8,99,9.2,X,0.665580960929441
C7566652,98,6,100,7,2L,0.222392421336448
C7568174,97,6.4,99,4.4,2R,-0.540568381362703
C7569034,96,6.7,98,5.5,3R,-0.284729476933113
C7569068,97,5.7,100,8,X,0.489038080722621
C7569798,93,7.4,95,7.2,3L,-0.0395283641866375
C7574912,99,7.2,100,7.9,2L,0.133855746734791
C7575222,100,6.4,97,7.2,2L,0.169925001442312
C7577832,97,6.2,93,6.2,3L,0
C7577952,98,7.8,96,8.7,3L,0.15754127698648
C7579926,96,5.8,99,7.6,X,0.389946518316013
C7580200,99,7.6,99,7.2,3R,-0.078002512001273
C7583502,88,7.9,94,5.9,2L,-0.421137698815262
C7585788,99,7.9,100,7.5,2L,-0.0749620576812221
C7585900,99,9.4,98,8,X,-0.232660756790275
C7589802,97,6.2,99,7.9,3R,0.349584437790228
C7589922,95,7.9,99,7.5,2L,-0.0749620576812221
C7590514,95,5,96,4.9,3L,-0.0291463456595163
C7591472,98,7.1,99,8.6,X,0.276517635197416
C7592582,100,26,98,7.3,3L,-1.83254325414844
C7597196,96,8.4,96,8.7,X,0.0506260730699678
C7597938,98,6.2,99,6.4,3R,0.0458036896131248
C7600274,98,7.4,99,8,2R,0.112474729258412
C7603314,98,9.5,99,8.2,2L,-0.212303603712864
C7603908,100,8.2,99,7.5,3R,-0.128733314122203
C7604626,99,9.2,99,8.8,3L,-0.0641303374197154
C7605516,99,9.3,100,7.1,2L,-0.38941169160335
C7605570,99,5.7,99,5.1,3R,-0.160464672193246
C7605718,98,7.6,97,7.3,3L,-0.0581029545635683
C7608116,99,9.1,100,8.4,3L,-0.115477217419936
C7609020,98,7.6,95,6.7,4,-0.181838322985813
C7609140,98,7.5,97,8.1,2R,0.111031312388744
C7610646,100,6.3,99,7.6,3R,0.270647589943669
C7613114,96,6.5,99,6.9,2R,0.0861566437497145
C7613300,99,7.5,99,5.9,2R,-0.346175641134039
C7617026,100,25,97,8,2R,-1.64385618977472
C7620006,100,8.4,99,7.3,3R,-0.202492863898743
C7620588,99,7.8,98,6.1,3L,-0.354664881299362
C7622324,93,8.1,99,6.9,3L,-0.231325546106455
C7622628,100,8.3,99,7.3,3L,-0.185214872466908
C7623914,99,29,99,8.3,X,-1.80486965866801
C7628048,97,6.1,100,6.7,3R,0.135351852894886
C7628926,100,29,99,8.4,X,-1.78759166723617
C7633418,99,9,99,9,2R,0
C7634994,100,9.4,99,10,3R,0.0892673380970873
C7636188,98,7.3,99,7.3,3L,0
C7638030,100,8.6,100,8.5,2L,-0.016873818564396
C7639542,99,7.2,98,7.4,X,0.0395283641866376
C7640308,99,9.3,99,8.1,3L,-0.199308808223407
C7641806,100,9.1,100,9,2R,-0.0159415438690215
C7642334,99,9.8,99,8.8,3R,-0.155278225477911
C7643532,99,9.5,100,7.8,3R,-0.2844533894687
C7645632,99,8.5,99,8.8,2R,0.0500406824995956
C7647096,99,9.1,100,9.1,3L,0
C7648974,100,9.1,100,9.2,3L,0.0157673158583166
C7649628,99,9.3,100,9.6,3R,0.0458036896131248
C7650652,100,9.2,99,8.5,2R,-0.114171019919311
C7650830,100,8.9,100,8.8,X,-0.0163018123291004
C7651114,100,9.5,100,9.3,X,-0.0306967972229164
scaffold10003,94,12,93,11,3R,-0.125530882083859
scaffold10033,97,9.5,97,9.3,3R,-0.0306967972229164
scaffold10042,97,7.6,96,7.6,X,0
scaffold10046,86,5.7,90,7.9,3R,0.470890734012361
scaffold10050,95,9.1,95,9,3R,-0.0159415438690215
scaffold1006,91,8,92,7.9,3R,-0.0181473467102594
scaffold10067,98,9.1,98,8.8,2L,-0.0483630215613988
scaffold1007,98,9.2,98,8.9,U,-0.047828525090615
scaffold10087,95,8.3,98,7.9,3R,-0.0712586831698219
scaffold10089,100,12,100,11,U,-0.125530882083859
scaffold1009,99,9,99,8.9,U,-0.0161196653632769
scaffold10092,97,8.9,97,9.3,2R,0.0634253801416338
scaffold1010,81,8.8,82,7.9,2R,-0.155650870460194
scaffold10104,98,10,99,9.4,2L,-0.0892673380970872
scaffold10128,97,9.4,97,9.4,3R,0
scaffold10131,87,8.9,85,9.5,2L,0.09412217736455
scaffold10132,93,9.4,92,9,3R,-0.0627357553479628
scaffold10143,98,9.5,98,9.3,U,-0.0306967972229164
scaffold10145,82,5.3,83,5.3,U,0
scaffold10150,98,9.1,98,9.1,3L,0
scaffold10153,99,9.4,98,9.1,3R,-0.0467942114789413
scaffold10170,99,9.1,99,9.1,2L,0
scaffold10179,99,9.3,99,9.1,3L,-0.0313641709093353
scaffold1018,97,9.7,97,9.4,U,-0.0453239905094901
scaffold10190,79,5.7,76,5.5,3R,-0.0515303006400821
scaffold10199,89,7.9,92,7.3,3L,-0.113956189297086
scaffold1020,97,8.9,97,9.2,2R,0.0478285250906149
scaffold10204,100,9,100,8.7,3R,-0.0489096004809466
scaffold10210,97,8.3,97,9.4,2R,0.179549420330712
scaffold10212,98,9.3,98,8.9,X,-0.0634253801416337
scaffold10218,94,9.6,94,9.1,X,-0.07716786052246
scaffold1022,97,9.2,97,9,3R,-0.031708859727338
scaffold10228,79,6.7,77,6,2R,-0.159198594849254
scaffold10239,88,6.4,86,9,3R,0.491853096329675
scaffold10253,80,3.9,76,4.6,2L,0.238159737194765
scaffold10259,91,9.3,91,8.2,3L,-0.181606806489948
scaffold10274,95,8.8,95,8,U,-0.137503523749935
