ï..Scaffold,Fper,Fcov,Mper,Mcov,chrom,log2
C1735372,99,10,97,10,2R,0
C1735886,100,16,100,14,2R,-0.192645077942396
C1736186,98,10,100,12,3L,0.263034405833794
C1736258,99,11,97,11,3L,0
C1736908,98,12,96,11,2L,-0.125530882083859
C1736944,98,15,99,14,3L,-0.0995356735509144
C1737294,100,18,100,15,2L,-0.263034405833794
C1737370,100,9.5,96,9.6,3R,0.0151068923902084
C1737412,100,14,100,14,3R,0
C1737516,98,17,99,15,3R,-0.180572245641821
C1737680,100,9.2,98,13,2L,0.498805856971442
C1737904,100,11,100,9.9,3R,-0.15200309344505
C1737974,100,16,97,12,2R,-0.415037499278844
C1738060,99,9.4,99,10,3L,0.0892673380970873
C1738166,98,12,97,7.3,2R,-0.717066036728501
C1738184,99,12,100,16,3L,0.415037499278844
C1738206,100,11,99,13,3L,0.241008099503795
C1738244,96,8.8,99,13,2L,0.562936194391157
C1738430,97,13,100,15,3R,0.206450877467426
C1738502,98,14,95,12,2L,-0.222392421336448
C1738666,100,12,100,12,3L,0
C1738766,99,24,99,36,3R,0.584962500721156
C1739332,100,16,98,15,3L,-0.0931094043914815
C1739478,98,13,97,14,3L,0.106915203916512
C1739664,99,13,98,12,3R,-0.115477217419936
C1739822,98,13,100,8.9,3L,-0.546634382062057
C1739994,99,12,97,14,3L,0.222392421336448
C1740390,99,22,99,12,X,-0.874469117916141
C1740498,96,15,97,17,2R,0.180572245641821
C1740610,98,14,100,18,2R,0.362570079384708
C1740752,99,24,100,24,2R,0
C1740870,99,25,98,16,2L,-0.643856189774725
C1740872,98,12,99,13,2L,0.115477217419936
C1741040,99,16,100,16,2L,0
C1741144,99,15,99,11,2L,-0.447458976971221
C1741182,99,11,98,16,2L,0.540568381362703
C1741432,99,16,99,16,3R,0
C1741672,99,11,100,12,2R,0.125530882083859
C1741780,98,13,100,14,2R,0.106915203916512
C1742084,99,11,99,13,2L,0.241008099503795
C1742126,99,13,97,14,3L,0.106915203916512
C1742180,99,13,97,12,2R,-0.115477217419936
C1742200,100,37,99,21,X,-0.81713594285019
C1742248,99,11,93,9.1,2R,-0.273565073325963
C1742260,99,16,99,16,3R,0
C1742718,99,14,99,11,3L,-0.347923303420307
C1742748,100,13,99,12,2L,-0.115477217419936
C1742900,100,10,97,11,2L,0.137503523749935
C1743222,97,15,95,8.4,4,-0.83650126771712
C1743646,98,14,99,15,3R,0.0995356735509144
C1743862,100,27,100,30,3L,0.15200309344505
C1743944,97,13,99,12,2L,-0.115477217419936
C1744120,99,12,99,13,2L,0.115477217419936
C1744284,97,13,99,13,2L,0
C1744510,96,9.1,99,11,3R,0.273565073325964
C1744822,98,13,99,14,3R,0.106915203916512
C1744910,100,9.5,99,10,3L,0.0740005814437768
C1744916,100,41,100,37,3L,-0.148098638989134
C1745586,100,24,100,23,2R,-0.0614005446641433
C1745710,100,17,100,21,3L,0.304854581528421
C1745856,99,12,99,18,3L,0.584962500721156
C1746046,98,16,99,13,3L,-0.299560281858908
C1746198,100,29,99,16,X,-0.857980995127572
C1746238,98,17,99,8,X,-1.08746284125034
C1746568,99,9.8,99,12,3L,0.29218075149331
C1746906,100,9.2,96,13,2R,0.498805856971442
C1747066,98,11,97,9.4,3R,-0.226770861847022
C1747068,99,15,96,12,3R,-0.321928094887362
C1747594,99,14,100,14,3R,0
C1747638,100,15,100,11,3R,-0.447458976971221
C1747878,96,10,96,13,3R,0.37851162325373
C1748124,100,11,96,12,3R,0.125530882083859
C1748162,100,13,100,13,3L,0
C1748244,99,14,97,13,2L,-0.106915203916512
C1748292,96,14,99,12,2L,-0.222392421336448
C1748366,100,11,99,11,2L,0
C1748562,100,15,99,17,3R,0.180572245641821
C1748564,99,13,99,13,2R,0
C1748632,98,14,100,13,2L,-0.106915203916512
C1748720,98,18,99,18,2R,0
C1748814,100,14,99,18,2L,0.362570079384708
C1748980,98,16,99,13,2L,-0.299560281858908
C1749410,99,16,100,18,2L,0.169925001442312
C1749630,100,15,99,16,3R,0.0931094043914815
C1749720,100,12,100,15,3R,0.321928094887362
C1749736,97,13,100,15,3L,0.206450877467426
C1749878,100,16,100,21,3R,0.39231742277876
C1750190,99,11,100,12,2R,0.125530882083859
C1750414,99,11,99,14,3R,0.347923303420307
C1750422,98,14,99,17,2L,0.280107919192735
C1750488,100,13,100,15,2L,0.206450877467426
C1750594,99,12,99,12,3R,0
C1750834,98,14,99,13,2R,-0.106915203916512
C1750836,99,14,100,14,2L,0
C1751494,100,18,99,15,2L,-0.263034405833794
C1751830,100,14,99,18,2L,0.362570079384708
C1751926,99,15,100,14,2L,-0.0995356735509144
C1752004,99,16,99,15,2L,-0.0931094043914815
C1752024,100,13,99,14,2R,0.106915203916512
C1752250,98,10,100,10,3R,0
C1752348,100,14,99,12,2L,-0.222392421336448
C1752402,100,12,100,14,2R,0.222392421336448
C1752770,100,16,98,13,3R,-0.299560281858908
C1753086,100,42,99,21,X,-1
C1753564,99,18,100,21,3L,0.222392421336448
C1753954,98,16,98,16,3L,0
C1754078,99,15,100,14,3L,-0.0995356735509144
C1754350,97,13,99,10,3L,-0.37851162325373
C1754486,99,13,100,12,2L,-0.115477217419936
C1754568,100,39,100,28,2L,-0.478047296804644
C1754948,100,15,100,12,2L,-0.321928094887362
C1754992,99,15,99,12,2L,-0.321928094887362
C1755628,99,19,98,15,2L,-0.341036917835067
C1755664,100,12,98,15,3R,0.321928094887362
C1755898,100,35,100,22,3R,-0.669851398307669
C1755924,99,14,99,11,2R,-0.347923303420307
C1755946,99,12,99,14,2L,0.222392421336448
C1756032,99,17,98,12,3L,-0.502500340529183
C1756150,99,16,98,15,3R,-0.0931094043914815
C1756168,100,14,98,12,2L,-0.222392421336448
C1756368,99,12,100,13,2L,0.115477217419936
C1756408,100,16,99,14,3L,-0.192645077942396
C1756556,99,11,100,13,2R,0.241008099503795
C1756678,100,24,99,21,2L,-0.192645077942396
C1756766,100,15,100,13,2L,-0.206450877467426
C1757244,100,14,100,12,2L,-0.222392421336448
C1757452,99,12,92,11,2L,-0.125530882083859
C1757460,98,16,99,13,3L,-0.299560281858908
C1757492,99,20,99,13,2L,-0.62148837674627
C1757988,98,15,98,15,2R,0
C1758062,99,17,100,15,3R,-0.180572245641821
C1758332,100,16,99,15,3L,-0.0931094043914815
C1758652,99,11,98,12,2L,0.125530882083859
C1759406,100,12,100,14,3R,0.222392421336448
C1760302,99,14,99,15,3L,0.0995356735509144
C1760680,98,12,99,15,2R,0.321928094887362
C1760868,100,16,98,6.1,X,-1.39119075732448
C1760882,100,17,100,18,2L,0.082462160191973
C1761240,99,16,99,16,3R,0
C1761628,100,16,100,15,3R,-0.0931094043914815
C1761768,100,16,99,16,2L,0
C1761950,100,14,100,14,3R,0
C1762188,99,18,98,18,2L,0
C1762522,99,20,99,7.5,X,-1.41503749927884
C1763250,100,17,100,17,3L,0
C1763844,98,18,99,8.4,X,-1.09953567355091
C1764008,98,14,99,13,3L,-0.106915203916512
C1764940,99,32,100,30,3R,-0.0931094043914815
C1764952,99,17,98,15,2L,-0.180572245641821
C1765236,98,26,99,16,3R,-0.700439718141092
C1766148,100,50,100,22,X,-1.18442457113743
C1766252,98,16,99,18,3R,0.169925001442312
C1766630,99,15,100,15,3R,0
C1766720,99,13,99,12,2R,-0.115477217419936
C1766870,99,17,100,16,2L,-0.0874628412503394
C1767434,100,13,99,10,3L,-0.37851162325373
C1767894,100,29,98,16,X,-0.857980995127572
C1768308,99,17,99,13,3L,-0.387023123109247
C1768530,100,15,98,14,3L,-0.0995356735509144
C1768588,100,18,99,17,2R,-0.082462160191973
C1768722,100,36,100,16,X,-1.16992500144231
C1770424,99,12,100,16,2L,0.415037499278844
C1770520,100,17,100,17,2R,0
C1771218,100,21,100,21,2L,0
C1771262,100,17,100,18,2L,0.082462160191973
C1771522,99,12,99,16,2L,0.415037499278844
C1772254,100,17,100,18,3R,0.082462160191973
C1772290,100,52,100,18,3L,-1.53051471669878
C1773574,100,50,100,33,3R,-0.599462070416271
C1773954,100,28,100,15,2L,-0.900464326449086
C1774654,100,33,100,33,2L,0
C1775256,100,49,100,14,3L,-1.8073549220576
C1775384,100,17,100,14,3R,-0.280107919192735
C1775844,100,17,99,18,2L,0.082462160191973
C1775990,100,18,99,17,2L,-0.082462160191973
C1776984,98,18,100,17,3L,-0.082462160191973
C1777824,99,35,99,37,3R,0.0801703486839834
C1778178,100,18,100,16,3R,-0.169925001442312
C1778540,99,13,99,15,2R,0.206450877467426
C1778988,100,19,100,18,3R,-0.0780025120012732
C1779224,99,19,99,15,3L,-0.341036917835067
C1779954,100,35,100,18,X,-0.959358015502654
C1780002,100,28,100,16,2L,-0.807354922057604
C1780702,100,16,99,7.3,X,-1.13210353600735
C1780856,100,33,100,26,3R,-0.343954401217361
C1781182,100,36,100,31,3R,-0.215728691055437
C1781930,99,15,100,16,2R,0.0931094043914815
C1781964,100,32,100,33,3L,0.0443941193584534
C1782024,99,17,100,19,3L,0.160464672193246
C1782558,100,18,100,18,2R,0
C1783354,100,15,100,16,2R,0.0931094043914815
